Dutch	Swedish	probability
i	ɔ	1.0
v̥	v	1.0
z̥	r	1.0
ˈøː	ˈɛː	1.0
d	tʰ	0.271
n	nː	0.21
s	s	0.701
w	ˈøː	0.321
ə	-	0.231
ɪ	ɵ	0.321
ɾ	r	0.841
ˈyː	ˈyː	0.81
ˈɔ	ˈɵ	0.31
ˈɔ	ˈʊ	0.331
ˈɪ	ˈɵ	0.061
ˈɪ	ˈʉː	0.081
b	b	0.962
d	ɕ	0.062
d	-	0.212
f	m	0.102
j	n	0.412
m	mː	0.252
s	ɧ	0.152
v	f	0.802
ˈeː	ˈʉː	0.052
ˈeː	ˈɛː	0.182
ˈyː	ˈɛ	0.052
ˈœy̯	ˈʉː	0.572
ˈɑ	ˈɑː	0.072
ˈɑu̯	ˈa	0.292
ˈʏ	ˈʏ	0.462
k	ɕ	0.153
k	k	0.343
n	-	0.063
p	pː	0.163
t	-	0.063
v	v	0.093
ŋ	ŋː	0.623
ʋ	v	0.763
ˈaː	ˈa	0.063
ˈɛ	ˈæː	0.083
ˈɛ	ˈɛ	0.513
ˈɪ	ˈiː	0.123
χ	-	0.133
p	p	0.494
v	-	0.094
ə	a	0.524
ɦ	h	0.94
ɫ	l	0.894
ɾ	ɳ	0.064
ˈœy̯	ˈʏ	0.14
ˈœy̯	ˈɵ	0.224
ˈɑ	ˈɛ	0.094
ˈɑu̯	ˈʏ	0.354
ˈɑu̯	ˈɵ	0.354
ˈɔ	ˈɔ	0.184
χ	k	0.164
k	kʰ	0.285
ˈi	ˈæː	0.105
ˈoː	ˈɔ	0.145
ˈoː	ˈøː	0.185
ˈu	ˈøː	0.225
ˈœy̯	ˈœ	0.065
ˈɛi̯	ˈeː	0.185
χ	ɡ	0.445
k	kː	0.196
m	m	0.736
t	tː	0.146
t	t	0.576
z	s	0.706
ɦ	-	0.06
ˈaː	ˈæː	0.056
ˈaː	ˈɑː	0.276
ˈaː	ˈoː	0.506
ˈi	ˈʉː	0.266
ˈoː	ˈuː	0.106
ˈɑ	ˈa	0.696
χ	j	0.096
χ	ɡː	0.116
p	v	0.077
s	-	0.067
t	tʰ	0.147
z	ɧ	0.27
ŋ	ŋ	0.377
ˈeː	ˈeː	0.307
ˈi	ʊ	0.07
ˈi	j_ˈʉː	0.117
ˈu	ˈʊ	0.127
ˈɑ	ˈoː	0.087
ˈɔ	ˈʉː	0.057
ˈɛ	ˈæ	0.057
ˈɛ	ˈa	0.057
ˈɛi̯	ˈɛ	0.057
f	v	0.898
j	-	0.588
p	-	0.068
p	pʰ	0.198
ə	ɛ	0.178
ʋ	j	0.058
ʋ	-	0.18
ˈeː	ˈoː	0.088
ˈi	ˈeː	0.128
ˈoː	ˈoː	0.168
ˈyː	ˈʉː	0.138
ˈɔ	ˈœ	0.08
ˈɛ	ˈɪ	0.058
ˈɛi̯	ˈiː	0.758
ˈʏ	ˈɵ	0.538
d	d	0.439
d̥	d	0.909
n	n	0.669
w	ˈyː	0.679
ɪ	-	0.679
ɾ	-	0.069
ˈeː	ˈøː	0.139
ˈeː	ˈɛ	0.179
ˈi	ˈɛ	0.069
ˈi	ˈyː	0.189
ˈoː	ˈɵ	0.099
ˈoː	ˈœ	0.129
ˈoː	ˈœː	0.149
ˈu	ˈuː	0.609
ˈɛ	-	0.059
ˈɪ	ˈɪ	0.609
