Dutch	Swedish	probability
b	b	0.957
b	-	0.045
d	d	0.587
d	tʰ	0.168
d	-	0.148
d	ɕ	0.044
d	t	0.043
f	v	0.746
f	m	0.238
j	-	1.0
k	kʰ	0.438
k	k	0.423
k	ɡ	0.074
k	ɕ	0.06
l	l	1.0
m	m	0.792
m	mː	0.184
m	-	0.031
n	n	0.596
n	-	0.293
n	nː	0.107
n_d	nː	1.0
p	p	0.659
p	pʰ	0.122
p	pː	0.088
p	v	0.061
p	-	0.045
s	s	0.643
s	s_k	0.168
s	sː	0.08
s	k_s	0.046
s	ɧ	0.04
s_χ	ɧ	0.473
t	d	0.369
t	t	0.326
t	-	0.103
t	tʰ	0.077
t	tː	0.045
v	f	0.749
v	v	0.119
v	-	0.117
w	ˈyː	0.312
w	ˈøː	0.312
z	s	0.811
z	ɧ	0.139
z	sː	0.042
ŋ	ŋː	0.713
ŋ	ŋ	0.274
ŋ_k	kː	0.473
ə	ɛ	0.381
ə	-	0.365
ə	a	0.063
ə	ŋ	0.063
ə	ɪ	0.063
ə_f	v	1.0
ə_n	a	1.0
ɦ	h	1.0
ɪ	-	0.574
ɪ	ɵ	0.272
ɫ	l	0.827
ɫ	lː	0.093
ɫ	-	0.055
ɫ	nː	0.029
ɾ	r	0.872
ɾ	-	0.084
ɾ	ɳ	0.032
ʋ	v	0.758
ʋ	-	0.202
ʋ	j	0.039
ʋ_ˈɔ	ˈɵ	1.0
ˈaː	ˈoː	0.475
ˈaː	ˈɑː	0.275
ˈaː	ˈa	0.102
ˈaː	ˈæː	0.066
ˈaː	ˈɔ	0.052
ˈeː	ˈeː	0.36
ˈeː	ˈɛː	0.121
ˈeː	ˈɛ	0.093
ˈeː	ˈʉː	0.092
ˈeː	ˈɛː_d	0.068
ˈi	j_ˈʉː	0.21
ˈi	ˈyː	0.194
ˈi	ˈʉː	0.147
ˈi	ˈeː	0.109
ˈi	ˈɛ	0.082
ˈoː	ˈøː	0.456
ˈoː	ˈoː	0.137
ˈoː	ˈɵ	0.099
ˈoː	ˈuː	0.094
ˈoː	ˈœ	0.075
ˈu	ˈuː	0.66
ˈu	ˈøː	0.187
ˈu	ˈʊ	0.077
ˈu	ˈœ	0.058
ˈu_d	ˈuː	1.0
ˈyː	ˈyː	1.0
ˈøː	ˈɛː	1.0
ˈœy̯	ˈʉː	0.668
ˈœy̯	ˈɵ	0.092
ˈœy̯	ˈœ	0.072
ˈœy̯	ˈʏ	0.072
ˈɑ	ˈa	0.561
ˈɑ	ˈɑː	0.167
ˈɑ	ˈɛ	0.124
ˈɑ	ˈoː	0.059
ˈɑ	ˈɛː	0.045
ˈɑu̯	ˈa	0.265
ˈɑu̯	ˈɵ	0.231
ˈɑu̯	lː	0.126
ˈɔ	ˈɔ	0.307
ˈɔ	ˈɵ	0.307
ˈɔ	ˈʊ	0.223
ˈɔ	ˈœ	0.062
ˈɔ	ˈʉː	0.058
ˈɛ	ˈɛ	0.415
ˈɛ	ˈœ	0.11
ˈɛ	ˈa	0.073
ˈɛ	ˈæ	0.073
ˈɛ	-	0.058
ˈɛi̯	ˈiː	0.637
ˈɛi̯	ˈeː	0.211
ˈɛi̯	ˈɛ	0.144
ˈɪ	ˈɪ	0.563
ˈɪ	ˈɛ	0.128
ˈɪ	ˈiː	0.098
ˈɪ	ˈeː	0.059
ˈɪ	ˈɵ	0.058
ˈʏ	ˈʏ	0.496
ˈʏ	ˈɵ	0.484
χ	ɡ	0.503
χ	j	0.193
χ	-	0.089
χ	ɡː	0.086
χ	k	0.078
χ_t	tː	1.0
