Proto-Germanic	Danish	probability
a	-	0.463
b	b̥	0.946
b	-	0.053
d	d̥	0.591
d	-	0.309
d	ʦʰ	0.093
e	ɐ	0.574
e	ə	0.266
i	-	0.952
i_z	ɐ	1.0
iː	e	0.561
iː	-	0.425
j	-	0.767
j	ə	0.205
jː	ˈeˀ	0.1
k	k	0.398
k	kʰ	0.376
k	-	0.127
k_ɑ	k	1.0
kʷ	kʰ	0.66
kʷ	j	0.142
kː	-	0.463
l	l	0.735
l	lˀ	0.204
l_i	lˀ	1.0
l_ɑ	l	1.0
l_ɔː	l	1.0
lː	lˀ	0.629
lː	l	0.361
m	m	0.8
m	mˀ	0.119
m_i	m	1.0
m_ɑ	m	1.0
mː	m	0.215
n	n	0.504
n	-	0.464
n_d	nˀ	1.0
n_i	n	0.463
n_ɑ	n	1.0
n_ɑ̃	ə	1.0
n_θ	nˀ	0.324
n_θ	n	0.282
nː	nˀ	0.425
nː	n	0.322
nː	-	0.172
nː_i	nˀ	1.0
p	b̥	0.735
p	p	0.133
p	-	0.104
pː	ð̞ˠ	0.463
r	ʁ	0.462
r	-	0.346
r	ɐˀ	0.106
r	ɐ	0.079
r_i	ɐ	0.463
r_ð	ɐˀ	0.463
r_ɑ	ɐ	1.0
r_ɑ̃	ɐ	1.0
r_ɣ	ɐˀ	1.0
s	s	0.891
s	-	0.105
s_ɑ̃	s	1.0
s_ɔːː	ɐ	1.0
sː	s	0.463
t	ʦʰ	0.332
t	t	0.322
t	ð̞ˠ	0.229
t	-	0.113
t_s	ð̞ˠ	1.0
t_ɑ	ð̞ˠ	0.719
t_ɑ	t	0.268
t_ɑ̃	t	1.0
u	-	0.862
u	ə	0.131
u_z	ð̞ˠ	1.0
w	-	0.514
w	ʋ	0.34
w	w	0.07
wː	ˈuː	0.463
x	h	0.528
x	-	0.401
x_t	t	1.0
xʷ	ʋ	0.382
xʷ	j	0.325
xʷ	-	0.283
z	-	0.988
z_i	ɐ	1.0
ð	-	0.731
ð	ð̞ˠ	0.175
ð	n	0.062
ð_i	ð̞ˠ	1.0
ð_ɑ	ð̞ˠ	1.0
ð_ɑ̃	ð̞ˠ	1.0
ŋ	-	1.0
ŋ_ɡ	ŋ	0.478
ŋ_ɡ	ŋˀ	0.465
ɑ	-	0.849
ɑ	ə	0.06
ɑ_l	l	1.0
ɑ_n	n	1.0
ɑ_z	w	1.0
ɑi̯	ˈyː	0.463
ɑː	ə	1.0
ɑ̃	-	0.925
ɑ̃	ə	0.069
ɔː	-	0.4
ɔː	ə	0.321
ɔː	ɐ	0.166
ɔː	nˀ	0.088
ɔːu̯	ə	1.0
ɔːː	ə	1.0
ɔ̃ː	ə	0.883
ɔ̃ː	-	0.117
ɛː	ɐ	0.776
ɛː	-	0.162
ɡ	ŋ	1.0
ɡʷ	ŋ	1.0
ɣ	ɡ̊	0.562
ɣ	-	0.329
ɣ	jˀ	0.098
ɣ_ɑ	w	0.425
ɣ_ɑ	j	0.324
ɸ	f	0.793
ɸ	-	0.166
ɸ_r	kʰ	1.0
ˈe	ˈiˀ	0.124
ˈe	ˈe	0.092
ˈe	ˈuˀ	0.092
ˈe	ˈæ	0.092
ˈe	-	0.069
ˈe	ˈɛ	0.067
ˈe	ˈa	0.053
ˈe	ˈy	0.053
ˈe	ˈɛˀ	0.053
ˈe	ˈɛː	0.053
ˈe_w	ˈeˀ	0.1
ˈeu̯	ˈyː	0.351
ˈeu̯	ˈyˀ	0.335
ˈeu̯	ˈuˀ	0.117
ˈeu̯	ˈœ	0.084
ˈeu̯	ˈuː	0.08
ˈeː	ˈɛˀ	0.463
ˈi	ˈe	0.39
ˈi	ˈiˀ	0.246
ˈi	ˈeˀ	0.062
ˈi	ˈɑ	0.059
ˈi	ˈiː	0.054
ˈi	ˈø	0.054
ˈiu̯	ˈyˀ	0.517
ˈiu̯	ˈy	0.45
ˈiː	ˈiˀ	0.495
ˈiː	ˈiː	0.282
ˈiː	ˈi	0.091
ˈiː	ˈɛˀ	0.089
ˈĩː	ˈɛ	0.463
ˈu	ˈu	0.207
ˈu	ˈœ	0.163
ˈu	ˈo	0.138
ˈu	ˈoː	0.07
ˈu	ˈɔ	0.068
ˈu	ˈø	0.063
ˈu_n	ˈʌ	1.0
ˈuː	ˈuˀ	0.839
ˈuː	ˈɔ	0.158
ˈuː_z	ˈoˀ	1.0
ˈɑ	ˈa	0.234
ˈɑ	ˈɛ	0.119
ˈɑ	ˈʌ	0.079
ˈɑ	ˈɔˀ	0.068
ˈɑ	ˈɑ	0.059
ˈɑ	ˈe	0.054
ˈɑ	ˈoː	0.053
ˈɑ_r	ˈɑˀ	1.0
ˈɑ_ŋ	ˈɑ	1.0
ˈɑi̯	ˈeˀ	0.59
ˈɑi̯	ˈi	0.115
ˈɑi̯	ˈoˀ	0.115
ˈɑi̯	ˈɛˀ	0.078
ˈɑu̯	ˈœˀ	0.449
ˈɑu̯	ˈøː	0.221
ˈɑu̯	ˈʌˀ	0.173
ˈɑu̯	ˈoː	0.087
ˈɑu̯	ˈœ	0.064
ˈɔː	ˈoˀ	0.56
ˈɔː	ˈœˀ	0.146
ˈɔː	ˈoː	0.078
ˈɔː	ˈo	0.076
ˈɔː	ˈœ	0.056
ˈɛː	ˈɔˀ	0.593
ˈɛː	ˈɔː	0.176
ˈɛː	ˈɒː	0.074
ˈɛː	ˈɒˀ	0.06
β	w	0.527
β	v	0.277
β	-	0.179
θ	ʦʰ	0.54
θ	-	0.423
