Afrikaans	Afrikaans	probability
ˈɪø̯	-	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	-	1.0
ˈœu̯	-	1.0
ˈœ	ˈʏ	1.0
ˈyː	ˈyː	1.0
ˈoː	-	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ŋ_k	ʰkː	1.0
w	ˈøː	1.0
v_ˈɛ	ˈʏ	1.0
t_v	tʰ	1.0
t_#>	#>	1.0
s_k	ʂ	1.0
s_#>	#>	1.0
n_s	sː	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
k_#>	#>	1.0
j	-	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_ɫ	<#_l	1.0
<#_ɦ	<#_j	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_ç	1.0
<#	<#_j	1.0
r	ɾ	0.967
m	m	0.923
v̥	f	0.857
s	s	0.852
v	ʋ	0.833
ɫ	l	0.824
t	t	0.815
ŋ	ŋː	0.778
p	p	0.75
ˈæː	-	0.667
ˈu	ˈuː	0.643
n	n	0.639
ˈœɪ̯	ˈʉː	0.636
ˈəɪ̯	ˈiː	0.6
d̥	d	0.6
<#_ˈa	<#_ˈɑ	0.6
ˈɔ	ˈʉ	0.571
ˈæ	ˈɛ	0.571
v̥_#>	ʋ_#>	0.571
ˈa	ˈɑ	0.552
d	d	0.529
ˈə	ˈɪ	0.524
ə_#>	e_ɾ_#>	0.5
ə_#>	#>	0.5
χ	ɡ	0.464
ˈɑː	ˈoː	0.458
k	k	0.44
ˈæ	-	0.429
v̥_#>	#>	0.429
d̥	lː	0.4
<#_ˈa	<#	0.4
#>	ə_#>	0.375
#>	k_#>	0.375
ˈœɪ̯	-	0.364
k	kʰ	0.36
ˈu	ˈøː	0.357
ˈæː	ˈæ	0.333
ˈi	ˈyː	0.333
d	tʰ	0.324
ə	e	0.318
ˈɪə̯	ˈæɪ̯	0.316
ˈɪə̯	-	0.316
ˈʊə̯	ˈæʉ̯	0.292
ˈi	ˈʉː	0.278
ə	ə	0.273
ə	-	0.273
ˈəɪ̯	ˈæɪ̯	0.267
ˈɪə̯	ˈeː	0.263
ˈɑː	ˈɑː	0.25
#>	ˈeː_#>	0.25
ˈɔ	-	0.238
ˈi	-	0.222
ŋ	-	0.222
n	nː	0.222
ˈʊə̯	ˈʊ	0.208
ˈʊə̯	-	0.208
k	ç	0.2
ˈə	-	0.19
ˈɔ	ˈɔ	0.19
t	ʰtː	0.185
ɫ	lː	0.176
ˈa	ˈɑː	0.172
ˈa	-	0.172
ˈʊə̯	ˈœʏ̯	0.167
ˈɑː	-	0.167
ˈi	ˈeː	0.167
v	kʰ_ʋ	0.167
p	pʰ	0.167
d	-	0.147
χ	ɡː	0.143
χ	j	0.143
χ	-	0.143
ˈə	ˈiː	0.143
v̥	ʋ	0.143
ə	ɑ	0.136
ˈəɪ̯	-	0.133
ˈʊə̯	ˈuː	0.125
ˈɑː	ˈɑ	0.125
χ	ʰtː	0.107
ˈɪə̯	ˈiː	0.105
ˈa	ˈɛ	0.103
ˈə	ˈɔ	0.095
s	ʂ	0.093
p	ʰpː	0.083
n	ˈoː	0.083
m	mː	0.077
s	s_t	0.056
n	-	0.056
