French	Emilian	probability
v	v	1.0
z	z	1.0
ə	-	1.0
ɲ	ɲ_a	1.0
f	f	0.941
j	ʧ	0.131
j	-	0.461
l	j	0.131
l	l	0.571
m	m	0.751
n	n	0.471
p	p	0.921
s	θ	0.331
w	ˈa_j	0.061
œ	ˈʌu̯	0.591
ɑ̃	ˈæ_ŋ	0.271
ɑ̃	ˈa_ŋ	0.341
ɛ	ˈa	0.121
ɡ	ʤ	0.051
ɥ	ˈo	0.171
ʃ	k	0.751
a	a	0.312
d	d	0.922
j	j_a	0.062
s	s	0.562
t	t	0.712
u	ˈʌ	0.132
u	ˈʌu̯	0.162
w	ˈiː	0.082
y	ˈo	0.482
ɑ̃	ˈaː	0.212
ɛ	ˈɛː	0.102
i	ˈe	0.273
l	-	0.123
l	l_a	0.13
n	e_n	0.053
t	s_t	0.083
u	ˈɔ	0.33
ɔ	u	0.263
ɔ	ˈɔː	0.493
ɛ̃	ˈa_ŋ	0.33
ʁ	-	0.123
b	-	0.054
n	-	0.104
w	-	0.204
ɔ	ˈo	0.164
ɔ̃	ˈʌ_ŋ	0.634
ɛ̃	ˈe_ŋ	0.264
ʁ	r	0.664
a	ˈaː	0.265
e	ˈɛ_d	0.055
e	ˈa	0.075
e	ˈɛ	0.205
i	ˈɔ	0.115
n	ŋ	0.105
o	ˈɔ_s	0.175
o	ˈɛ_l	0.825
ø	ˈuː_ɡ	0.95
ɛ	ˈɛ	0.395
ɛ̃	ŋ	0.405
b	b	0.946
i	ˈiː	0.46
k	k	0.846
u	ˈo	0.056
w	ˈa	0.396
ɔ̃	ŋ	0.366
ɛ	ˈaː	0.076
ʁ	e_r	0.096
ʒ	ʤ	0.076
a	j	0.067
a	-	0.197
e	-	0.327
i	i	0.067
n	n_a	0.267
ɛ	-	0.107
ɛ	a	0.137
ʒ	ð	0.757
d	n_d	0.078
e	ˈɛ_r	0.338
j	j	0.308
w	ˈʌu̯	0.148
y	ˈuː	0.518
ɑ̃	ˈa	0.128
ɔ	ˈɔ	0.08
a	e	0.159
f	v	0.059
k	k_w	0.119
m	m_a	0.249
s	z	0.059
t	t_a	0.19
u	u	0.319
w	ˈa_d	0.109
œ	ˈɔː	0.409
ɡ	ɡ	0.949
ɥ	-	0.829
ʁ	r_a	0.09
ʃ	k_a	0.249
ʒ	-	0.129
