Swabian	Ripuarian	probability
ˈɪ	ˈe	1.0
ˈəi̯_ʌ	ˈyː_ʀ	1.0
ˈɔə̯	ˈoː	1.0
ˈɔ	ˈoː	1.0
ˈuː	ˈoː	1.0
ˈeə̯	-	1.0
ˈa_ʕ	ˈɛ_ʀ	1.0
ʦ	ʦ	1.0
ʕ_n	n	1.0
ʕ_d	d̥	1.0
ʋ	ʋ	1.0
ʁ_ˈae̯	ʀ	1.0
ʁ	ʀ	1.0
ɪ_ɡ	ə_ɕ	1.0
ɡ_a	n	1.0
ŋ	ŋ	1.0
ç_d	ɕ	1.0
ç	ɕ	1.0
x_d	x	1.0
t	d̥	1.0
n_d	ŋ	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
eə̯	e_ŋ	1.0
e	-	1.0
b̥͡f	p	1.0
a	ə	1.0
ʃ	ʃ	0.864
n	n	0.851
f	f	0.845
ˈa	ˈa	0.79
ʌ	ɐ	0.79
ˈuə̯	ˈoː	0.778
ˈe	ˈe	0.745
ˈiə̯	ˈeː	0.714
ˈɔː	ˈɔː	0.705
ˈəi̯	ˈiː	0.702
ˈo	ˈo	0.701
ˈɔe̯	ˈeː	0.659
b	b	0.631
ˈao̯	ˈuː	0.586
ˈae̯	-	0.576
d	d	0.547
l	l	0.546
x	x	0.512
ʕ	ʀ	0.505
ˈɛː	ˈɛ	0.504
ˈɛː	-	0.496
ˈi	ˈe	0.493
x	-	0.488
ˈoː	ˈuː	0.461
ˈeː	-	0.459
l	ɫ	0.454
ɡ	j	0.438
ˈiː	-	0.433
ˈiː	ˈeː	0.423
ˈao̯	ˈɔʊ̯	0.414
ˈaː	ˈaː	0.4
s	z	0.393
s	s	0.36
ˈɔe̯	ˈeɪ̯	0.341
ˈɛ	ˈe	0.333
ˈu	ˈœ	0.333
ˈu	ˈo	0.333
ˈu	-	0.333
ˈɛ	ˈɛ	0.305
b	v	0.296
ˈɔː	ˈaː	0.295
ˈiə̯	ˈøː	0.286
ˈi	-	0.279
ˈeː	ˈyː	0.271
ˈeː	ˈeː	0.271
ˈoː	-	0.268
ɡ	k	0.263
ˈae̯	ˈøː	0.26
ʕ	ˈoː	0.26
ˈe	-	0.255
ʕ	-	0.235
d	d̥	0.227
ˈuə̯	-	0.222
s	z̥	0.218
ˈɛ	ˈɛː	0.215
ˈa	ˈaː	0.21
ʌ	ʀ	0.21
ˈoː	ˈoː	0.205
ˈəi̯	-	0.204
ˈaː	ˈa_ŋ	0.2
ˈaː	ˈa	0.2
ˈaː	-	0.2
ˈae̯	ˈyː	0.164
ˈi	ˈiː	0.152
n	ŋ	0.149
ˈɛ	-	0.147
ˈiː	ˈi	0.144
ʃ	s	0.136
ˈo	-	0.133
d	t	0.117
ɡ	ɣ	0.107
ˈo	ˈɔː	0.097
ˈəi̯	ˈøʏ̯	0.093
ɡ	ɕ	0.09
f	ə_f	0.082
ˈi	ˈy	0.075
d	ɡ̊	0.074
f	p	0.073
b	p	0.073
ˈo	ˈɔ	0.069
ˈoː	ˈoʊ̯	0.066
ɡ	ɣ̊	0.065
