Catalan	Catalan	probability
ˈɛ_#>	ˈɛ_#>	1.0
ˈi_t	ˈɛ_tː	1.0
ˈi_#>	ˈi_#>	1.0
ʤ	-	1.0
ʒ_ə	ə	1.0
ʎ_#>	lː_ə_#>	1.0
ʃ	ʃː	1.0
ə_ð	a_t	1.0
ə_#>	#>	1.0
ð_ə	t_ə	1.0
ð	t	1.0
z_ˈa	ˈu	1.0
w_ˈa	w_ˈa	1.0
w_ə	w_ə	1.0
w_#>	v_ə_#>	1.0
t_ˈa	t_ˈa	1.0
t_#>	#>	1.0
s_ˈa	s_ˈa	1.0
s_ə	ʦ_ə	1.0
s_#>	#>	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_#>	ɾ_ə_#>	1.0
p_l	k_j	1.0
p	p	1.0
n_#>	n_t_ə_#>	1.0
l_#>	l_ə_#>	1.0
k_ə	kː_ə	1.0
j_t	tː	1.0
j	-	1.0
d_ɾ	ə_ɾ	1.0
a	-	1.0
<#_ˈu	<#_w	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_j	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_b	<#	1.0
<#	<#_w	1.0
f	f	0.95
ˈa	ˈa	0.938
#>	ə_#>	0.93
k	k	0.909
d	d	0.857
m	m	0.821
ə	ə	0.777
ˈi	ˈi	0.769
ɡ	ɡ	0.75
z	-	0.75
ɲ	ɲː	0.727
b	v	0.724
i	i	0.714
n	n	0.708
w	ə	0.615
ˈu	ˈu	0.609
ˈa_#>	ˈa_#>	0.571
ʒ	ʤ	0.556
β	v	0.545
<#_ə	<#	0.533
ɾ	ɾ	0.526
ˈo	ˈu	0.522
ˈɔ	ˈɔ	0.5
ʎ_ə	ʎː_ə	0.5
ʎ_ə	ə	0.5
r	ɾ	0.5
u	u	0.474
β	p	0.455
ɣ	k	0.444
ˈa_#>	ˈa_n_ə_#>	0.429
ŋ	ŋ_k	0.429
s	ʃ	0.419
s	s	0.419
t	t	0.417
ʎ	ʎː	0.4
ʎ	kː_j	0.4
l	l	0.368
ˈɔ	w_ˈɔ	0.361
ɣ	ɡ	0.333
r	r	0.333
<#_ə	<#_a	0.333
ˈɛ	ˈe	0.324
l	j	0.316
ˈe	ˈɛ	0.3
ˈe	j_ˈɛ	0.3
t	tː	0.292
ŋ	ŋ_ɡ	0.286
ŋ	ŋ	0.286
i	-	0.286
u	-	0.263
ɡ	-	0.25
z	z	0.25
w	ʦː_ə	0.231
ʒ	ʤː	0.222
ʒ	j	0.222
ɣ	-	0.222
ɾ	r	0.211
b	b	0.207
ʎ	ˈɔ_kː	0.2
ˈɛ	ˈɛ	0.189
ˈɛ	ˈi	0.189
ɲ	nː	0.182
m	mː	0.179
ˈu	ˈɔ	0.174
ˈe	ˈe	0.167
t	-	0.167
r	rː	0.167
ɾ	-	0.158
u	ə	0.158
w	v	0.154
d	ɾ	0.143
ˈɔ	ˈo	0.139
ˈɛ	j_ˈɛ	0.135
ˈe	ˈi	0.133
<#_ə	<#_ˈa	0.133
ˈu	ˈu_ɾ	0.13
ˈo	ˈo	0.13
n	nː	0.125
ə	a	0.117
s	-	0.116
ˈɛ	-	0.108
u	o	0.105
l	w	0.105
l	lː	0.105
l	-	0.105
ˈe	ˈa	0.1
ɲ	ɲ	0.091
k	k_w	0.091
ˈu	ˈu_n	0.087
ˈo	ˈɔ	0.087
ˈo	ˈu_ɾ	0.087
ˈo	ˈu_n	0.087
ˈo	ˈo_n	0.087
t	d_ə	0.083
n	n_ˈo	0.083
n	n_t	0.083
ˈi	ˈi_ɾ	0.077
ˈi	ə	0.077
ˈi	i	0.077
ə	i	0.074
b	-	0.069
ˈa	ˈa_ɾ	0.062
ˈɛ	ˈu_ʃ	0.054
ɾ	ə_ɾ	0.053
ɾ	t_ɾ	0.053
