Latin	Latin	probability
ˈɪ_ɡ	ɲ	1.0
ˈɛ_n	ˈe_ŋ	1.0
ˈɛ_lʲː	ˈɛ	1.0
ˈɔ_n	ˈo_n	1.0
ˈɔ_k	ˈo_ɡ	1.0
ˈyː	ˈi	1.0
ˈu	ˈo	1.0
ˈoː_t	ˈu_t	1.0
ˈoː_s	ˈu	1.0
ˈoː_r	ˈo_r	1.0
ˈoe̯	ˈe	1.0
ˈĩː	ˈi	1.0
ˈi	ˈi	1.0
ˈe	ˈi	1.0
ˈaː	ˈa	1.0
ˈau̯	ˈɔ	1.0
ˈae̯	j_ˈe	1.0
ˈa_sː	ˈa_s	1.0
ˈa_p	ˈa_v	1.0
ˈa_k	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	o	1.0
ʊ̃	o	1.0
ʊ_s	o	1.0
ɫ_ʊ̃ː	o	1.0
ɫ_ɛ̃ː	l	1.0
ɫ_ãː	a	1.0
ɪ̃	e	1.0
ɪ_k	z	1.0
ɡʷ	ɡ_w	1.0
ɡ_ˈiː	z_ˈi	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	e	1.0
ɛ̃	e	1.0
ɛ_n	e_n	1.0
ɛ_#>	#>	1.0
ɔ_r	o_r	1.0
ŋ_n	ɲ	1.0
ŋ	ŋ	1.0
u	-	1.0
tː	t	1.0
tʰ	d	1.0
t_r	r	1.0
t_e	s	1.0
sː	s	1.0
s_ɛ	s_e	1.0
s_i	z	1.0
s_ãː	z_a	1.0
s_#>	#>	1.0
rː	r	1.0
r_ˈaː	r_ˈa	1.0
r_ʊ̃ː	r_o	1.0
r_s	r_s	1.0
r_n	r_n	1.0
r_k	r_k	1.0
p_t	t	1.0
nː	n	1.0
n_ʊ̃ː	ŋ	1.0
n_ɛ̃ː	ŋ	1.0
n_i	ɲ	1.0
mː	m	1.0
lʲː	ɰ	1.0
lʲ_i	ʤ	1.0
lʲ	-	1.0
kː	k	1.0
k_ʊ	ʧ	1.0
k_t	t	1.0
k_a	k_a	1.0
j	z	1.0
ĩː	i_ŋ	1.0
iː	i	1.0
i_ˈaː	j_ˈa	1.0
f	f	1.0
d_i	z	1.0
b_ɛ	v_e	1.0
b	b	1.0
ãː	a	1.0
aː	a	1.0
au̯	-	1.0
ae̯	-	1.0
a	a	1.0
<#_ˈʊ	<#_ˈo	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k_ɫ	<#_ʧ	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
r	r	0.966
s	s	0.944
ˈa	ˈa	0.941
ˈiː	ˈi	0.926
ˈɪ	ˈe	0.889
w	v	0.889
m	m	0.86
ˈuː	ˈu	0.85
p	p	0.844
ˈoː	ˈo	0.818
<#_ɫ	<#_ɰ	0.786
ˈeː	ˈe	0.769
k_ɛ̃ː	z_e	0.75
ˈɔ	ˈɔ	0.741
ˈʊ	ˈo	0.714
ɔ	o	0.714
i	-	0.714
ˈɛ	ˈɛ	0.706
oː	o	0.7
t	t	0.683
t_i	s	0.667
s_k	s_k	0.667
eː	e	0.6
d	d	0.6
<#_a	<#	0.6
n	n	0.595
ɛ_r	e_r	0.583
<#_ɡ	<#_z	0.583
ɪ	e	0.565
kʷ	k_w	0.556
uː	o	0.5
uː	-	0.5
r_ɛ̃ː	r_o	0.5
r_ɛ̃ː	o	0.5
e	j	0.5
e	-	0.5
<#_lʲ	<#_ˈe	0.5
<#_lʲ	<#	0.5
<#	<#_z	0.5
<#	<#_s	0.5
k	ɡ	0.484
ʊ	-	0.444
ɪ	-	0.435
ɛ_r	a_r	0.417
<#_ɡ	<#_ɡ	0.417
ɛ	-	0.412
eː	i	0.4
d	-	0.4
<#_a	<#_a	0.4
k	s	0.355
ɛ	e	0.353
ɫ	ɰ	0.343
ɫ	j	0.343
ʊ	o	0.333
t_i	z	0.333
s_k	s	0.333
oː	-	0.3
n	ŋ	0.297
ɔ	r	0.286
i	j	0.286
ɡ	z	0.267
ˈɔ	ˈo	0.259
ɫ	l	0.257
k_ɛ̃ː	z_a	0.25
ɛ	r	0.235
ˈeː	ˈɛ	0.231
ʊ	u	0.222
kʷ	k	0.222
kʷ	-	0.222
<#_ɫ	<#	0.214
ɡ	ʤ	0.2
ɡ	ɡ	0.2
ɡ	-	0.2
t	-	0.195
ˈoː	-	0.182
ˈuː	-	0.15
ˈɛ	ˈe	0.147
ˈʊ	ˈɔ	0.143
ˈʊ	ˈu	0.143
ɡ	ˈi	0.133
t	d	0.122
ˈɪ	-	0.111
w	-	0.111
k	k	0.097
p	-	0.089
ˈɛ	-	0.088
ˈiː	-	0.074
m	ŋ	0.07
m	-	0.07
p	v	0.067
k	-	0.065
ˈɛ	j_ˈe	0.059
ˈa	-	0.059
ɫ	-	0.057
s	z	0.056
n	ɲ	0.054
n	-	0.054
