Standard Mandarin	Standard Mandarin	probability
⁵⁵_#>	#>	1.0
⁵¹_#>	#>	1.0
ʨʰ_j	ʦʰ	1.0
ʦʰ	sʰ	1.0
ʦ	ʔ_s	1.0
ʐ	n_i	1.0
ʈ͡ʂ	t	1.0
ɻ	-	1.0
ɛ	eː	1.0
ŋ_⁵¹	ŋ_s	1.0
ŋ_²¹⁴	ŋ_ʔ	1.0
ŋ	ŋ	1.0
³⁵_#>	#>	1.0
²¹⁴_#>	#>	1.0
z̩	l_ɯ	1.0
y_²¹⁴	a_ʔ	1.0
w_⁵¹	ɡ	1.0
w_ɔ	aː_l	1.0
w_ɑ	aː	1.0
tʰ	l̥ʰ	1.0
s	s	1.0
p	p	1.0
o_w_³⁵_#>	oː_#>	1.0
n_⁵¹	n_s	1.0
m	m	1.0
l	r	1.0
kʰ	kʰ	1.0
k	k	1.0
j_⁵¹	d_s	1.0
i_²¹⁴	r̥ʰ	1.0
e_j	l	1.0
e	-	1.0
<#_tʰ	<#	1.0
<#_l	<#	1.0
#>	s_#>	1.0
f	p	0.75
n	n	0.737
ʨʰ	-	0.667
ʨ	k	0.667
ʊ	oː	0.667
ʂ	h	0.667
<#_w	<#_m	0.667
w_²¹⁴	ʔ	0.625
o	i	0.6
pʰ	b	0.571
w	u	0.556
ʐ̩	j	0.5
ʐ̩	i	0.5
ɤ	i_e	0.5
ɤ	-	0.5
ə	ɯ	0.5
ə	-	0.5
t	lʼ	0.5
t	d	0.5
<#	<#_ŋ	0.455
pʰ	pʰ	0.429
n_²¹⁴	ʔ	0.429
ɑ	a	0.412
ʈ͡ʂʰ	d	0.4
ʈ͡ʂʰ	-	0.4
o	u	0.4
j	r	0.4
⁵¹	d_s	0.375
⁵¹	-	0.375
w_²¹⁴	u_ʔ	0.375
x	ɡ	0.364
<#	<#_q	0.364
a	aː	0.355
ʨʰ	kʰ	0.333
ʨ	ɡ	0.333
ʊ	u	0.333
ʂ	d	0.333
y	ɢ_u	0.333
y	o	0.333
y	a	0.333
<#_w	<#	0.333
u	ɯ_ʔ	0.3
u	aː_ʔ	0.3
i	r_ɯ	0.3
i	eː	0.3
n_²¹⁴	n_ʔ	0.286
n_²¹⁴	m_ʔ	0.286
j	ɯː	0.267
n	m	0.263
⁵¹	ɡ_s	0.25
f	b	0.25
ɑ	aː	0.235
w	r	0.222
w	oː	0.222
ʈ͡ʂʰ	tʰ	0.2
u	ɯ	0.2
u	u	0.2
j	ɡ	0.2
i	r_a	0.2
i	e	0.2
x	ɡʷ	0.182
x	h_m	0.182
x	-	0.182
<#	<#_m	0.182
ɑ	uː	0.176
ɑ	e	0.176
a	ɯː	0.161
j	l	0.133
a	uː	0.097
a	r_aː	0.097
a	r	0.097
x	hʷ	0.091
a	o	0.065
a	n	0.065
a	l	0.065
