Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɔ	-	1.0
ˈœː_v	ʏ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈʉː	1.0
ˈeː	-	1.0
ˈaɪ̯	-	1.0
ˈae̯_#>	#>	1.0
ˈa_l	ˈɔː	1.0
ʃ_l	l̥	1.0
ɪ	ʉ_ŋ	1.0
ɣ̊	-	1.0
ɣ	-	1.0
ɡ̊	-	1.0
ɡ	-	1.0
ŋ_k	kː	1.0
ç_#>	ɣ_#>	1.0
æ_#>	#>	1.0
z̥_#>	s_#>	1.0
w	w	1.0
v̥	v	1.0
v_ˈʊ	ˈʉ	1.0
v	w	1.0
tʰ	tʰ	1.0
s	s	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
n_s	sː	1.0
n_#>	#>	1.0
l_ˈa	ɽ	1.0
l_#>	ɽ_#>	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
h	ˈoː	1.0
f	f	1.0
d̥	ð	1.0
d_n	ð_ɑ	1.0
ae̯	ɔ̃	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_h	<#	1.0
b	b	0.87
z	s	0.789
ˈʊ	ˈʉ	0.778
m	m	0.727
d̥_#>	d_#>	0.727
æ	r	0.706
t	t	0.703
ŋ	ŋ	0.692
k	k	0.692
ˈɪ	ˈɪ	0.667
ˈɔʏ̯	ˈyːœ̯	0.667
ˈoː	-	0.667
x	-	0.667
ɾ	ð_ɛ	0.6
d	d	0.583
l	ɽ	0.56
ˈɒː	-	0.538
ˈuː	ˈɑːu̯	0.533
ˈyː	ˈʏː	0.5
ˈyː	-	0.5
ˈa	ˈɑ	0.471
ˈɛ	-	0.455
ʃ	s	0.435
ˈaː	ˈɑ_r	0.429
n	n	0.429
d	tʰ	0.417
ˈʏ	ˈʏ	0.4
ˈaʊ̯	ˈʉːə̯	0.4
ɾ	-	0.4
ç	ɡː	0.4
ç	ɡ	0.4
ˈiː	ˈɑːi̯	0.375
ˈɛ	j	0.364
n	ɑ	0.339
ˈɛː	ˈɪː	0.333
ˈɔʏ̯	ˈœː	0.333
ˈoː	ˈɔː	0.333
x	ɣ	0.333
ʃ	s_ʨ	0.304
ˈʏ	ˈʉ	0.3
ˈʏ	-	0.3
ˈa	ˈɑː	0.294
ˈaː	ˈɑː	0.286
ˈaː	ˈæ	0.286
#>	ð_#>	0.286
ˈae̯	ˈiːe̯	0.273
d̥_#>	#>	0.273
ʃ	s_k	0.261
ˈiː	j	0.25
ˈaʊ̯	ˈœː	0.25
æ	ɛ_r	0.235
ˈɒː	ˈɔː	0.231
ˈɒː	ˈɑː	0.231
ˈʊ	-	0.222
ˈɛː	ˈɛː	0.222
ˈɛː	ˈæ	0.222
ˈɛː	-	0.222
#>	ɡ_#>	0.214
#>	n_#>	0.214
z	s_j	0.211
ˈuː	ˈʉː	0.2
ˈaʊ̯	-	0.2
ç	ʥː	0.2
l	lː	0.2
t	tː	0.189
ˈiː	ˈɪː	0.188
ˈɛ	ˈɛ	0.182
ˈae̯	j_ˈʉːə̯	0.182
m	ɔ	0.182
ˈɪ	ˈɪː	0.167
l	l	0.16
ŋ	ɣ_ɑ	0.154
ŋ	ɑ	0.154
k	kː	0.154
k	-	0.154
ˈaʊ̯	ˈoː	0.15
#>	ʉ_#>	0.143
#>	v_#>	0.143
ˈae̯	ˈɛ	0.136
ˈae̯	-	0.136
ˈuː	ˈʉə̯	0.133
ˈuː	ˈo	0.133
b	v	0.13
ˈɪ	-	0.125
ˈiː	-	0.125
n	nː	0.125
ˈa	ˈɔ	0.118
ˈa	-	0.118
t	-	0.108
ˈae̯	ˈʉːə̯	0.091
ˈae̯	ˈɪː	0.091
ˈae̯	j	0.091
m	v	0.091
l	-	0.08
ˈiː	ˈɪ̃ː	0.062
æ	nː	0.059
n	ɔ	0.054
n	n_d	0.054
