Danish	Limburgish	probability
ˈɛː	ˈaː	1.0
ˈɔː	ˈɒː	1.0
ˈɔ	-	1.0
ˈɒˀ	ˈɒː	1.0
ˈɑˀ	-	1.0
ˈɑ_j	x	1.0
ˈœː	ˈɪ	1.0
ˈyː	ˈeː	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeː	-	1.0
ʨ	d	1.0
ʦʰ	d	1.0
ɡ̊_ə	ə	1.0
ɡ̊_d̥	x	1.0
ə_ð̞ˠ	d̥	1.0
ɕ	z	1.0
ɐˀ_n	ʀ_ə	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
s_ɡ̊	ʃ	1.0
pʰ	p	1.0
mˀ	-	1.0
m	m	1.0
kʰ	k	1.0
h	ɦ	1.0
f	v	1.0
d̥_ˈyˀ	d	1.0
ʋ	β	0.953
ʁ	ʀ	0.912
l	l	0.845
b̥	b	0.796
ˈuˀ	ˈuː	0.794
n	n	0.788
ˈœˀ	-	0.766
ɡ̊	k	0.758
ˈɛ	-	0.731
ˈiˀ	ˈiː	0.695
ɐˀ	ʀ_ə	0.674
ˈøː	-	0.667
ˈøˀ	ˈu	0.654
ˈɛˀ	ˈɛːi̯	0.652
ə	ə	0.643
s	z	0.642
ˈyˀ	ˈeː	0.639
ɐ	ʀ	0.634
ˈeˀ	ˈɛː	0.622
s_d̥	s_t	0.618
ˈu	ˈʊː	0.614
nˀ	n_d̥	0.526
d̥	d	0.521
ˈʌ	-	0.488
ð̞ˠ	t	0.479
ˈɑ	ˈaː	0.47
ˈœ	ˈʊː	0.447
ˈoˀ	ˈʊː	0.434
ˈæ	ˈɑː	0.423
ˈɔˀ	ˈɒː	0.406
ˈe	ˈɪː	0.405
ˈo	ˈʊː	0.402
ˈo	-	0.397
lˀ	l_ə	0.383
s_d̥	s	0.382
ˈæ	ˈaː	0.378
ˈɑ	-	0.372
nˀ	n	0.37
ˈyˀ	-	0.361
s	s	0.358
ˈø	ˈʏ	0.354
ˈø	ˈɪː	0.354
ˈɛˀ	ˈeː	0.348
ˈøˀ	-	0.346
ə	-	0.337
ˈøː	ˈyː	0.333
ˈiː	ˈɛ	0.333
ˈiː	ˈiː	0.333
ˈiː	ˈeː	0.333
ɐˀ	ʀ	0.326
ˈɔˀ	ˈʊː_n	0.308
ˈiˀ	-	0.305
ˈoˀ	-	0.301
ˈø	-	0.291
d̥	t	0.291
ˈɔˀ	ˈi	0.286
ˈœ	ˈœ	0.285
ð̞ˠ	d̥	0.285
ˈe	-	0.281
ˈʌ	ˈoː	0.279
ˈɛ	ˈæː	0.269
ˈœ	-	0.268
ˈoˀ	ˈoː	0.265
ˈeˀ	ˈeː	0.263
lˀ	l	0.248
ɡ̊	-	0.242
ˈœˀ	ˈu	0.234
j	k	0.234
ˈʌ	ˈaː	0.233
w	v_ə	0.229
ɐ	ə_ʀ	0.219
j	ɦ	0.215
ˈe	ˈɪ	0.209
ˈuˀ	-	0.206
b̥	p	0.204
ˈo	ˈœː	0.201
ˈæ	ˈɑ	0.199
j	-	0.195
d̥	x	0.188
lˀ	-	0.187
w	-	0.185
w	ɣ	0.182
w	v	0.182
ˈu	ˈɔ	0.172
ð̞ˠ	j	0.168
j	ˈeː	0.161
ˈɑ	ˈɑ	0.158
l	-	0.155
n	n_d	0.147
lˀ	j	0.141
w	ɣ̊	0.135
ˈu	ˈɔː	0.115
ˈeˀ	ˈi	0.115
j	ɣ̊	0.113
ˈe	ˈɑ	0.105
nˀ	n_d	0.104
ˈu	ˈʊ	0.099
ɐ	ˈøː	0.089
ʁ	-	0.088
w	k	0.087
j	ˈɛː	0.082
ð̞ˠ	t_ə	0.068
n	-	0.065
ɐ	ˈɑ_ʀ	0.059
