Standard Croatian	Slovak	probability
̌	-	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʧ	1.0
ʎ	ʎ	1.0
ʋ	ʋ	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɦ	1.0
x	x	1.0
uː_̌	uː	1.0
t_i	c	1.0
s_a	s	1.0
s	s	1.0
r̩ː	r̩	1.0
r̩	r̩	1.0
r	r	1.0
m	m	1.0
l_j	l	1.0
j_e	ɪ̯ɛ	1.0
j	-	1.0
eː_̂	æ	1.0
d̥	d̥	1.0
b	b	1.0
a_̂	aː	1.0
a_n	n_iː	1.0
a_m	ɛ_m	1.0
z	z	0.928
o	ɔ	0.927
p	p	0.909
k	k	0.909
aː	a	0.821
oː	ɔ	0.809
t	t	0.804
iː	i	0.774
i	i	0.763
u	v	0.728
e	ɛ	0.718
n	n	0.717
ʦ	ʦ	0.684
d	d	0.663
a	a	0.657
j_eː	ɛ	0.635
ʒ	ʒ	0.617
uː	u	0.594
o_̂	ʊ̯ɔ	0.583
l	ɫ	0.526
u_̂	u	0.514
u_̂	ɫ̩	0.486
o_̂	ɛ	0.417
ʒ	ʒ̊	0.383
eː	ɛ	0.371
j_eː	ɪ̯ɛ	0.365
eː	a	0.348
d	ɟ	0.325
ʦ	-	0.316
n	ɲ	0.283
eː	ɪ̯a	0.281
u	l̩	0.272
uː	ɫ̩	0.265
l	l	0.247
i	-	0.237
l	ʎ	0.227
iː	iː	0.226
t	c	0.196
oː	ʊ̯ɔ	0.191
aː	aː	0.179
a	ɛ	0.163
uː	uː	0.141
e	a	0.118
a	ɔ	0.093
p	f	0.091
k	-	0.091
e	ɪ̯ɛ	0.076
o	ɫ	0.073
z	-	0.072
e	e	0.052
a	-	0.051
