Old Frisian	West Flemish	probability
θ	d	1.0
ˈi̯aː	ˈiə̯	1.0
ˈa_l	ˈu	1.0
ʦ	k	1.0
ʣ	ɦ	1.0
ɣ	ɦ	1.0
ɡː	ɦ	1.0
ɡ	ɦ	1.0
ə_r	ɾ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
w	ʋ	1.0
v	v	1.0
tː	t	1.0
t_ə	t	1.0
t	t	1.0
s_w	z	1.0
s_k	ʃ_h	1.0
r_n	ɾ_n	1.0
pː	p	1.0
p	p	1.0
nː	-	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kː	-	1.0
k_ə	k	1.0
k	k	1.0
j_ə	n	1.0
iː	iə̯	1.0
i	ɪ	1.0
f	v	1.0
d_ə	d	1.0
b	b	1.0
a	n	1.0
r	ɾ	0.962
n	n	0.959
ˈa	ˈɑ	0.883
ˈoː	ˈuə̯	0.786
ˈi̯uː	ˈiə̯	0.785
r_ə	ɾ_ə	0.74
ˈaː	ˈoː	0.72
ˈuː	ˈyː	0.717
z	z̥	0.709
l	l	0.707
ˈiː	ˈi	0.696
x	h	0.656
ˈɔː	ˈɑ	0.6
ə	ə	0.559
e	-	0.542
ˈeː	ˈɒː	0.541
d	d	0.53
s	z	0.523
j	ɦ	0.516
ˈɛː	ˈɛː	0.513
ˈo	ˈoː	0.491
ˈi	ˈɪ	0.481
s	s	0.477
d	d̥	0.47
e	ə	0.458
ˈu	ˈu	0.403
ˈɔː	ˈɒː	0.4
ˈe	ˈæ	0.367
ˈo	ˈɔ	0.364
ˈeː	ˈuə̯	0.311
ˈiː	-	0.304
x	ɦ̥	0.295
l	w	0.293
z	-	0.291
r_ə	ɾ	0.26
ə	n	0.242
ˈɛː	ˈoː	0.237
ˈu	-	0.228
ˈi̯uː	-	0.215
ˈoː	ˈɑ_n	0.214
ə	-	0.199
ˈe	ˈɑ	0.189
j	-	0.189
ˈu	ˈœ	0.185
ˈu	ˈøː	0.185
j	ɦ̥	0.165
ˈuː	-	0.153
ˈeː	ˈɛː	0.148
ˈi	-	0.146
ˈaː	-	0.146
ˈɛː	ˈeː	0.145
ˈo	-	0.145
ˈaː	ˈeː	0.134
ˈe	ˈeː	0.133
ˈuː	ˈoː	0.131
j	j	0.13
ˈe	ˈɒː	0.129
ˈi	ˈɛ	0.127
ˈa	-	0.117
ˈi	ˈæ	0.106
ˈɛː	-	0.105
ˈi	ˈeː	0.085
ˈe	ˈɪ	0.075
ˈe	-	0.058
ˈi	ˈi	0.055
