Nynorsk Norwegian	Gothic	probability
ˈʊ	ˈɔ	1.0
ˈʉ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈɑː	ˈa	1.0
ˈøː	ˈɛː_w	1.0
ˈæɪ̯	ˈɛː	1.0
ˈyː	-	1.0
ˈuː	ˈoː	1.0
ˈeː_#>	ˈiu̯_#>	1.0
ʰtː	h_t	1.0
ʋ_#>	f_s_#>	1.0
ɾ_n	r_n	1.0
ɾ_#>	r_#>	1.0
ɛ	-	1.0
ə	-	1.0
ŋː	ŋ_ɡ	1.0
ç	-	1.0
t	t	1.0
s	s	1.0
p	p	1.0
m	m	1.0
l_#>	l_s_#>	1.0
l	l	1.0
kʰ_ʋ	ʍ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
ˈɑ	ˈa	0.889
#>	s_#>	0.85
ɾ	r	0.8
ɑ	a_n	0.8
d	d	0.8
ˈæʉ̯	ˈɔː	0.75
ˈeː	ˈi	0.75
<#_kʰ	<#_k	0.714
n	n	0.7
<#_tʰ	<#_t	0.636
ʋ	w	0.611
ˈœ	-	0.6
ˈiː	ˈiː	0.583
ʂ	s_k	0.571
ˈʉː	ˈiu̯	0.556
ˈoː	ˈeː	0.545
ˈʏ	ˈi	0.5
ˈʏ	-	0.5
e	oː	0.5
e	a	0.5
<#	<#_w	0.5
<#	<#_h	0.5
ˈʉː	ˈuː	0.444
ˈɔ	ˈɔː	0.429
ʂ	s	0.429
lː	lː	0.429
ˈœ	ˈi	0.4
ˈɛ	ˈi	0.385
ˈɛ	ˈa	0.385
ɡ	ɡ	0.385
<#_tʰ	<#_θ	0.364
j	ˈɛ	0.333
nː	n	0.312
ˈɔ	w	0.286
ˈɔ	-	0.286
lː	l_θ	0.286
lː	l_d	0.286
<#_kʰ	<#	0.286
ˈoː	-	0.273
ˈæʉ̯	ˈɔ_θ	0.25
ˈiː	ˈi	0.25
ˈeː	-	0.25
nː	nː	0.25
nː	n_θ	0.25
ˈɛ	-	0.231
ɡ	x	0.231
ɡ	-	0.231
j	ɡ	0.222
j	l	0.222
j	-	0.222
n	n_s	0.2
d	θ	0.2
nː	n_d	0.188
ˈoː	ˈa	0.182
ˈiː	n	0.167
ʋ	β	0.167
ɡ	k	0.154
ɑ	oː	0.12
#>	a_#>	0.117
ˈɑ	-	0.111
ʋ	f	0.111
ʋ	-	0.111
ɾ	ˈɔ_r	0.1
ɾ	i	0.1
n	oː	0.1
ɑ	a	0.08
