Swiss German	German	probability
χ_ə	k_n	1.0
ˈøː	ˈøː	1.0
ˈøi̯	ˈɔʏ̯	1.0
ˈø	ˈœ	1.0
ˈæː	ˈeː	1.0
ˈæi̯	ˈaɪ̯	1.0
ˈuː	ˈaʊ̯	1.0
ˈuə̯	ˈuː	1.0
ˈo_n	ˈoː_n	1.0
ˈo	ˈɔ	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈaʊ̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ʃ_t	s_t	1.0
ʃ	ʃ	1.0
ɡ̊_#>	ɡ̊_#>	1.0
ə_r	ɐ	1.0
ŋ_#>	n_d̥_#>	1.0
ŋ	ŋ	1.0
tː	t	1.0
sː	s	1.0
r_t	ɐ_t	1.0
r_n	ɐ_n	1.0
p͡f	p͡f	1.0
p	p	1.0
nː	n_ə	1.0
n_ʃ	n_ʃ	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_d̥	l_d̥	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i_#>	ə_#>	1.0
i	ɪ	1.0
h	h	1.0
fː	f	1.0
f_ə	f_n	1.0
f	f	1.0
b̥_#>	b̥_#>	1.0
b̥	b	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
ˈɒ	ˈa	0.871
ˈoː	ˈoː	0.846
ˈɒː	ˈaː	0.812
ˈi	ˈɪ	0.8
ˈæ	ˈɛ	0.75
ɡ̊	ɡ	0.733
ˈu	ˈʊ	0.722
s	z	0.686
t	t	0.66
d̥	d	0.636
ˈyə̯	ˈyː	0.6
ˈy	ˈʏ	0.571
ə	n	0.554
r	ʁ	0.51
ɡ̊ː	k_ə	0.5
ɡ̊ː	k	0.5
r	ɐ	0.49
ˈy	ˈɪ	0.429
#>	ə_#>	0.407
ˈyə̯	ˈuː	0.4
#>	n_#>	0.37
χ	kʰ	0.368
ˈyː	ˈɔʏ̯	0.357
ˈyː	ˈiː	0.357
t	tʰ	0.34
s	s	0.314
χ	ç	0.289
χ	x	0.289
ˈyː	ˈyː	0.286
d̥	d̥	0.273
ə	ə	0.25
ˈi	ˈiː	0.2
ˈɒː	ˈa	0.188
ˈu	ˈɔ	0.167
ɡ̊	ç	0.167
ˈoː	ˈaː	0.154
ˈæ	ˈeː	0.15
#>	ɐ_#>	0.148
ˈɒ	ˈaː	0.129
ˈu	ˈʏ	0.111
ə	ə_n	0.107
ˈæ	ˈɛː	0.1
ɡ̊	-	0.1
d̥	t	0.091
ə	-	0.089
#>	b_n_#>	0.074
χ	k	0.053
