Nynorsk Norwegian	Old English	probability
ˈʊ	ˈo	1.0
ˈæː	-	1.0
ˈæʉ̯	ˈæːɑ̯	1.0
ˈæɪ̯	ˈɑː	1.0
ˈæ	ˈeo̯	1.0
ˈoː_ɾ	ˈæːɑ̯_r	1.0
ˈoː_n	ˈoː_n	1.0
ʰpː	pː	1.0
ʋ_e	v_e	1.0
ʉ	o_d	1.0
ɾ_n	r_n	1.0
ɲ	ŋ	1.0
ɪ	e	1.0
ɡː	ʤ	1.0
ɛ	o	1.0
ə_n	n	1.0
ŋ	n	1.0
çː	ʧː	1.0
v	w	1.0
tː_e	iːy̯	1.0
tʰ	θ	1.0
sː	s	1.0
s_k	ʃ	1.0
pʰ	p	1.0
p	p	1.0
n_ʂ	ʃː	1.0
mː	-	1.0
m_j	mː	1.0
m	m	1.0
kʰ_ʋ	h_w	1.0
kʰ_n	k_n	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
t	t	0.922
ɾ	r	0.895
ˈɪ	ˈi	0.863
n	n	0.855
s	s	0.832
ɑ	ɑ_n	0.82
ˈʉ	ˈu	0.754
kʰ	k	0.75
ʰkː	ŋ_k	0.743
ˈœ	-	0.706
ˈuː	ˈoː	0.695
ʂ	ʃ	0.68
l	l	0.641
ə	e	0.629
ˈiː	ˈiː	0.618
lː	ɫ_d	0.617
ʋ	w	0.596
ʰtː	t	0.569
ˈœʏ̯	ˈiːy̯	0.562
k	ʧ	0.558
ŋː	ŋ	0.525
ˈyː	ˈeːo̯	0.505
ˈʉː	ˈuː	0.486
ŋː	ŋ_ɡ	0.475
ˈɑː	ˈæ	0.473
ˈoː	ˈæː	0.473
j	-	0.461
ˈøː	ˈeː	0.453
ˈɔ	ˈo	0.443
k	k	0.442
ˈœʏ̯	-	0.438
ɡ	j	0.435
ç	k	0.42
ˈɑ	ˈɑ	0.418
ç	ʧ	0.414
ˈɔ	-	0.407
ˈeː	ˈi	0.406
ʋ	v	0.404
ˈøː	ˈe	0.383
lː	ɫː	0.383
ˈɑ	ˈæɑ̯	0.372
ə	-	0.371
nː	n_d	0.369
e	e	0.361
nː	nː	0.359
ˈɑː	ˈɑ	0.353
ɡ	ɣ	0.352
ˈʉː	ˈeːo̯	0.334
ˈʏ	ˈy	0.324
ʂ	s	0.32
l	ɫ	0.317
ˈeː	ˈe	0.307
ˈʏ	ˈi	0.306
ˈœ	ˈu	0.294
ˈeː	ˈiy̯	0.287
ʰtː	x_t	0.283
e	-	0.279
nː	n	0.272
ˈɛ	ˈe	0.269
ʰkː	kː	0.257
kʰ	ʧ	0.25
ˈyː	ˈyː	0.248
ˈyː	ˈiːy̯	0.248
ˈoː	-	0.247
ˈoː	ˈɑː	0.233
ˈɛ	-	0.227
j	j	0.223
ˈʏ	ˈeːo̯	0.213
ɡ	ɣ̊	0.213
ˈiː	ˈi	0.194
ˈuː	ˈo	0.192
ˈiː	-	0.188
j	ɡ	0.177
ˈɑː	-	0.174
ç	θ	0.166
ˈɑ	-	0.165
e	o	0.165
ˈøː	-	0.164
ˈɛ	ˈeːo̯	0.16
ˈʏ	w	0.157
ˈɛ	ˈeo̯	0.15
ˈɔ	ˈuː	0.15
ʰtː	tː	0.148
n	-	0.145
j	l	0.14
ˈɪ	-	0.137
e	ɡ_e	0.128
ˈʉ	-	0.127
ɑ	e	0.123
ˈʉ	ˈuː	0.119
ˈɛ	ˈi	0.116
ˈuː	-	0.113
ˈʉː	ˈo	0.09
ˈʉː	-	0.09
s	z	0.089
ˈɛ	ˈæː	0.079
t	t_e	0.078
ɑ	-	0.057
s	s_w	0.053
