Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɔʊ̯	-	1.0
ˈøː	-	1.0
ˈøʏ̯	ˈyˀ	1.0
ˈu	-	1.0
ˈoː_ɐ	ˈɒˀ	1.0
ˈoː_n	ˈɔˀ	1.0
ˈe_ŋ	ˈɛ	1.0
ˈa_ŋ	ˈɑ	1.0
ʦ_#>	d̥_#>	1.0
ʋ_ˈe	ʋ	1.0
ɫ_d̥	lˀ	1.0
ɫ_#>	l_#>	1.0
ɣ	-	1.0
ɡ̊	ŋˀ	1.0
ə_#>	#>	1.0
ɕ_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_ɡ̊	nˀ	1.0
z̥_#>	s_#>	1.0
v̥_#>	#>	1.0
v̥	w	1.0
v	w	1.0
t	d̥	1.0
p_#>	b̥_#>	1.0
p	b̥	1.0
n_d̥	nˀ	1.0
l	l	1.0
j	w	1.0
f_#>	#>	1.0
e	ə	1.0
d_ɐ	ɐ	1.0
b	b̥	1.0
<#_ʋ	<#	1.0
<#_d	<#	1.0
<#	<#_ˈɔ	1.0
ə	ə	0.921
h	h	0.895
m	m	0.84
<#_j	<#_ɡ̊	0.833
ʋ	ʋ	0.812
z	s	0.81
ʀ	ʁ	0.8
ɫ	lˀ	0.8
ɐ	ɐ	0.792
f	f	0.783
ŋ	n	0.778
n	n	0.762
ˈaː	-	0.75
ʦ	ʦʰ	0.75
d̥	ð̞ˠ	0.733
ˈɛː	-	0.714
ʃ	s	0.68
ɕ	j	0.667
k_#>	ɡ̊_#>	0.667
s	ð̞ˠ	0.647
ˈœ	-	0.625
k	kʰ	0.611
ˈɛ	-	0.6
ˈɔː	ˈo_ɐˀ	0.6
ˈeɪ̯	ˈeˀ	0.6
ŋ_#>	ŋ_ə_#>	0.6
x	d̥	0.571
ˈɔ	ˈu	0.556
ˈɪ	ˈe	0.545
ˈo	ˈu	0.545
ˈoː	-	0.526
ˈa	ˈæ	0.522
d	ʦʰ	0.464
ˈo	-	0.455
ˈɔ	-	0.444
x	-	0.429
#>	w_#>	0.429
ˈuː	ˈuˀ	0.417
ˈɔː	ɐˀ	0.4
ˈeɪ̯	-	0.4
ŋ_#>	#>	0.4
ˈiː	ˈiˀ	0.385
ˈœ	ˈœ	0.375
ˈyː	ɐ	0.375
ˈyː	-	0.375
ˈoː	ˈoˀ	0.368
d	d̥	0.357
ˈeː	ˈeˀ	0.35
ˈe	ˈe	0.333
ɕ	d̥	0.333
k_#>	#>	0.333
ʃ	s_ɡ̊	0.32
ˈɛː	ˈɑ_jˀ	0.286
#>	ɐ_#>	0.286
#>	d̥_#>	0.286
k	ɡ̊	0.278
ˈɪ	-	0.273
d̥	-	0.267
ˈɛ	ˈɛ	0.25
ˈyː	ˈyˀ	0.25
ˈuː	-	0.25
ˈe	ˈiˀ	0.25
ˈe	-	0.25
ˈaː	ˈæ	0.25
ʦ	d̥	0.25
s	s	0.235
ˈiː	ˈiː	0.231
ˈiː	-	0.231
ŋ	ŋˀ	0.222
ɐ	-	0.208
ˈeː	ˈyˀ	0.2
ˈeː	-	0.2
ɫ	l_ə	0.2
ʋ	ˈo	0.188
ˈɪ	ˈɑ	0.182
ˈa	-	0.174
ˈuː	ˈœˀ	0.167
ˈuː	ˈøˀ	0.167
ˈe	ɡ̊	0.167
n	-	0.167
<#_j	<#	0.167
m	-	0.16
ˈiː	ˈeˀ	0.154
ˈɛ	ˈe	0.15
ˈeː	ˈyː	0.15
z	s_ˈø	0.143
ˈa	ˈʌ	0.13
f	b̥	0.13
ʀ	ʁ_ˈœ	0.12
s	ˈøˀ_ð̞ˠ	0.118
k	-	0.111
d	-	0.107
ˈoː	ˈɔˀ	0.105
h	j	0.105
ˈeː	ˈɛ	0.1
ˈa	ˈɛː	0.087
ˈa	ˈɑ	0.087
f	-	0.087
ʀ	-	0.08
ə	-	0.079
n	nˀ	0.071
d	ð̞ˠ	0.071
