Eastphalian	Eastphalian	probability
ˈɛɪ̯_n	ˈãː	1.0
ˈɛɪ̯_#>	ˈai̯_#>	1.0
ˈɛə̯	ˈa	1.0
ˈɔʏ̯_n	ˈĩː	1.0
ˈɒː_ɐ_#>	ˈɑː_#>	1.0
ˈɒː_n	ˈɛ̃ː	1.0
ˈøː	-	1.0
ˈyː	ˈoi̯	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈeː_ɣ	ˈoĩ̯	1.0
ˈaː	ˈɑː	1.0
ˈaɪ̯	ˈaː	1.0
ˈa_ɐ	ˈɑ	1.0
ɪ	i	1.0
ɣ̊	ɣ̊	1.0
ɒː	ɛː	1.0
ŋ	ŋ	1.0
ç	ʃ	1.0
z̥	s	1.0
z	s	1.0
w	v	1.0
v	v	1.0
t_n	z̥_ə	1.0
s_t	ʃ_d̥	1.0
p_ə_#>	f_#>	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
l	l	1.0
k_n	ɡ̊_ə	1.0
k_#>	ʃ_#>	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d̥_#>	#>	1.0
b_m	v̥_ə	1.0
<#_n	<#_n	1.0
r	ʀ	0.929
m	m	0.917
d̥	d̥	0.905
ʃ	ʃ	0.833
ə	-	0.793
ˈɪ	ˈi	0.778
ˈaʊ̯	ˈuː	0.75
ɣ	ɡ̊	0.75
d	d̥	0.741
ˈuː	ˈau̯	0.727
ˈeː	-	0.714
ˈɛɪ̯	ˈiː	0.667
x	x	0.667
ˈoː	-	0.625
ˈiː	ˈai̯	0.625
#>	t_#>	0.625
n	n	0.612
ˈɔʏ̯	-	0.6
k	kʰ	0.579
b	b̥	0.579
ˈeo̯	ˈoː	0.556
s	s	0.556
ɐ	æ̆	0.515
ˈʊ	ˈu	0.5
ˈɛː	-	0.5
ˈœ	ˈe	0.5
ˈœ	-	0.5
ˈoː_n	ˈõː	0.5
ˈoː_n	ˈẽː	0.5
ˈa	ˈɑ	0.5
ˈʏ	ˈi	0.455
ˈɒː	ˈɑː	0.455
s	ʃ	0.444
b	p	0.421
ˈɔʏ̯	ˈiː	0.4
p	p	0.4
p	-	0.4
n	ə	0.388
ˈoː	ˈɔ	0.375
ˈiː	-	0.375
#>	ə_#>	0.375
ˈɒː	ˈa	0.364
t	ʦ	0.344
ˈʊ	ˈo	0.333
ˈeo̯	ˈaː	0.333
ɐ	ɐ	0.333
x	-	0.333
j	ɡ̊	0.333
j	j	0.333
j	-	0.333
ˈa	ˈa	0.318
ˈɛ	ˈi	0.3
ˈɛ	ˈe	0.3
ˈɔ	ˈu	0.3
ˈɔ	ˈo	0.3
ˈeː	ˈɛ	0.286
ˈuː	-	0.273
d	t	0.259
ˈɛː	ˈɛ	0.25
ˈɛː	ˈɑː	0.25
ˈaʊ̯	ˈu	0.25
ɣ	k	0.25
t	s	0.25
t	t	0.219
k	x	0.211
k	k	0.211
ə	ə	0.207
ˈɛɪ̯	ˈeː	0.2
ˈɛ	ˈɛː	0.2
ˈɛ	ˈɛ	0.2
ˈɔ	ˈaː	0.2
ˈɔ	-	0.2
p	pʰ	0.2
ˈʏ	ˈu	0.182
ˈʏ	ˈoi̯	0.182
ˈʏ	-	0.182
ˈɒː	ˈoː	0.182
ˈʊ	-	0.167
ʃ	-	0.167
ˈɛɪ̯	ˈaː	0.133
ˈɪ	ˈai̯	0.111
ˈɪ	-	0.111
ˈeo̯	oː	0.111
d̥	-	0.095
t	d̥	0.094
ˈa	ˈɑː	0.091
ˈa	ˈæ	0.091
ɐ	d̥_æ̆	0.091
m	v_ə	0.083
r	ʀ_ˈaː	0.071
t	z̥	0.062
ɐ	ˈæ_ɐ	0.061
