Romagnol	Romagnol	probability
ˈɛ̃	ˈe	1.0
ˈɛə̯_r	ˈɛː_r	1.0
ˈõũ̯	ˈu_ŋ	1.0
ˈi_#>	ˈiː_#>	1.0
ˈeə̯_l	ˈaː	1.0
ˈeə̯_d	w	1.0
ˈeə̯_#>	ˈaː_#>	1.0
ˈe	ˈɛː	1.0
ˈaː	ˈa	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɐ_v	a_v	1.0
ɐ_n	n_u	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z	ʒ	1.0
w	ɔː	1.0
v_#>	w_e_#>	1.0
u_r	w	1.0
u_j	j	1.0
t_#>	t_u_#>	1.0
s_#>	s_u_#>	1.0
r_ɐ	j_a	1.0
p_j	ʧ	1.0
p	p	1.0
n_ɐ	ŋ_a	1.0
l_b	r_b	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j̃	ŋ	1.0
j_#>	ʤ_u_#>	1.0
f	f	1.0
e	ˈɛ	1.0
d_#>	d_u_#>	1.0
b_j	ʤ	1.0
<#_ˈeə̯	<#_ˈaː	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_j	<#_ʃ	1.0
m	m	0.938
θ	s	0.905
r	r	0.889
t	t	0.879
b	b	0.867
s	s	0.842
v	v	0.838
ˈeə̯	ˈaː	0.812
i	i	0.8
ˈa	ˈa	0.769
ð	z	0.769
d	d	0.731
ʧ	ʤ	0.714
ˈʌ̃	ˈa	0.708
ɐ	a	0.707
ˈu	ˈyː	0.667
a	-	0.667
r_#>	#>	0.643
n	ŋ	0.625
l	l	0.625
j	ʤ	0.625
ʤ	ʤ	0.6
ˈɔə̯	ˈɔː	0.571
ˈou̯	ˈuː	0.556
ˈẽ	ˈi	0.556
l_ɐ	a	0.556
l_#>	l_u_#>	0.533
ˈɛ	ˈe	0.5
#>	u_#>	0.491
ˈɛə̯	ˈe	0.467
l_#>	#>	0.467
ˈi	ˈiː	0.444
ˈẽ	ˈe	0.444
l_ɐ	l_a	0.444
u	u	0.417
ʤ	z	0.4
ɐ_r	e	0.4
#>	e_#>	0.386
ˈɔ	ˈɔ	0.385
ˈo	ˈu	0.375
l	u	0.375
j	ˈiː	0.375
r_#>	u_#>	0.357
ˈu	ˈøː	0.333
ˈi	ˈeː	0.333
ˈeː	-	0.333
u	w	0.333
a	a	0.333
n	n	0.312
ˈɔ	ˈø	0.308
ɐ_r	r_u	0.3
ɐ_r	e_r	0.3
ˈʌ̃	ˈa_ŋ	0.292
ˈɔə̯	ˈøː	0.286
ʧ	-	0.286
d	-	0.269
ˈɛə̯	ˈɛ	0.267
ˈɛə̯	ˈeː	0.267
ˈeː	ˈɛː	0.267
ˈeː	ˈe_j	0.267
ˈa	ˈɛː	0.231
ð	-	0.231
ˈou̯	ˈy	0.222
ˈou̯	ˈu	0.222
ˈi	ˈi	0.222
ˈɛ	ˈeː	0.219
ˈo	ˈy	0.208
i	e	0.2
ˈɛ	ˈi	0.188
ˈeə̯	ˈɛː	0.188
ɐ	e	0.173
u	-	0.167
v	w	0.162
ˈɔ	ˈu	0.154
ˈɔ	-	0.154
ˈɔə̯	-	0.143
ˈeː	ˈe	0.133
b	-	0.133
s	ʃ	0.132
ˈo	ˈɔ	0.125
ˈo	ˈø	0.125
t	-	0.121
θ	-	0.095
ˈɛ	-	0.094
ɐ	-	0.093
ˈo	ˈeː	0.083
ˈo	-	0.083
u	y	0.083
n	-	0.062
m	ŋ	0.062
r	ˈɛː	0.056
r	-	0.056
#>	i_#>	0.053
