Megleno-Romanian	Megleno-Romanian	probability
ˈɔ	ˈa	1.0
ˈu_k	ˈu	1.0
ˈe_p	ˈɛ	1.0
ʤ	ʒ	1.0
ʎ_u	ʎ	1.0
ə_#>	#>	1.0
ɔ	b_ˈe	1.0
ŋ	ŋ	1.0
v	b	1.0
t_i_#>	#>	1.0
s	s	1.0
r_ˈa	ɾ_ˈa	1.0
r_u	e	1.0
r_n	r	1.0
r_#>	#>	1.0
p	p	1.0
n_t_#>	n_#>	1.0
n_#>	ŋ_#>	1.0
m	m	1.0
kʲ	p	1.0
j_ˈa	ˈɛ	1.0
j_n	ŋ	1.0
j_#>	s_#>	1.0
j	-	1.0
f	h	1.0
e̯ˈa	ˈe	1.0
b	β	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_b	<#_b	1.0
k	k	0.88
ə	ɔ	0.875
t	t	0.846
i	-	0.774
ɡ	ɡ	0.714
w	w	0.667
ˈa	ˈa	0.636
ʎ	l	0.625
z	ʒ	0.6
o̯ˈa	ˈu	0.6
<#_ʦ	<#_s	0.6
<#	<#_h	0.6
#>	ɔ_#>	0.6
ˈu	ˈu	0.588
l	l	0.571
d	d	0.556
ʃ	s	0.5
ʃ	-	0.5
u	e	0.5
ˈo	ˈɔ	0.471
ˈe	ˈe	0.455
ˈi	ˈi	0.444
ˈi	ˈe	0.444
d	-	0.444
z	-	0.4
o̯ˈa	ˈɔ	0.4
n	n	0.4
<#_ʦ	<#	0.4
<#	<#_ʒ	0.4
#>	k_#>	0.4
ʎ	ʎ	0.375
ˈe	ˈɛ	0.364
ˈa	ˈɛ	0.364
w	-	0.333
n	ŋ	0.333
r	ɾ	0.312
ˈu	ˈy	0.294
ɡ	-	0.286
l	t	0.286
r	r	0.281
n	-	0.267
ʦ	ʦ	0.25
ʦ	s	0.25
ʦ	k	0.25
ʦ	-	0.25
u	u	0.25
u	-	0.25
ˈe	ˈa	0.182
ˈo	ˈy	0.176
ˈo	ˈe	0.176
ˈo	-	0.176
i	e	0.161
t	ð	0.154
l	-	0.143
ə	a	0.125
r	w	0.125
r	-	0.125
k	-	0.12
ˈu	ˈe	0.118
ˈi	-	0.111
r	β	0.094
i	e_ð	0.065
r	l	0.062
