Slovenian	Macedonian	probability
a	a	1.0
àː	ˈa	1.0
áː	ˈa	1.0
b	b	1.0
d	d	1.0
e	ˈɛ	1.0
ìː	ˈi	1.0
íː	ˈi	1.0
k	k	1.0
m	m	1.0
n	n	1.0
o	ˈo	1.0
òː	ˈo	1.0
p	p	1.0
s	s	1.0
úː	ˈu	1.0
w	ɫ	1.0
x	f	1.0
ɔ	o	1.0
ɔ̀ː	ˈo	1.0
ɔ́	ˈo	1.0
ɔ́ː	ˈo	1.0
ɛ̀ː	ˈɛ	1.0
ɡ	ɡ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
l	ɫ	0.491
r	ˈr̩	0.191
z	ʣ	0.071
ə	a	0.201
j	-	0.472
t	t	0.912
ʋ	-	0.142
èː	ˈɛ	0.873
óː	ˈa	0.123
ə	ɛ	0.303
éː	ɛ	0.454
ə	o	0.34
ɛ	ˈɛ	0.114
i	ˈi	0.265
óː	ˈo	0.5
éː	ˈɛ	0.546
èː	ɛ	0.127
i	ɛ	0.187
l	l	0.467
óː	o	0.377
ə	u	0.157
ɛ	ɛ	0.687
i	i	0.548
j	j	0.528
t	-	0.088
ʋ	v	0.858
r	r	0.809
z	z	0.929
ɛ	-	0.199
