North Frisian	Luxembourgish	probability
ˈɛi̯	ˈɜɪ̯	1.0
ˈɛ	ˈɜɪ̯	1.0
ˈɔu̯_n	ˈəʊ̯_n	1.0
ˈɒ_x	ˈuə̯_ɕ	1.0
ˈɒ_l	ˈɑ_l	1.0
ˈɒ	ˈaː	1.0
ˈyː_s	ˈæːʊ̯_s	1.0
ˈuː_l	ˈɑ_l	1.0
ˈu	-	1.0
ˈi_t_#>	ˈæːɪ̯_s_#>	1.0
ˈi_l	ˈə_l	1.0
ˈi_d_#>	ˈæːɪ̯_t_#>	1.0
ˈeː_#>	ˈiː_ɐ_#>	1.0
ˈaː	ˈo	1.0
ʃ_#>	ʃ_#>	1.0
ə_v	ə_v̥	1.0
ə_n_#>	f_#>	1.0
ŋ_ə	ŋ	1.0
z	s_ə	1.0
v_ə_#>	n_#>	1.0
v_ə	v_ə	1.0
v_#>	ə_f_#>	1.0
tʲ_#>	s_#>	1.0
t_#>	t_#>	1.0
s_t	ʃ_t	1.0
s_#>	s_#>	1.0
s	n_d̥	1.0
p_ə	f_ə	1.0
p_#>	f_#>	1.0
p	p	1.0
n_ə	n	1.0
m_ə	m	1.0
m_#>	m_#>	1.0
m	m	1.0
lʲ	ˈaː_l	1.0
l_v	l_ə	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	ɕ_#>	1.0
i	ə_ɕ	1.0
dʲ_#>	d̥_#>	1.0
dʲ	d	1.0
d_ə	d_ɐ	1.0
d_#>	d̥_#>	1.0
<#_ˈeː	<#	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_tʲ	<#_d	1.0
<#_r	<#_ʀ	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#	<#_v	1.0
#>	n_#>	1.0
ə_#>	ə_n_#>	0.938
r_#>	ɐ_#>	0.828
n	n	0.786
ˈɒː	ˈaː	0.75
j	-	0.714
r	ʀ	0.706
v	w	0.7
<#_j	<#	0.667
ˈɔ	ˈaː	0.6
ˈa_r	ˈɛː_ɐ	0.6
x	ˈiː_ɕ	0.6
f_#>	v̥_#>	0.6
t	ʦ	0.583
nʲ_#>	n_#>	0.571
ˈyː	ˈəʊ̯	0.556
ˈuː	ˈaː	0.556
ˈi	ˈæːɪ̯	0.556
ˈa	ˈə	0.556
ŋ	ŋ	0.556
<#_s	<#_z	0.533
ˈiː	ˈɜɪ̯	0.519
ˈɛː	ˈoː	0.5
ˈɛː	ˈiə̯	0.5
ˈœ	ˈɑ	0.5
k	k	0.5
d	t	0.5
d	-	0.5
<#_t	<#_ʦ	0.5
<#_t	<#_d	0.5
<#_s	<#_ʃ	0.467
n_#>	n_#>	0.455
n_#>	#>	0.455
nʲ_#>	n_d̥_#>	0.429
t	t	0.417
ˈɔ	ˈo	0.4
ˈa_r	ˈaː	0.4
x	ɕ	0.4
f_#>	#>	0.4
ə	-	0.368
ˈɔː	ˈə	0.333
ˈɔː	ˈuə̯	0.333
ˈɔː	ˈiː	0.333
ˈøː	ˈɑʊ̯	0.333
ˈøː	ˈɑɪ̯	0.333
ˈøː	-	0.333
ˈiː	ˈeː	0.333
ˈeː	ˈɛ	0.333
ˈeː	ˈə	0.333
ˈeː	ˈoː	0.333
k	χ	0.333
<#_j	<#_d	0.333
ˈʊ	ˈo	0.312
ˈœ	ˈu	0.3
v	-	0.3
j	ɡ	0.286
ˈʊ	ˈɑ	0.25
ˈɒː	-	0.25
ˈyː	ˈɑɪ̯	0.222
ˈyː	d̥	0.222
ˈuː	ˈɜɪ̯	0.222
ˈuː	ˈəʊ̯	0.222
ˈi	ˈə	0.222
ˈi	-	0.222
ˈa	ˈaː	0.222
ˈa	-	0.222
ŋ	ŋ_ɡ̊	0.222
ŋ	-	0.222
n	ˈɑ_n	0.214
ə	ə	0.211
ˈœ	ˈʊ	0.2
ˈʊ	-	0.188
r	ɐ	0.176
r_#>	#>	0.172
k	ɕ	0.167
ə	v	0.158
ə	s	0.158
ˈʊ	ˈɔ	0.125
ˈʊ	ˈaː	0.125
ə	d̥	0.105
n_#>	ˈe_ŋ_#>	0.091
ˈiː	ˈɑɪ̯	0.074
ˈiː	-	0.074
ə_#>	n_#>	0.062
r	ʀ_ˈə	0.059
r	-	0.059
