Insular North Frisian	Old West Norse	probability
ˈɛː	ˈɑ	1.0
ˈɛ_l	l	1.0
ˈœ_n	n	1.0
ˈœ_d	ɑː	1.0
ˈøː	-	1.0
ˈaʊ̯	v	1.0
ˈaɪ̯	ˈɑ_ɣ	1.0
ʃ	s	1.0
ʁ̥_t	r_ð	1.0
ʁ̥	r	1.0
ɣ̥	r̥	1.0
ɡ	ɡ	1.0
ə_m	m_r̥	1.0
ŋ_k	kː	1.0
x	tː	1.0
v_ˈʊ	ˈu	1.0
v_ˈɛ	ˈøː	1.0
tʲ	θ	1.0
r	r	1.0
pʰ	pʰ	1.0
nʲ	n_d	1.0
lʲ	lː_r̥	1.0
e	f	1.0
b	b	1.0
aɪ̯	-	1.0
s	s	0.925
m	m	0.897
h	h	0.879
p	p	0.827
t	t	0.823
l	l	0.808
ŋ	ŋ	0.802
d	d	0.775
ˈɔː	ˈɑ	0.738
f	f	0.724
v	v	0.714
ɾ	ð	0.695
n	n	0.693
k	k	0.676
kʰ	kʰ	0.656
ˈeː	-	0.618
ˈa	ˈɑ	0.591
ˈɛ_n	nː	0.589
ç	-	0.555
ð	ð	0.55
tʰ	θ	0.528
ɪ	ɑ	0.5
ɪ	u	0.5
ə_l	l_i	0.5
ə_l	l	0.5
tʰ	tʰ	0.472
ˈyː	ˈuː	0.467
ð	ð_i	0.45
ç	ɣ	0.445
ˈʏ	ˈu	0.412
ˈɛ_n	ˈu_nː	0.411
ˈə	ˈi	0.395
ɐ	r	0.379
ˈœ	ˈu	0.356
ˈuː	ˈo	0.347
ˈua̯	ˈɑu̯	0.346
kʰ	cʰ	0.344
ˈoː	ˈɑu̯	0.338
ˈʊ	ˈu	0.336
ˈə	ˈiː	0.334
ˈɛ	-	0.329
k	c	0.324
ə	-	0.32
ˈuː	ˈɑː	0.318
ˈʏ	ˈuː	0.309
ˈiː	ˈiː	0.293
ˈʊ	-	0.289
ˈʏ	-	0.279
ˈoː	-	0.274
ˈyː	ˈu	0.266
ˈyː	-	0.266
ˈɔː	ˈɛ	0.262
ˈeː	ˈɑ	0.262
ˈɔ	ˈoː	0.26
ˈɔ	-	0.26
ə	u	0.251
ˈoː	ˈɑː	0.25
ˈa	-	0.246
ˈɔ	ˈu	0.24
ˈɔ	ˈo	0.24
ˈua̯	ˈɒu̯	0.231
d	θ	0.225
ˈua̯	ˈɑː	0.214
ˈua̯	ˈɑ	0.209
ˈœ	ˈo	0.202
ˈiː	ˈɛi̯	0.2
ŋ	ŋ_ɟ	0.198
ˈœ	ˈoː	0.197
ə	i	0.195
ˈuː	ˈɑ	0.193
l	lː	0.192
ˈə	-	0.181
p	pː	0.173
ˈiː	ˈe	0.168
ɾ	nː	0.168
ˈa	w_ˈɑ	0.164
ˈɛ	ˈi	0.158
ɐ	i_r̥	0.155
n	-	0.154
ɐ	r̥ː	0.146
ɐ	r_n	0.146
ˈuː	-	0.142
ˈʊ	ˈɑ	0.141
ˈɛ	ˈøː	0.141
ə	v	0.139
ˈoː	ˈɔː	0.138
ɾ	ð_r̥	0.138
ˈœ	-	0.134
n	nː	0.133
ˈiː	-	0.13
f	v	0.13
ˈʊ	ˈoː	0.125
ˈiː	ˈyː	0.124
h	h_ˈɔ	0.121
ˈeː	ˈi	0.12
ˈɛ	j_ˈoː	0.118
t	tː	0.115
ˈœ	ˈy	0.111
ˈʊ	ˈy	0.109
v	x	0.107
m	m_r̥	0.103
ˈɛ	j	0.099
ə	ɾ	0.096
v	-	0.095
ˈə	ˈe	0.09
ˈɛ	ˈɔ	0.087
ɐ	ɡ_r̥	0.087
ɐ	r̥	0.087
f	r̥	0.086
ˈiː	ˈɑː	0.085
v	x_w	0.084
ˈɛ	ˈy	0.067
t	r̥	0.062
f	v_r̥	0.059
