Bokmål Norwegian	American English	probability
b	b	1.0
d	d	0.902
f	f	0.979
h	h	1.0
i	i	1.0
j	-	0.395
j	ˈɑ	0.199
j	h	0.171
j	ɡ	0.129
j	ˈaɪ̯	0.106
k	k	0.692
k	-	0.205
k	ʧ	0.103
kʰ	kʰ	1.0
kː	ʧ	0.587
kː	ŋ_k	0.321
kː	k	0.092
l	l	0.726
l	ɫ	0.265
lː	ɫ	0.727
lː	l	0.095
lː	ɚ	0.077
lː	f	0.055
m	m	0.936
m	v	0.064
mː	m	1.0
n	n	0.918
n	-	0.054
nː	n	0.901
nː	θ	0.055
p	p	1.0
pʰ	pʰ	1.0
pː	p	1.0
s	s	0.779
s	ʃ	0.153
s	z	0.054
sː	s	1.0
t	ʔ	0.732
t	t	0.268
tʰ	θ	0.564
tʰ	tʰ	0.328
tʰ	b	0.07
tː	ʔ	0.835
tː	tː	0.101
tː	t	0.057
ŋ	n	0.455
ŋ	ŋ	0.314
ŋ	-	0.231
ŋː	ŋ	1.0
ɕ	ʧ	0.575
ɕ	kʰ	0.379
ə	-	0.635
ə	ə	0.221
ə	oʊ̯	0.07
ɡ	ɡ	0.483
ɡ	-	0.262
ɡ	f	0.101
ɡ	j	0.1
ɡ	k	0.053
ɡː	ʤ	0.61
ɡː	-	0.327
ɡː	ɡ	0.062
ɪ	ɪ	0.674
ɪ	i	0.326
ɳ	ɹ	0.843
ɳ	-	0.157
ɾ	ɹ	0.566
ɾ	ɚ	0.216
ɾ	-	0.094
ɾ	ð_ɚ	0.094
ʂ	s	0.922
ʂ	m	0.078
ʃ	ʃ	1.0
ʈ	t	0.674
ʈ	ʔ	0.326
ʈː	ʔ	1.0
ʋ	w	0.637
ʋ	f	0.138
ʋ	v	0.125
ʋ	-	0.101
ˈeː	ˈi	0.445
ˈeː	ˈɪ	0.247
ˈeː	ˈæ	0.074
ˈeː	ˈʌ	0.072
ˈiː	ˈaɪ̯	0.414
ˈiː	ˈɪ	0.18
ˈiː	ˈʌɪ̯	0.118
ˈiː	ˈi	0.102
ˈiː	ˈɔ	0.066
ˈiː	ˈeɪ̯	0.06
ˈiː	ˈɛ	0.06
ˈoː	ˈi	0.309
ˈoː	ˈoʊ̯	0.16
ˈoː	ˈɛ	0.149
ˈoː	j	0.131
ˈoː	ˈʌ	0.114
ˈoː	ˈu	0.111
ˈuː	ˈu	0.305
ˈuː	ˈɔ	0.265
ˈuː	ˈʌ	0.182
ˈuː	ˈɝ	0.089
ˈuː	ˈʊ	0.087
ˈuː	w	0.052
ˈyː	ˈi	0.542
ˈyː	ˈaɪ̯	0.206
ˈyː	ˈu	0.109
ˈyː	ˈɪ	0.097
ˈæ	ˈæ	0.673
ˈæ	ˈaɪ̯	0.327
ˈæɪ̯	ˈoʊ̯	0.534
ˈæɪ̯	ˈeɪ̯	0.358
ˈæɪ̯	ˈi	0.108
ˈæː	ˈɛ	0.593
ˈæː	ˈɔ	0.234
ˈæː	ˈɑ	0.088
ˈæː	ˈi	0.085
ˈøː	ˈɛ	0.436
ˈøː	ˈi	0.398
ˈøː	-	0.098
ˈøː	ˈoʊ̯	0.067
ˈœ	ˈi	0.371
ˈœ	ˈɪ	0.272
ˈœ	ˈʌ	0.196
ˈœ	ˈɑ	0.067
ˈœʏ̯	ˈi	1.0
ˈɑ	ˈæ	0.414
ˈɑ	ˈɑ	0.328
ˈɑ	ˈu	0.063
ˈɑ	ˈɔ	0.059
ˈɑ	ˈʌ	0.051
ˈɑː	ˈeɪ̯	0.431
ˈɑː	ˈɑ	0.408
ˈɑː	ˈæ	0.112
ˈɔ	ˈʌ	0.584
ˈɔ	ˈɔ	0.27
ˈɔ	ˈeɪ̯	0.075
ˈɛ	ˈɛ	0.411
ˈɛ	ˈoʊ̯	0.104
ˈɛ	ɹ	0.095
ˈɛ	ˈɔ	0.08
ˈɛ	ˈaɪ̯	0.065
ˈɛ	ˈʌɪ̯	0.061
ˈɛ	ə	0.059
ˈɛ	ˈæ	0.058
ˈɪ	ˈɪ	0.55
ˈɪ	ˈaɪ̯	0.242
ˈɪ	ˈi	0.085
ˈɪ	ˈɝ	0.059
ˈʉ	ˈʌ	0.667
ˈʉ	ˈaʊ̯	0.209
ˈʉ	w_ˈʊ	0.066
ˈʉː	ˈaʊ̯	0.512
ˈʉː	ˈaɪ̯	0.184
ˈʉː	ˈʌ	0.111
ˈʉː	ˈɑ	0.084
ˈʉː	ˈɛ	0.059
ˈʊ	ˈʌ	0.623
ˈʊ	ˈɪ	0.226
ˈʊ	ˈɝ	0.151
ˈʏ	ˈɪ	0.745
ˈʏ	ˈu	0.102
ˈʏ	ˈʌ	0.102
ˈʏ	ˈɛ	0.051
