Nynorsk Norwegian	Mainland North Frisian	probability
ˈɑ_ɾ	ˈa_ʀ	1.0
ˈœʏ̯	ˈiː	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈiː	1.0
ˈuː_ɾ	ʀ_d̥	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʉ	ˈɔː_d̥	1.0
ɲ	ŋ	1.0
ɡː	-	1.0
ɛ	-	1.0
ŋː	ŋ	1.0
ŋ	i	1.0
çː	t	1.0
tː	t_ɛi̯	1.0
tʰ_ˈoː	t_ˈuː	1.0
tʰ	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s	s	1.0
pʰ	p	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
e_ɾ	ə_ʀ	1.0
d_ə	ə	1.0
d	d	1.0
b	b	1.0
n	n	0.912
ɑ	ə	0.866
k	k	0.847
ʋ	v	0.817
lː	l	0.792
p	p	0.785
ɾ	ʀ	0.763
nː	n	0.745
ə	ə	0.704
e	-	0.698
ˈiː	ˈi	0.69
ˈæɪ̯	ˈiː	0.685
ʰtː	x	0.672
ˈɑː	-	0.669
j	-	0.664
ˈæʉ̯	ˈuː	0.662
ʂ	ʃ	0.644
ç	k	0.623
ˈʊ	ˈɔ	0.6
ˈɔ	-	0.589
ˈʉ	ˈʊ	0.558
ˈoː	-	0.55
ˈɛ	-	0.549
ˈøː	-	0.532
ˈɪ	ˈi	0.507
ˈʉː	ˈʏ	0.423
ˈʊ	-	0.4
ç	t	0.377
t	tʲ	0.376
t	t	0.368
ʂ	s	0.356
ˈuː	ˈœ	0.352
ˈuː	-	0.346
ˈæʉ̯	ˈyː_dʲ	0.338
j	d	0.336
ˈɑː	ˈɒː	0.331
ʰtː	t	0.328
ˈøː	ˈɛ	0.321
ˈæɪ̯	-	0.315
ˈiː	-	0.31
ˈɪ	ˈa	0.302
ə	-	0.296
ˈeː	ˈa	0.292
ɡ	-	0.291
ɡ	ɡ	0.287
ˈʉ	-	0.278
ˈeː	-	0.274
ˈɔ	ˈɔ	0.27
ˈʏ	ˈʊ	0.259
ˈʏ	-	0.259
ˈɛ	ˈa	0.247
ˈʉː	ˈiː	0.242
ˈɑ	ˈœ	0.235
ˈoː	ˈɔu̯	0.228
ˈeː	ˈɛː	0.223
ˈoː	ˈiː	0.222
e	ə	0.221
ˈɑ	ˈʊ	0.219
p	-	0.215
ˈeː	ˈɛi̯	0.211
lː	lʲ	0.208
ˈʉː	ˈɔː	0.206
ˈɛ	ˈeː	0.205
ˈɪ	ˈai̯	0.191
ˈɑ	ˈɒ	0.189
ɡ	j	0.182
ˈʏ	ˈʏ	0.169
ˈʉ	ˈœː	0.164
ˈuː	ˈɔu̯	0.159
ˈʏ	ˈeː	0.158
t	d	0.158
ˈʏ	ˈa	0.156
nː	nʲ	0.153
k	k_ə	0.153
ɡ	ɣ̥	0.152
ˈøː	ˈiː	0.147
ˈɑ	ˈuː	0.146
ˈuː	ˈœ_dʲ	0.142
ˈɔ	ˈɔː	0.141
ˈʉː	ˈœː	0.129
ˈɑ	-	0.111
nː	z̥	0.101
ˈɑ	ˈɔː	0.1
t	z	0.098
ʋ	-	0.09
n	-	0.088
ɑ	d_ə	0.085
e	ʀ	0.081
ʋ	v̥	0.064
ɾ	ə_ʀ	0.063
ɾ	ˈa_ʀ	0.062
ɡ	j_ə	0.062
ɾ	ˈœ_ʀ	0.059
ɾ	ə	0.053
