Yiddish	Old Frisian	probability
ˈɔ_ɡ	ˈe_j	1.0
ˈa_n	ˈoː	1.0
ʧ	s_k	1.0
ʀ_ʦ	r_t	1.0
ɫ	l	1.0
ɪ	i	1.0
ɡ_ˈɛ	j_ˈe	1.0
ɡ_ə	ɡ_ə	1.0
ɛ_m	m	1.0
ɛ	-	1.0
ə_ʀ	r_ə	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z_ˈɛ	s_ˈe	1.0
z_ˈa	s_ˈa	1.0
v	w	1.0
s_t	s_t	1.0
p	pː	1.0
n_d	n_d	1.0
j	j	1.0
h	h	1.0
a	ə	1.0
ʀ	r	0.932
s	t	0.882
m	m	0.847
f	f	0.825
z	s	0.821
ə	ə	0.768
ˈɛ	ˈe	0.734
ˈɛɪ̯	ˈɛː	0.71
b	b	0.642
ˈɛ_ʀ	r	0.621
n	n	0.579
ʃ	s_k	0.577
t	d	0.567
d	θ	0.564
ʦ	t	0.56
ˈʊ	ˈu	0.559
ˈa	ˈa	0.527
ˈaɪ̯	ˈiː	0.524
ˈɪ	ˈi	0.503
ˈɔɪ̯	ˈaː	0.501
ɡ	ɡ	0.484
χ	x	0.451
ʦ	tː	0.44
ʃ	s	0.423
k	k	0.418
ˈɛ_ʀ	ˈeː_r	0.379
t	t	0.356
ˈɔɪ̯	ˈuː	0.336
χ	k	0.316
b	v	0.314
ˈɛɪ̯	ˈaː	0.29
ˈa	ˈɔː	0.278
ˈɔ	ˈɔː	0.277
ˈaɪ̯	-	0.266
n	ə	0.262
ˈʊ	ˈoː	0.257
ɡ	ɣ	0.251
χ	k_ə	0.232
ə	-	0.232
k	ɣ̥	0.225
d	d	0.223
ˈɔ	ˈeː	0.218
ˈaɪ̯	ˈi̯uː	0.21
k	kː	0.203
ˈɛ	-	0.202
ˈɪ	ˈeː	0.195
ˈa	ˈe	0.195
z	z	0.179
f	p	0.175
ˈɔ	ˈo	0.163
ɡ	j	0.16
ˈɔ	ˈe	0.155
k	ʦ	0.154
d	ð	0.148
ˈɪ	ˈi̯aː	0.145
ˈʊ	ˈo	0.117
m	-	0.108
ˈɪ	ˈe	0.107
ɡ	ʣ	0.105
ˈɔ	-	0.104
ˈɔɪ̯	-	0.095
n	nː	0.085
t	θ	0.078
s	t_ə	0.072
ˈʊ	ˈuː	0.068
ˈɔɪ̯	ˈu	0.068
ʀ	r_ə	0.068
d	-	0.065
ˈɛ	ˈi	0.064
ˈɪ	ˈiː	0.052
