Old High German	English	probability
ˈɛ_ɡ	ˈeɪ̯	1.0
ˈɑ_ɡ	ˈeɪ̯	1.0
ˈɑ_x	ˈaɪ̯	1.0
ˈɑ_r	ˈɑː	1.0
ˈɑ_n	ˈuː	1.0
ˈɑ_l	ˈɑː	1.0
ˈu_n	ˈɪ	1.0
ˈou̯	ˈiː	1.0
ˈo_r	ˈɔː	1.0
ˈiː_n	ˈaɪ̯_n	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯_w	ˈuː	1.0
ˈio̯_ɡ	ˈaɪ̯	1.0
ˈie̯	ˈɪ	1.0
ˈeː	ˈəʊ̯	1.0
ʦː	t	1.0
ɛ	ə	1.0
ə	-	1.0
ɑ_ɡ	ɪ	1.0
ɑ_r	ə	1.0
ɑ_n	n	1.0
ɑ_l	ɫ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_t	t	1.0
w_ˈo	w	1.0
w	w	1.0
tː	d	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ɑ	z	1.0
s_w	s	1.0
s_t	s_t	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
r_ˈiː	ɜː	1.0
r_ɑ	ə	1.0
r_i	ə	1.0
p͡f	pʰ	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈiː	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
kʰ_n	n	1.0
k	k	1.0
j	j	1.0
i_r	ə	1.0
i	-	1.0
fː	p	1.0
f_ɑ	p	1.0
eː	-	1.0
e	-	1.0
b_ɑ	v	1.0
s	s	0.939
ɑ	-	0.921
t	d	0.825
b	b	0.788
u	-	0.783
h	h	0.761
kʰ	kʰ	0.743
f	f	0.736
ɡ	-	0.729
d	θ	0.711
x	k	0.694
ˈei̯	ˈəʊ̯	0.677
ˈu	ˈɐ	0.659
ˈoː	-	0.657
ˈuː	ˈaʊ̯	0.648
ˈe	ˈe	0.64
ʦ	tʰ	0.622
l	l	0.591
ˈɛ_r	ˈɑː	0.571
r	ɹ	0.57
ˈi	ˈɪ	0.561
n	-	0.555
ˈu_r	ˈɔː	0.546
ˈɑː	-	0.543
xː	k	0.522
ˈiu̯	ˈaɪ̯	0.5
ˈiu̯	-	0.5
xː	ʧ	0.478
ˈu_r	ˈɜː	0.454
n	n	0.445
kː	ʤ	0.436
ˈɛ_r	ˈɔː	0.429
l	ɫ	0.409
ˈio̯	ˈiː	0.381
ʦ	t	0.378
ˈuo̯	ˈiː	0.368
ˈɛ	ˈe	0.365
ˈe	-	0.36
ˈio̯	ˈɪ	0.359
kː	k	0.346
ˈoː	ˈe	0.343
ˈɑː	ˈiː	0.342
ˈɑ	ˈæ	0.323
x	ˈaɪ̯	0.306
ˈɛ	ˈɛ	0.264
ˈio̯	-	0.26
ˈo	ˈɐ	0.257
kʰ	ʧ	0.257
ˈo	-	0.248
ˈɑ	-	0.239
h	-	0.239
ˈi	ˈaɪ̯	0.232
ˈuː	ˈɐ	0.23
r	ˈɔː	0.219
kː	-	0.218
u	ɪ	0.217
b	v	0.212
ˈei̯	ˈe	0.21
ˈuo̯	ˈuː	0.209
ˈu	ˈɪ	0.191
ˈɛ	-	0.189
ˈɑ	ˈeɪ̯	0.188
ˈo	ˈʊ	0.186
ˈo	ˈɒ	0.186
ˈɛ	ˈɪ	0.182
f	p	0.179
ˈi	ˈiː	0.169
ˈuo̯	ˈʊ	0.159
ˈuo̯	ˈɐ	0.159
d	ð	0.157
ˈu	-	0.151
ɡ	ɡ	0.141
d	d	0.132
ɡ	j	0.131
ˈo	ˈɔː	0.123
ˈuː	ˈaɪ̯	0.122
ˈɑː	ˈe	0.115
ˈei̯	-	0.113
ˈɑ	ˈɑː	0.109
r	ˈɜː	0.108
ˈuo̯	ˈaʊ̯	0.105
r	ə	0.104
t	ð	0.102
f	v	0.085
ˈɑ	ˈɒ	0.082
ɑ	ə	0.079
t	t	0.073
s	z	0.061
ˈɑ	ˈəʊ̯	0.058
