Saterland Frisian	East Low German	probability
ˈɪ	ˈɪ	1.0
ˈoːu̯_n	ˈa_n	1.0
ˈoːu̯_l	ˈɔ_l	1.0
ˈoːu̯_d	ˈuː_æ	1.0
ˈoː_l	ˈa_l	1.0
ˈiː_w	ˈiː	1.0
ˈiː_r	ˈaː	1.0
ˈi_#>	ˈiː_#>	1.0
ɣ_j	ɡ_n	1.0
ɣ	-	1.0
ŋ_ə	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
z	-	1.0
x_t	ç	1.0
x_#>	ç_#>	1.0
t_ə	t	1.0
t_#>	t_#>	1.0
t	t	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r_ˈɪ	r_ˈɪ	1.0
r_m	æ_m	1.0
r_j	r	1.0
r_#>	æ_#>	1.0
p_ə	p	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
m_ə	m	1.0
m	m	1.0
l_ˈoːu̯	l_ˈaʊ̯	1.0
l_ə_#>	l_#>	1.0
l_v	l_m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_s	s	1.0
k_#>	k_#>	1.0
k	-	1.0
j_ˈoː	ˈae̯	1.0
j	-	1.0
f_#>	f_#>	1.0
d_ə	æ	1.0
<#_ɣ	<#_ɡ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#	<#_ˈa	1.0
ə_#>	n_#>	0.867
x	x	0.75
r	r	0.714
<#_j	<#_j	0.714
ˈi	ˈiː	0.636
ə	-	0.625
ˈeː	ˈae̯	0.6
ˈaː	ˈa	0.6
ɪ	ɪ	0.6
n_#>	n_#>	0.6
ˈʊ	ˈʊ	0.583
ˈɛː	ˈʏ	0.571
n	n	0.571
k_ə	k_n	0.571
ˈoː	ˈaʊ̯	0.55
ˈoːu̯	ˈaʊ̯	0.545
d_#>	d_#>	0.536
<#_t	<#_tʰ	0.529
ˈɛ	ˈʏ	0.5
ˈɛ	ˈɛ	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈa	0.5
ˈiː	ˈɪ	0.5
ˈa	ˈɛ	0.5
ˈa	ˈa	0.5
ɣ_ə	ç	0.5
ɣ_ə	m	0.5
d	d	0.5
d	-	0.5
<#_s	<#_ʃ	0.5
ˈuː	ˈuː	0.476
<#_t	<#_d	0.471
d_#>	t_#>	0.464
ˈɛː	-	0.429
ˈɛɪ̯	ˈɔʏ̯	0.429
n	-	0.429
k_ə	k	0.429
<#_s	<#_z	0.429
ˈaː	ˈae̯	0.4
ɪ	-	0.4
n_#>	#>	0.4
v	w	0.375
v	v	0.375
ˈɔː	ˈɒː	0.357
ˈɔː	ˈa	0.357
ˈiː	ˈiː	0.3
<#_j	<#_d	0.286
ˈoːu̯	ˈɒː	0.273
ˈʊ	ˈɪ	0.25
x	f	0.25
v	-	0.25
ˈɛɪ̯	ˈɒː	0.214
ˈɛɪ̯	ˈae̯	0.214
ˈiː	ˈoː	0.2
ˈoːu̯	ˈuː_æ	0.182
ˈi	ˈɪ	0.182
ˈi	-	0.182
ˈʊ	ˈʏ	0.167
ə	ŋ	0.167
ˈoː	-	0.15
ˈɛɪ̯	ˈiː	0.143
ˈɔː	ˈɛ	0.143
ˈɔː	ˈɔ	0.143
ˈuː	ˈœː	0.143
r	ˈaː	0.143
r	æ	0.143
ˈeː	ˈɛː_ɾ	0.133
ˈeː	ˈɔʏ̯	0.133
ˈeː	ˈeː	0.133
ə_#>	m_#>	0.133
ə	n	0.125
ˈoː	ˈɒː	0.1
ˈoː	ˈoː	0.1
ˈoː	ˈae̯	0.1
ˈuː	ˈʊ_n	0.095
ˈuː	ˈɔ	0.095
ˈuː	ˈɒː	0.095
ˈuː	ˈaʊ̯_ɾ	0.095
ə	s	0.083
<#_s	<#	0.071
