Upper Sorbian	Upper Sorbian	probability
ʦ	k	1.0
ʥ	d	1.0
ʒ̊	ɡ	1.0
ʒ	ɡ	1.0
ʃ	k	1.0
ʀ	r	1.0
ɲ	-	1.0
ɥ	w	1.0
ɔ_#>	#>	1.0
z̥	zʲ	1.0
xʲ	-	1.0
w_ɔ	w_a	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ_a	m_eː	1.0
m	m	1.0
l	l	1.0
kʲ_i	u	1.0
j	oː	1.0
d̥	d_a	1.0
bʲ	b	1.0
b	b	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
z	zʲ	0.889
ɦ	ɡ	0.846
t	t	0.8
k	k	0.75
d	d	0.714
#>	s_#>	0.708
i	s	0.667
x	́_ɡ	0.6
o	a_́	0.571
ʀʲ	́_r	0.5
ʀʲ	r	0.5
<#_w	<#_a	0.5
<#_w	<#	0.5
ɛ	-	0.444
o	u_́	0.429
ɪ	a_s	0.4
x	́_ʃ	0.4
w	l	0.4
e	e_́	0.4
ʨ	t_ei̯	0.385
s	sʲ	0.385
s	s	0.385
a	aː	0.367
ɔ	a	0.348
i	iː	0.333
a	aː_́ˀ	0.333
ʨ	t	0.308
ʨ	-	0.308
w	w	0.3
d	ˀ_t	0.286
u	a_́	0.267
e	ai̯	0.267
ɔ	i_́	0.261
k	k_a	0.25
s	ʃ	0.231
#>	ˀ_#>	0.229
ɛ	i	0.222
ɛ	e_́	0.222
ɪ	uː	0.2
ɪ	a	0.2
ɪ	-	0.2
w	́_l	0.2
u	ŋ	0.2
u	au̯	0.2
u	-	0.2
t	t_a	0.2
e	i	0.2
a	-	0.2
ɦ	zʲ	0.154
u	a_n	0.133
e	-	0.133
ɔ	e_́	0.13
ɛ	ɛ	0.111
z	z	0.111
w	l_ˀ	0.1
a	oː	0.1
ɔ	i	0.087
ɔ	e	0.087
ɔ	-	0.087
#>	a_#>	0.062
