Phone1	Phone2	Surprisal
a	a	0.0
ã_n	ã	0.0
b	b	0.0
d	d	0.0
e	-	0.0
e_s	s	0.0
f	f	0.0
f_r	f_r	0.0
i	-	0.0
ĩ	ĩ	0.0
j	-	0.347
j	ˈɑː	3.612
j	e	3.96
j	ɡ	4.255
j	d	6.025
j_n	n	0.0
k	k	0.0
k_l	ʧ	0.0
k_r	k_r	0.0
l	l	0.958
l	j	1.044
l_ə	l_a	0.0
m	m	0.132
m	-	3.518
n	n	0.852
n	-	1.356
n	n_a	4.176
o	-	0.0
p	p	0.0
r	r	0.1
r	-	4.907
r	ʧ	4.907
r_t	r_t	0.0
r_ə	e_r	0.0
s	s	0.0
s_ˈɛ	s_ˈɛ	0.0
t	t	0.103
t	ʧ	3.855
t_ˈi	ʃ	0.0
u	u	0.622
u	y	1.514
ũ	ũ	0.0
v	v	0.155
v	-	3.3
w	-	1.348
w	w	1.465
w	l	2.029
w_ˈɛ	ˈøː	0.0
y	-	0.0
z	ʒ	0.889
z	z	1.12
ŋ_k	k	0.0
ɔ	u	0.0
ə	a	0.358
ə	e	2.758
ə	i	4.035
ə	-	6.486
ɛ	e	0.0
ɡ	ɡ	0.0
ɡ_l	ʤ	0.0
ɲ	ɲ	0.0
ʎ	j	0.658
ʎ	-	1.449
ʤ	ʒ	1.209
ʤ	-	1.254
ʤ	d	2.755
ʦ	s	0.0
ʧ	k	0.0
ʧ_j	k	0.0
ˈa	ˈa	0.95
ˈa	ˈɑː	1.593
ˈa	-	3.262
ˈa	ˈo	4.429
ˈã	ˈã	0.687
ˈã	ˈa	1.985
ˈã	ˈɑː	2.988
ˈã_j	ˈɑː	0.0
ˈã_n	ˈã	0.0
ˈe	ˈa	0.759
ˈe	ˈɑː	2.815
ˈe	-	2.844
ˈe	ˈe	2.969
ˈẽ	ˈeː	1.487
ˈẽ	-	1.815
ˈẽ	ˈẽ	1.903
ˈẽ	ẽ	3.449
ˈẽ_n	ˈẽ	0.0
ˈi	ˈɛ	1.315
ˈi	ˈi	1.804
ˈi	ˈiː	2.41
ˈi	j	3.016
ˈi_r	ˈi	0.0
ˈi_s	ˈeː_s	0.0
ˈĩ	ˈĩ	0.532
ˈĩ	ˈiː	1.697
ˈo	ˈu	0.0
ˈu	ˈuː	1.569
ˈu	ˈu	1.608
ˈu	ˈyː	2.573
ˈu	-	2.583
ˈu_s	ˈỹ	0.0
ˈũ	ˈɔ	1.438
ˈũ	ˈu	1.604
ˈũ	-	1.728
ˈũ_n	ˈũ	0.0
ˈũ_ŋ	ˈũ	0.0
ˈy	ˈyː	0.997
ˈy	-	1.003
ˈy_j	ˈɔ	0.0
ˈỹ	ˈyː	0.0
ˈɔ	ˈɔ	1.386
ˈɔ	ˈoː	2.78
ˈɔ	-	3.406
ˈɔ	d	3.406
ˈɔ	ˈeː	3.406
ˈɔ	ˈi	3.406
ˈɔ	ˈuː	3.406
ˈɔ_j	ˈeː	1.389
ˈɔ_j	ˈiː	1.556
ˈɔ_j	ˈɛ	1.846
ˈɛ	ˈɛ	1.405
ˈɛ	-	2.344
ˈɛ	ˈɑː	2.401
ˈɛ	ˈɑː_d	2.978
ˈɛ	ˈe	3.196
ˈɛ_r	ˈɛ_r	0.609
ˈɛ_r	r	1.539
ˈɛ_w	ˈøː_k	0.0
