Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	-	1.0
ˈʏ	-	1.0
ˈʊ	ˈʊ	1.0
ˈɛːi̯	-	1.0
ˈœː	ˈɔ	1.0
ˈœi̯	-	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ˈu	ˈɛːi̯	1.0
ˈiː	ˈʊ̯iː	1.0
ˈi_x_#>	ˈeː_#>	1.0
ʃ	ʃ	1.0
ʀ_ə_#>	t͡n̥_#>	1.0
ʀ_d̥	ɹ	1.0
ɪ	-	1.0
ɡ	-	1.0
ə_ʀ	ɪ_ɹ	1.0
ə_m	m_ʊ	1.0
ə_l	l	1.0
ə_#>	#>	1.0
z̥_#>	s_#>	1.0
w	t͡l̥	1.0
v̥	v_ʊ	1.0
v_ə	v_a	1.0
n_d	nː	1.0
m	m	1.0
k_ə	a	1.0
i	a	1.0
d̥_#>	#>	1.0
b	b̥	1.0
<#_ʃ	<#	1.0
<#_ʀ	<#_ɹ	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_d	<#	1.0
<#	<#_kʰ	1.0
ɦ	h	0.913
z	s	0.913
v	f	0.905
ˈɪː	ˈɪ	0.8
ˈuː	ˈʉːu̯	0.8
ŋ	ŋ	0.769
ˈɪ	-	0.75
ˈɛ	-	0.75
ˈɔː	-	0.714
x	ʰt	0.714
ʀ	ɹ	0.685
n	n	0.677
ˈɒː	ˈɔ̯aː	0.667
ˈɑː	ˈa	0.667
n_#>	n_#>	0.667
<#_β	<#_v	0.667
d	d̥	0.615
ˈœ	ˈɪ	0.6
l	l	0.593
t	t	0.581
ə	a	0.567
j	-	0.538
ˈɔ	ˈʊ	0.5
ˈɔ	-	0.5
ˈæː	ˈɔ	0.5
ˈæː	ˈa	0.5
ˈi	ˈɔ̯aː	0.5
ˈi	-	0.5
k	k	0.474
s	s	0.471
ˈɛː	ˈai̯	0.467
p	p	0.455
d̥	d̥_ʊ	0.455
#>	ʊ_ɹ_#>	0.436
ɣ̊	v_ʊ	0.429
ˈœ	-	0.4
ˈøː	ˈøː	0.4
ˈøː	-	0.4
d	tʰ	0.385
ˈaː	ˈɛːa̯	0.381
ɣ	ʤ̊	0.375
ɣ	ɡ̊	0.375
p	ʰp	0.364
d̥	d̥	0.364
#>	ɹ_#>	0.362
ˈʊː	ˈʊ	0.35
ˈɒː	-	0.333
ˈɑː	ˈɔ	0.333
ˈoː	ˈʊ	0.333
ˈoː	ˈɔːu̯	0.333
ˈoː	-	0.333
ˈaː	ˈa	0.333
n_#>	#>	0.333
<#_β	<#	0.333
t	ʰt	0.323
j	j	0.308
ˈɔː	ˈɛːi̯	0.286
ɣ̊	w_ʊ	0.286
ɣ̊	-	0.286
x	-	0.286
ˈɑ	ˈɛːa̯	0.273
ˈɑ	ˈɔ	0.273
ˈɑ	ˈa	0.273
ˈɪ	ˈɛ	0.25
ˈɛ	ˈɪ	0.25
ɣ	ɡ̊_v̥	0.25
ˈeː	ˈeː	0.231
n	nː	0.226
l	t͡l̥	0.222
ˈʊː	ˈɔ	0.2
ˈʊː	-	0.2
ˈɪː	-	0.2
ˈɛː	ˈaːi̯	0.2
ˈɛː	-	0.2
ˈøː	ɹ	0.2
ˈuː	-	0.2
ˈaː	-	0.19
ˈɑ	ˈɛ	0.182
p	-	0.182
d̥	j_ʊ	0.182
s	ʃ	0.176
s	s_t	0.176
s	s_k	0.176
k	ʧʰ	0.158
k	ʧ	0.158
k	ɡ̊_ʊ	0.158
ˈeː	-	0.154
ŋ	ʰk	0.154
j	l	0.154
ˈʊː	ˈɔːu̯	0.15
ˈɛː	ˈiː	0.133
#>	a_#>	0.128
ˈeː	ˈʉːu̯	0.115
ˈeː	ˈɛ	0.115
l	ˈœ	0.111
ˈʊː	ˈoː	0.1
ə	ʊ	0.1
n	-	0.097
ˈaː	ˈɔ	0.095
v	v	0.095
ʀ	-	0.093
ɦ	j	0.087
z	ʃ	0.087
ə	-	0.083
ˈeː	ˈɛːa̯	0.077
ˈeː	ˈɔːu̯	0.077
ˈeː	ˈuː	0.077
ˈeː	ˈiː	0.077
ˈeː	j	0.077
ŋ	ɲ	0.077
ʀ	ɹ_ʊ	0.074
l	ˈɛːa̯_l	0.074
t	ʈ	0.065
k	ʰʧ	0.053
#>	ɪ_#>	0.053
