Bellunese	Eastern Lombard	probability
b	b	1.0
f	f	1.0
k	k	1.0
m	m	1.0
p	p	1.0
s	s	1.0
ð	z	1.0
ʧ	ʧ	1.0
ˈɛ	ˈɛ	1.0
ŋ	n	0.341
ˈu	ˈø	0.071
e	d_e	0.112
o	o	0.512
r	r	0.912
z	s	0.072
ɲ	-	0.212
ˈe	ˈi	0.132
t	ʧ	0.113
w	-	0.3
ŋ	ŋ	0.503
θ	-	0.053
d	d	0.964
i	e	0.164
n	n	0.944
ˈi	ˈi	0.654
ˈo	ˈø	0.114
ˈo	ˈo	0.224
a	a	0.95
e	i	0.125
e	e	0.445
l	l	0.975
ˈe	-	0.105
ˈe	ˈe	0.265
i	i	0.836
j	j	0.976
v	-	0.496
ŋ	m	0.156
ˈɔ	ˈɔ	0.436
t	t	0.887
v	ʋ	0.477
w	w	0.7
z	z	0.897
ˈi	ˈe	0.217
ˈɔ	ˈø	0.077
ˈɔ	ˈo	0.487
θ	s	0.947
ɡ	ɡ	0.958
ɲ	ɲ	0.788
ˈa	ˈa	0.928
ˈe	ˈɛ	0.498
ˈo	ˈu	0.628
e	-	0.279
o	-	0.449
ˈi	ˈø	0.129
ˈu	ˈy	0.929
