Scots	Mainland North Frisian	probability
θ_r	t_ʀ	1.0
ˈɛː	ˈi	1.0
ˈøː	ˈœi̯_f	1.0
ˈoː	-	1.0
ˈiː_r	ʀ	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈi_k	1.0
ˈaɪ̯	-	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ɪ	i_k	1.0
ɛ	-	1.0
ŋ	ŋ	1.0
ð	d	1.0
ç	x	1.0
tʰ	t	1.0
t_ə	d_ə	1.0
pʰ	p	1.0
m	m	1.0
l_ˈi	l_ˈuː	1.0
l_d	lʲ	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	i_ŋ	1.0
d_r	d_ʀ	1.0
b	b	1.0
r	ʀ	0.976
ə	ə	0.915
l	l	0.905
w	v	0.902
s	s	0.882
n	n	0.853
p	p	0.793
k	k	0.762
ˈo	ˈɔ	0.748
ɡ	ɡ	0.737
ˈəi̯	ˈi	0.719
n_d	n	0.675
t	t	0.659
x	-	0.615
θ	t	0.607
ˈʌ	ˈʊ	0.605
ˈuː	ˈʏ	0.6
v	v_ə	0.581
i	i	0.573
ˈiː	ˈiː	0.546
ˈʌu̯	ˈɔu̯	0.5
ˈʌu̯	-	0.5
z	z	0.5
z	s	0.5
ˈe	ˈiː	0.492
ˈu	ˈʏ	0.442
i	ɛi̯	0.427
v	v	0.419
ˈɑː	ˈœ	0.4
ˈuː	ˈʊ_l	0.4
ˈʌ	-	0.395
ˈa	-	0.386
x	x	0.385
ˈø	ˈɔu̯	0.37
ˈø	ˈœ	0.36
ˈi	-	0.351
d	d	0.338
n_d	nʲ	0.325
ˈəi̯	-	0.281
ˈi	ˈɛi̯	0.279
d	dʲ	0.276
ˈø	-	0.27
ˈeː	ˈa	0.269
ˈiː	ˈuː	0.265
ɡ	-	0.263
ˈeː	-	0.261
ˈo	ˈɔː	0.252
ˈɪ	ˈa	0.249
θ	z̥	0.242
ˈu	-	0.242
k	k_ə	0.238
ˈe	-	0.228
d	d̥	0.225
ˈɛ	ˈɒ	0.21
ˈɛ	ˈeː	0.209
p	-	0.207
ˈu	ˈœː	0.191
ˈi	ˈiː	0.187
ˈa	ˈʊ	0.185
ˈa	ˈɔː	0.185
ˈi	ˈɛ	0.183
ˈɛ	-	0.181
t	tʲ	0.158
θ	-	0.152
ˈeː	ˈeː	0.15
ˈɪ	ˈœ	0.148
ˈɪ	ˈi	0.146
ˈa	ˈɛː	0.143
ˈe	ˈyː	0.142
ˈe	ˈɒː	0.138
ˈeː	ˈɒː	0.136
ˈɛ	ˈɛː	0.133
ˈɛ	ˈɒː	0.133
ˈɛ	ˈi	0.133
d	-	0.128
ˈu	ˈœː_j	0.125
ˈɑː	ˈɒ	0.122
ˈɑː	ˈuː_l	0.122
ˈɑː	ˈiː	0.12
ˈɑː	ˈɒ_l	0.119
ˈɑː	-	0.117
ˈɪ	ˈʊ	0.114
ˈɪ	-	0.114
ˈeː	ˈʊ	0.108
ˈa	ˈeː	0.1
w	-	0.098
ə	-	0.085
n	n_ə	0.082
ˈiː	ˈɛi̯	0.081
s	ʃ	0.081
ˈiː	ˈiː_nʲ	0.078
ˈeː	ˈyː	0.076
n	nʲ	0.065
ˈɪ	ˈaː	0.063
t	t_ə	0.062
ˈɪ	ˈai̯	0.061
t	ˈiː_tʲ	0.061
t	-	0.061
l	j	0.054
