Slovenian	Slovenian	probability
́_w	̂	1.0
́_r	̂	1.0
́_#>	#>	1.0
̀_n	̌_n	1.0
̀_l	̌_l	1.0
̀_k	̌_k	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʋ_#>	ʋ_#>	1.0
ɡ̊_#>	ɡ_#>	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː	e	1.0
ɛ_#>	e_#>	1.0
ə_w	a_o	1.0
ə_n	a_n	1.0
ə_k	a_k	1.0
z̥	-	1.0
z	z	1.0
w_#>	l_#>	1.0
uː	uː	1.0
u	-	1.0
t	t	1.0
s	s	1.0
r_j	r	1.0
r_#>	r_#>	1.0
p	p	1.0
oː_̀	o_̂	1.0
o	o_̂	1.0
m	m	1.0
k	k	1.0
j	-	1.0
i	i	1.0
eː_́	eː	1.0
d̥_#>	d_#>	1.0
d	d	1.0
b̥_#>	b_#>	1.0
b	b	1.0
aː_́	aː	1.0
aː_̀	a_̂	1.0
aː	aː	1.0
a	a	1.0
<#_ʋ	<#_u	1.0
<#_ɔː	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
#>	a_#>	1.0
́	̂	0.933
n	n	0.846
ʋ	ʋ	0.84
ɛ	e	0.833
x	x	0.833
r	r	0.8
̀	̌	0.75
ɔ	o	0.733
̀_t	̂_t	0.667
l	l	0.65
ə	a	0.636
e	e	0.6
iː	iː	0.533
ʧ	ʨ	0.5
ʧ	-	0.5
iː	i	0.467
ɔː	o	0.444
e	eː_̂	0.4
eː	j_eː	0.379
̀_t	t	0.333
ɔː	uː	0.333
oː	oː	0.32
oː	o	0.32
eː	e	0.31
oː	uː	0.28
̀	̂	0.25
eː	eː	0.241
ɔː	u	0.222
r	-	0.2
ə	r̩	0.182
ɛ	-	0.167
x	k	0.167
ʋ	ʋ_j	0.16
n	ɲ	0.154
l	ʎ	0.15
ɔ	oː	0.133
ɔ	-	0.133
l	̌_ʎ	0.1
l	-	0.1
ə	r̩ː	0.091
ə	eː	0.091
oː	u	0.08
eː	j_e	0.069
́	-	0.067
