Eastern Lombard	Aragonese	probability
ˈø_l	ˈi_ʎ	1.0
ˈy	ˈu	1.0
z_o	z	1.0
z_a	s_a	1.0
y	e_m	1.0
w	w	1.0
t_a	t_a	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_n	ɾ_n	1.0
r_k	ɾ_k	1.0
p	p	1.0
m	m	1.0
j_ˈa	l_ˈa	1.0
f	f	1.0
e_n	e_n	1.0
d_e	j	1.0
b_ˈa	b_ˈa	1.0
a_m	a_m	1.0
a	a	0.955
ˈa	ˈa	0.896
k	k	0.879
ɡ	ɣ	0.877
n	n	0.866
l	l	0.86
r	ɾ	0.827
o	o	0.768
ɲ	ɲ	0.731
ˈu	ˈo	0.688
t	t	0.667
ˈɔ	w_ˈe	0.652
e_r	ɾ_o	0.648
ŋ	ŋ	0.604
z	ʧ	0.562
b	β	0.553
ˈe	ˈe	0.536
ˈø	ˈu	0.535
ʧ	ʎ	0.529
ʋ	-	0.519
e	e	0.508
ˈi	ˈi	0.491
ʋ	b	0.481
ˈɛ	ˈe	0.48
ˈo	ˈo	0.472
b	b	0.447
z	-	0.438
d	ð	0.435
ʤ	-	0.41
ŋ	-	0.396
ˈɛ	j_ˈe	0.39
j	l	0.358
i	-	0.356
e	i	0.356
i	i	0.352
e_r	ɾ	0.352
s	θ	0.338
ʤ	ʎ	0.333
d	d	0.312
i	e	0.293
ˈɔ	ˈo	0.27
ɲ	n	0.269
s	s	0.262
ʤ	ʧ	0.256
ˈo	w_ˈe	0.254
ʧ	θ	0.245
j	ʎ	0.233
o	u	0.232
ʧ	k_l	0.226
j	-	0.22
ˈe	j_ˈe	0.204
j	ð	0.189
t	ð	0.188
ˈø	w_ˈe	0.186
ˈu	w_ˈe	0.184
ˈø	w	0.156
ˈo	ˈu	0.154
ˈi	ˈe_ɾ	0.148
ˈi	ˈi_ɾ	0.145
l	ʎ	0.14
d	ʝ	0.129
ˈu	ˈo_n	0.128
s	e_s	0.128
ˈi	ˈi_n	0.127
d	-	0.124
ˈø	ˈo	0.123
ɡ	-	0.123
ˈo	ˈa	0.12
r	ɾ_o	0.096
ˈe	b_ˈe	0.091
ˈi	ˈe	0.088
s	j_ʃ	0.083
s	-	0.083
ˈe	ˈi	0.079
ˈɔ	ˈu_j	0.078
n	ɲ	0.078
ˈa	ɾ_ˈa	0.077
k	ˈe_ɣ	0.076
e	ˈe	0.075
s	ʃ	0.074
ˈɛ	ʝ_ˈe	0.073
t	j_t	0.065
e	j	0.062
ˈɛ	ˈe_j	0.057
n	ɾ	0.056
ˈe	j	0.051
