Asturian	Asturian	probability
θ_ˈe	ʃ	1.0
θ_#>	#>	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ŋ	ˈẽ	1.0
ˈe_ʝ	j	1.0
ˈe_ʎ	ˈa	1.0
ˈe_ɾ	ʀ	1.0
ˈe_n	ˈɛ̃	1.0
ˈa_ɾ	ˈe	1.0
ˈa_ŋ	ˈɑ̃	1.0
ʧ	t	1.0
ʝ_a	j	1.0
ʝ	-	1.0
ɾ_t	ʀ	1.0
ɲ_a	n	1.0
ɣ_w	w	1.0
ɟ͡ʝ	ʤ_ˈi	1.0
ð_a	j	1.0
ð	-	1.0
u_#>	#>	1.0
t_ɾ_o_s_#>	t_#>	1.0
s_k	ʃ	1.0
r	ʀ	1.0
n_a	n	1.0
l_#>	#>	1.0
k_ˈa	ʧ	1.0
k_ɾ	k_ʀ	1.0
k_a	ʧ	1.0
j_#>	ˈɛ_#>	1.0
i_ŋ	ẽ	1.0
i	-	1.0
f	f	1.0
b_j	v	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
p	p	0.92
e	-	0.868
m	m	0.826
d	d	0.818
ʃ	ʤ	0.778
ˈu_n	ˈɔ̃	0.75
ɣ	-	0.75
ɲ	ɲ	0.714
ʎ	l	0.667
ɡ	ɡ	0.667
u	-	0.667
j_ˈe	ˈiː	0.667
<#_e	<#	0.667
#>	ˈɛ_#>	0.667
s	s	0.636
w_ˈe	ˈuː	0.625
ɾ	ʀ	0.607
b	v	0.593
k	k	0.542
t	t	0.536
w	w	0.533
o	ɔ	0.526
β_e_#>	f_#>	0.5
β_e_#>	#>	0.5
ˈa_ð	ˈɛː	0.5
ˈa_ð	ˈɛ	0.5
ŋ	ˈɔ̃	0.5
ŋ	ˈẽ	0.5
θ	s	0.476
o	-	0.474
l	-	0.474
t	-	0.464
j	j	0.45
j	-	0.45
l	l	0.421
β	-	0.412
b	b	0.407
n	n	0.4
ˈi	ˈɛ	0.389
ˈu	-	0.375
w_ˈe	ˈɔ	0.375
k	ʧ	0.375
a	a	0.364
β	f	0.353
ɡ	-	0.333
u	ɔ	0.333
j_ˈe	ˈɛ	0.333
<#_e	<#_ɛ	0.333
#>	j_#>	0.333
ɾ	-	0.328
ˈo	ˈɔ	0.312
ˈa	ˈa	0.303
n	-	0.3
ɲ	-	0.286
ˈu_n	ˈœ̃	0.25
ˈu	ˈuː	0.25
ˈu	ˈu	0.25
ɣ	ɡ	0.25
s	-	0.25
β	v	0.235
a	j	0.227
ˈe	ˈɛ	0.226
ˈi	ˈiː	0.222
ˈi	-	0.222
ʃ	-	0.222
ˈo	ˈoː	0.219
ˈa	ˈɔː	0.212
w	-	0.2
θ	-	0.19
ˈe	-	0.189
ˈa	ˈiː	0.182
d	-	0.182
m	-	0.174
ˈe	w	0.17
ˈi	ˈi	0.167
n	ˈɛ̃	0.15
θ	ʃ	0.143
ʎ	p_l	0.143
a	ɛ	0.136
a	-	0.136
w	ˈøː	0.133
w	ˈuː	0.133
ˈe	ˈa	0.132
e	ɛ	0.132
ˈu	ˈyː	0.125
ˈo	ˈuː	0.125
ˈo	ˈu	0.125
ˈa	ˈe	0.121
ˈa	w	0.121
l	j	0.105
n	ˈɑ̃	0.1
j	ˈiː	0.1
θ	ˈɛ	0.095
θ	ʒ	0.095
ʎ	k_l	0.095
ʎ	-	0.095
ˈo	ˈøː	0.094
ˈe	ˈɛː	0.094
a	n	0.091
k	-	0.083
p	-	0.08
s	ʃ	0.068
ɾ	ˈe	0.066
ˈo	ɔ	0.062
ˈo	-	0.062
ˈa	ˈɑ̃	0.061
ˈe	ˈi	0.057
ˈe	ˈeː	0.057
