Eastern Lombard	Eastern Lombard	probability
ˈɛ_r	ˈɛ_rː	1.0
ˈø_l	ʎː	1.0
ˈy	ˈu	1.0
ˈa_t	ˈa_tː	1.0
ø	-	1.0
y	u_ʧ	1.0
w	w	1.0
u	o	1.0
t_#>	t_o_#>	1.0
r_ˈɛ	r_ˈe	1.0
r_ˈe	j_ˈɛ	1.0
r_s	r_ʦ	1.0
r_a	r_a	1.0
r_#>	r_o_#>	1.0
p	p	1.0
o_l	o_l	1.0
m_#>	m_e_#>	1.0
l_ˈɛ	l_ˈe	1.0
k_r	k_r	1.0
k_#>	ɡ_o_#>	1.0
e_r	r_o	1.0
a_m	a_m	1.0
a_l	a_l	1.0
<#_ˈø	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_k_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_e	<#_v_e	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
a	a	0.975
k	k	0.925
b	b	0.905
n	n	0.889
ˈa	ˈa	0.875
ˈɔ	ˈɔ	0.864
m	m	0.857
r	r	0.842
ɲ	ɲː	0.818
s_#>	ʧ_e_#>	0.8
f	f	0.8
<#	<#_v	0.75
z	ʤ	0.714
o	o	0.714
ˈɛ	ˈɛ	0.71
ˈu	ˈo	0.696
i	i	0.667
t	t	0.658
ŋ	ŋ	0.625
ʤ	ɡ_j	0.6
ʋ	v	0.6
l	l	0.595
j	j	0.583
e	e	0.579
ˈi	ˈi	0.576
s	s	0.557
ˈø	ˈu	0.545
#>	o_#>	0.503
d	d	0.471
ʧ	tː	0.444
ʧ	kː_j	0.444
ɡ	ɡ	0.429
d	t	0.412
l	lː	0.405
ʤ	ʤ	0.4
ʋ	p	0.4
ŋ	-	0.375
ˈo	ˈɔ	0.364
ˈo	ˈo	0.364
ˈe	ˈe	0.344
i	-	0.333
#>	e_#>	0.311
ˈɛ	ˈe	0.29
ɡ	k	0.286
ɡ	-	0.286
t	tː	0.237
ˈe	ˈɛ	0.219
j	ʎː	0.208
s_#>	e_r_e_#>	0.2
z	-	0.19
ˈe	ˈɛ_n	0.188
ˈø	ˈɔ	0.182
ˈø	w_ˈɔ	0.182
ɲ	-	0.182
ˈu	ˈo_n	0.174
s	ʧ	0.171
e	i	0.158
ˈe	ˈi	0.156
ˈi	ˈi_n	0.152
<#	<#_ˈa	0.15
o	e	0.143
o	-	0.143
m	mː	0.143
ˈɔ	ˈo	0.136
ˈo	ˈu	0.136
ˈo	-	0.136
f	v	0.133
ˈu	w_ˈɔ	0.13
ˈa	ˈa_n	0.125
j	-	0.125
ˈi	ˈi_r	0.121
d	-	0.118
s	sː	0.114
ʧ	dː	0.111
e	r	0.105
<#	<#_u	0.1
#>	r_e_#>	0.099
z	z	0.095
b	bː	0.095
ˈe	j_ˈɛ	0.094
ˈø	w	0.091
ˈi	ˈe_r	0.091
j	ˈi	0.083
r	e_r	0.079
r	e	0.079
k	kː	0.075
f	ˈɔ_v	0.067
ˈi	ˈe	0.061
s	ʃː	0.057
n	nː	0.056
n	-	0.056
t	d_o	0.053
t	d	0.053
e	v	0.053
e	o	0.053
e	-	0.053
