Franco-Provençal	Auvergnat	probability
ˈɑː	ˈa	1.0
ˈy	ˈu_b	1.0
ˈe_ʃ	s	1.0
ˈe_ʁ	ˈe_ʀ	1.0
ˈe_v	b	1.0
ʦ	s	1.0
ʒ	ʤ	1.0
ʎ	ʎ	1.0
ʃ	ʧ	1.0
ʁ_o	ə	1.0
ʁ_a	ʀ	1.0
ɲ	ɲ	1.0
ɔ̃	ũ	1.0
ɔ	u	1.0
ɑ̃	ã_ŋ	1.0
ɑː	ɒ	1.0
ð_o	ʧ_ə	1.0
y	u	1.0
w_ˈɛː	ˈu	1.0
s	s	1.0
p	p	1.0
n_ˈɛː	n_ˈe	1.0
n	n	1.0
k_w	k	1.0
j_ˈø	ˈe	1.0
ĩ	ĩ	1.0
l	l	0.93
ˈa	ˈa	0.924
b	b	0.92
ʁ	ʀ	0.898
k	k	0.889
f	f	0.886
d	d	0.886
m	m	0.876
a	ɔ	0.853
ˈɑ̃	ˈã	0.845
e	ɪ	0.816
ɡ	ɡ	0.805
t	t	0.78
ˈĩ	ˈĩ	0.763
ˈɛ̃	ˈẽ	0.716
ˈaː	ˈa	0.643
ɛ	ɒ	0.629
i	ɔ	0.627
ˈɔ	w	0.623
ˈø	ˈu	0.62
ˈi	ˈi	0.612
ˈo	ˈɔ	0.581
o	ə	0.575
ð	ʀ	0.541
ˈɔ̃	ˈɔ̃	0.504
v	v	0.488
w	w	0.486
z	ʒ	0.47
ˈoː	w_ˈɔ	0.46
ˈu	ˈɔ	0.449
ə	ə	0.444
ə	ɔ	0.429
j	-	0.424
ˈo	ˈu	0.419
ˈɛ	-	0.383
ˈø	ˈɔ	0.38
ˈɔ	-	0.377
i	i	0.373
ɛ	ə	0.371
ˈaː	ˈe	0.357
ð	j_ʀ	0.351
ˈɛ	ˈɪ	0.34
ˈɔ̃	ˈũ	0.336
ˈoː	ˈa_w	0.336
j	ˈa	0.334
ˈɛː	ˈa	0.333
ˈɛː	ˈɪ	0.31
z	-	0.295
ˈɛ̃	ˈɪ̃	0.284
ˈɛ	ˈe	0.276
ˈu	ˈy	0.275
ˈu	ˈu	0.275
o	u	0.261
ˈe	ˈi	0.253
j	ˈe	0.242
ˈĩ	ŋ	0.237
w	ˈœ	0.237
z	z	0.235
v	-	0.222
ˈe	j	0.22
t	ʧ	0.22
ˈoː	ˈu	0.204
ɡ	-	0.195
ˈi	ˈɪ	0.191
e	ə	0.184
ˈe	ˈe	0.17
v	vʲ	0.166
o	-	0.165
ˈɔ̃	ˈũ_ŋ	0.16
ˈe	ˈa	0.159
ˈɑ̃	ˈã_ŋ	0.155
ˈɛː	ˈe	0.154
w	ˈu	0.152
w	-	0.125
v	b	0.124
m	mʲ	0.124
f	fʲ	0.114
d	dʲ	0.114
k	k_w	0.111
ˈe	-	0.108
ð	ʤ	0.108
ˈɛː	ˈɪ_j	0.101
ˈɛː	ˈe_j	0.101
ˈi	ˈe	0.1
ˈi	-	0.097
a	ɒ	0.093
ə	ɒ	0.085
b	b_w	0.08
ˈa	k	0.076
ʁ	-	0.063
a	a	0.054
