Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	n_ʉ	1.0
ˈœʏ̯	ˈœː	1.0
ˈæ	-	1.0
ʋ_#>	v_#>	1.0
ʈː	r_t	1.0
ɳ	nː	1.0
ɡ_#>	ɣ_#>	1.0
ŋ	ŋ	1.0
tʰ	tʰ	1.0
t	t	1.0
sː	sː	1.0
s_l	l̥	1.0
s_#>	s_#>	1.0
s	s	1.0
pː	pː	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l_ə	ɛ_ɽ	1.0
kː	kː	1.0
kʰ	kʰ	1.0
i	ɪ_n	1.0
f	f	1.0
b	b	1.0
<#_ˈɑ	<#	1.0
<#_ɾ	<#_r	1.0
<#_h	<#	1.0
<#	<#_j	1.0
n	n	0.912
ˈɪ	ˈɪ	0.882
ˈʉ	ˈʉ	0.857
ɡː	ɡː	0.857
k	k	0.826
ˈɑː	ˈɑː	0.778
ə_ɾ	ɛ_r	0.778
l	ɽ	0.774
d	d	0.762
ɾ	r	0.754
ɡ	ɡ	0.727
ç	ʨ	0.667
tː	tː	0.636
ʋ	w	0.633
ə	ɑ	0.627
ˈɑ	ˈɑ	0.619
ˈyː	j_ˈʉːə̯	0.615
ˈæː	-	0.571
ʂ	s_ʨ	0.571
ˈɛ	ˈɛ	0.545
ˈeː	-	0.538
ˈʏ	ˈʏ	0.5
ˈʉː	ˈɑːu̯	0.5
ˈoː	ˈɔː	0.5
ŋː	ŋ_ɡ	0.5
ŋː	ŋ	0.5
h	ˈoː	0.5
h	-	0.5
ˈɔ	-	0.455
ˈæɪ̯	ˈiːe̯	0.455
ˈæː	ˈæː	0.429
ʂ	s_j	0.429
nː	nː	0.421
ˈiː	ˈɑːi̯	0.412
ˈuː	ˈʉːə̯	0.389
ˈœ	-	0.385
nː	n_d	0.368
ˈæɪ̯	-	0.364
tː	t	0.364
lː	lː	0.364
lː	l_d	0.364
ç	tʰ_j	0.333
j	j	0.333
#>	ð_#>	0.333
ˈɛ	-	0.318
ˈœ	ˈœː	0.308
ˈʏ	ˈʉ	0.3
ˈiː	ˈɪː	0.294
ˈuː	-	0.278
ˈɔ	ˈʉ	0.273
ɡ	ɣ	0.273
lː	-	0.273
ˈøː	ˈyːœ̯	0.267
j	ɣ	0.25
j	-	0.25
ˈyː	ˈʏː	0.231
ˈʉː	ˈʉː	0.222
ˈɑː	-	0.222
ˈuː	ˈʉə̯	0.222
ə_ɾ	r	0.222
#>	ɡ_#>	0.222
ˈoː	-	0.214
nː	n	0.211
ˈʏ	-	0.2
ˈøː	ˈœː_ð	0.2
ˈøː	ˈoː	0.2
ˈøː	-	0.2
ˈɑ	-	0.19
#>	ɑ_#>	0.185
ˈɔ	ˈo	0.182
ˈæɪ̯	ˈɛː	0.182
k	ʨ	0.174
ˈʉː	ˈʉː_ɣ	0.167
j	ʥ	0.167
l	-	0.161
ˈœ	ˈʉə̯	0.154
ˈœ	ˈyːœ̯	0.154
ˈyː	ˈʉːə̯	0.154
ˈeː	ˈɪː	0.154
ˈeː	ˈɑːi̯	0.154
ˈeː	ˈiːe̯	0.154
#>	v_#>	0.148
ˈʉ	-	0.143
ˈoː	ˈɔ̃ː	0.143
ˈoː	ˈoː	0.143
ɡː	ʥː	0.143
d	-	0.143
ˈɛ	ˈæ	0.136
ə	-	0.134
ˈøː	ˈæː	0.133
ʋ	-	0.133
ˈɪ	-	0.118
ˈiː	ˈɪː_ʉ	0.118
ˈiː	j	0.118
ˈʉː	-	0.111
ˈuː	ˈʉːə̯_ð	0.111
#>	ɣ_#>	0.111
ə	ɔ	0.104
ʋ	v	0.1
ˈɑ	ˈɔː	0.095
ˈɑ	ˈo	0.095
d	ð	0.095
ˈɔ	ˈœ	0.091
n	-	0.088
ə	ʉ	0.075
ɾ	r_d	0.07
ʋ	w_ˈɛː	0.067
ʋ	mː	0.067
l	ɛ_ɽ	0.065
ˈiː	ˈɪ̃ː	0.059
ɾ	ɛ_r	0.053
