Italian	Italian	probability
ʧ	ʦ	1.0
ʣː	-	1.0
ʣ	-	1.0
ʎː	ʎ	1.0
ɲː	-	1.0
z	s	1.0
w_ˈɔ	ˈo	1.0
w	-	1.0
v_e	w_ə	1.0
sː	-	1.0
s	s	1.0
rː	-	1.0
r	r	1.0
p_o_#>	p_#>	1.0
o_#>	#>	1.0
nː	n	1.0
n_o_#>	n_#>	1.0
n_o	n_ə	1.0
m_o_#>	m_#>	1.0
m	m	1.0
lː_o_#>	l_#>	1.0
lː	-	1.0
l_o	r	1.0
kː	k	1.0
k	k	1.0
f	f	1.0
e_r	i_r	1.0
dː	ʦ	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_w_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
ˈi	ˈi	0.909
n	n	0.818
a	ə	0.818
t	t	0.8
d	d	0.8
e	i	0.788
p	p	0.706
ˈo	ˈu	0.688
tː	p_t	0.667
i	i	0.667
ˈa	ˈa	0.64
ˈu	ˈu	0.636
o	u	0.632
v	v	0.615
j	ʎ	0.615
ˈe	e̯ˈa	0.538
ʤ	z	0.5
ɡ	ɡ	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
<#	<#_n	0.5
<#	<#_m	0.5
ˈe	ˈe	0.462
l	r	0.455
ˈɔ	o̯ˈa	0.385
v	-	0.385
ˈu	ˈo	0.364
l	l	0.364
ˈɛ	ˈe	0.333
ʤ	ʒ	0.333
ɡ	k	0.333
tː	t	0.333
i	-	0.333
ˈa	ˈɔ	0.32
ˈɔ	ˈu	0.308
ˈɔ	ˈo	0.308
ˈɛ	ˈi	0.259
ˈɛ	ˈa	0.259
j	l	0.231
t	ʦ	0.2
d	t	0.2
ˈo	o̯ˈa	0.188
l	-	0.182
p	-	0.176
ʤ	ʤ	0.167
ɡ	-	0.167
o	i	0.158
j	-	0.154
ˈɛ	-	0.148
ˈo	-	0.125
a	-	0.121
p	kʲ	0.118
o	s	0.105
o	-	0.105
ˈi	ˈɛ	0.091
n	j_n	0.091
n	-	0.091
e	ə	0.091
e	u	0.061
e	e	0.061
a	ˈa	0.061
