Limburgish	Old High German	probability
ˈʏː	-	1.0
ˈʊ	ˈu_ŋ	1.0
ˈɛːi̯	ˈei̯	1.0
ˈɛ_j	tː	1.0
ˈɔu̯	ˈuː	1.0
ˈɑː	ˈɑ	1.0
ˈœː	ˈu	1.0
ˈœ	ˈu	1.0
ˈyː	-	1.0
ˈuː	ˈuː	1.0
ˈu	ˈoː	1.0
ˈaː_j	ˈɑ	1.0
ʃ	s_k	1.0
ʀ_ə	r	1.0
ɦ	h	1.0
ɣ̊	kː_ɑ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
z̥	s	1.0
z	s	1.0
w	l	1.0
v̥	f	1.0
v_ə	b_ɑ	1.0
s_t	s_t	1.0
s_l	s_l	1.0
l_ə	l	1.0
k_n	kʰ_n	1.0
i	ɛ	1.0
d̥	t	1.0
d_ə	t_ɑ	1.0
d	d	1.0
b	b	1.0
β	w	0.985
l	l	0.967
m	m	0.958
ʀ	r	0.907
v	f	0.87
ˈɑ	ˈɑ	0.845
ˈɪː	ˈi	0.833
ˈaː	ˈɑ	0.815
ˈɛː	ˈei̯	0.762
n	n	0.759
ˈɒː	ˈɑː	0.724
ˈiː	ˈiː	0.693
x	x_t	0.692
ˈɔː	ˈou̯	0.654
ˈæː	ˈɛ	0.608
s	s	0.605
ˈœi̯	-	0.588
ˈæ	ˈɑ	0.588
ŋ	ŋ	0.584
ˈɛ	-	0.551
ˈoː	ˈuo̯	0.546
ˈɔ	ˈo	0.537
ˈøː	ˈuo̯	0.506
ˈɪ	ˈe	0.486
ˈoː	ˈo	0.454
ˈɛ	ˈi	0.449
ˈʊː	ˈu	0.445
p	p͡f	0.441
ə	ɑ	0.42
ˈœi̯	w_i	0.412
ˈæ	ˈe	0.412
ˈæː	ˈɑ	0.392
k	kʰ	0.39
t	ʦ	0.381
ˈeː	ˈɛ	0.37
ˈeː	ˈio̯	0.354
ˈi	ˈeː	0.353
ˈɔː	ˈo	0.346
x	x	0.308
ˈiː	-	0.307
p	f	0.306
t	s̻	0.303
j	l	0.301
ˈɔ	ˈu	0.289
ˈi	-	0.282
ˈøː	ˈu	0.277
ŋ	ŋ_ɡ	0.277
ˈɒː	ˈɑ	0.276
j	t_ɑ	0.266
ˈɪ	ˈi	0.264
ˈɪ	-	0.25
k	kː	0.246
ˈʊː	ˈo	0.244
ˈɛː	ˈi	0.238
s	s_t	0.234
ˈʊː	ˈuo̯	0.221
ˈi	ˈi	0.219
ˈøː	-	0.217
j	i	0.196
t	s̻ː	0.192
ˈɔ	-	0.175
ə	e	0.168
ˈɪː	-	0.167
s	s_k	0.161
k	k	0.161
ˈɑ	-	0.155
ˈi	ˈɑː	0.145
ŋ	ɡ	0.139
ˈeː	ˈi	0.13
v	b	0.13
p	fː	0.128
n	h_ɑ	0.128
p	p	0.125
j	-	0.125
k	xː	0.123
ˈaː	-	0.121
ə	n	0.119
n	nː	0.113
j	j	0.112
ˈeː	-	0.105
ə	u	0.093
ə	i	0.092
ˈʊː	-	0.09
ə	ɛ	0.083
k	xː_ɑ	0.08
t	t	0.078
ˈaː	ˈɑ_l	0.064
