East Franconian	Elfdalian	probability
β	v	1.0
ˈɛː	-	1.0
ˈɘ	r	1.0
ˈɒː	ˈɑː	1.0
ˈeː	-	1.0
ˈaʊ̯	ˈɑːu̯	1.0
ˈa	k_ˈɑ	1.0
ʃ_l	l̥	1.0
ʃ_d̥	s_t	1.0
ɾ	ð_ɛ	1.0
ɪ	ʉ_ŋ	1.0
ɣ̊	ɣ	1.0
ɣ	ɣ_ɛ	1.0
ɡ̊_n	ɡː	1.0
ə	rː	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	nː	1.0
z̥	t	1.0
x_d̥	tː	1.0
x	k	1.0
v̥	-	1.0
v_ˈɔ	ˈʉ	1.0
r	r	1.0
n_s	sː	1.0
n_d̥	n_d	1.0
l_b̥	v	1.0
kʰ	kʰ	1.0
j	-	1.0
h	j	1.0
eː	ɔ̃	1.0
b̥͡v̥	pʰ	1.0
v	w	0.893
b̥	b	0.857
m	m	0.834
a	ɑ	0.831
s	s	0.826
f	f	0.776
ˈʊ	ˈʉ	0.693
ˈɪ	ˈɪ	0.662
ç	ɣ	0.647
ˈaː	ˈiːe̯	0.629
ˈuː	ˈʉːə̯	0.593
l	ɽ	0.567
ɐ	r	0.526
ˈaɪ̯	ˈɑːi̯	0.517
ˈɒ	ˈɑ	0.471
ʦ	tʰ	0.47
ˈɔ	ˈʉə̯	0.445
ˈɛ	-	0.431
ʃ	s	0.415
d̥	d	0.402
ɡ̊	ɡ	0.395
ˈɔ	-	0.389
n	n	0.38
ˈɛ	ˈɛ	0.357
ç	k	0.353
ʃ	s_ʨ	0.349
d̥	ð	0.336
ŋ	ŋ_ɡ	0.335
ˈiː	j_ˈʉːə̯	0.325
ˈoː	ˈɔː	0.286
n	ɑ	0.278
ɐ	ɛ	0.277
ʦ	-	0.276
ˈoː	ˈɑː	0.268
ɡ̊	-	0.259
ʦ	tː	0.254
ˈaː	ˈœː	0.253
ʃ	s_k	0.236
ŋ	ŋ	0.225
ˈɪ	-	0.219
n	nː	0.217
ŋ	ɣ_ɑ	0.213
ˈɛ	ˈæ	0.211
ˈuː	ˈœː	0.205
ˈuː	ˈʉː	0.203
ˈʊ	-	0.201
ˈaɪ̯	ˈɪː	0.196
d̥	tʰ	0.186
s	s_j	0.174
a	-	0.169
ˈoː	ˈoː	0.168
ˈɔ	ˈʉ	0.166
m	mː	0.166
l	lː	0.161
ˈaɪ̯	-	0.151
ˈiː	-	0.149
ˈiː	j	0.148
ɡ̊	k	0.147
ɡ̊	ʥː	0.145
b̥	-	0.143
ˈɒ	ˈɑː	0.142
ˈoː	ˈɑ	0.14
f	p	0.139
ˈoː	-	0.138
l	l	0.136
ˈaɪ̯	ˈʏː	0.135
l	ˈʉːə̯	0.135
ɐ	-	0.131
ˈiː	ˈɪː	0.126
ˈɒ	ˈɔ̃ː	0.118
ˈɒ	-	0.118
ˈaː	-	0.118
ŋ	kː	0.114
ŋ	ɑ	0.113
ˈʊ	ˈʉə̯	0.107
v	-	0.107
ˈiː	ˈʉːə̯	0.097
ˈɪ	ˈʏ	0.093
ˈiː	ˈyːœ̯	0.089
f	-	0.085
ˈɒ	ˈɔː	0.076
ˈɒ	ˈo	0.076
ˈiː	ˈæː	0.066
n	-	0.061
ɡ̊	ʥ	0.055
