Old Norse	North Frisian	probability
a	ə	0.908
a	-	0.092
b	b	0.963
c	ʃ	0.723
c	k	0.277
cʰ	ʃ	0.669
cʰ	k	0.331
cː	k	1.0
d	-	0.489
d	d	0.489
f	f	0.913
h	h	1.0
i	ə	0.698
i	-	0.21
i	i	0.091
j	-	0.791
j	j	0.1
j	ˈɔː	0.067
k	k	0.63
k	-	0.37
kʰ	k	1.0
kː	ŋ_k	0.76
kː	k	0.24
l	l	0.811
l	lʲ	0.1
l	ə_l	0.077
lː	l	0.669
lː	lʲ	0.331
l̥	l	1.0
m	m	1.0
mː	v	0.5
mː	m	0.5
n	n	0.849
n	nʲ	0.115
nː	n	0.676
nː	-	0.127
nː	nʲ	0.117
nː	s	0.061
p	p	0.737
p	v	0.155
p	b	0.107
pː	p	1.0
r	r	0.749
r	-	0.21
rː	r	0.709
rː	j	0.186
rː	lʲ	0.105
r̥	r	0.829
r̥	h	0.171
s	s	0.763
s	ʃ	0.101
s	-	0.097
sː	s	1.0
t	t	0.558
t	tʲ	0.303
t	d	0.105
tʰ	t	0.919
tʰ	b	0.081
tː	x	0.92
tː	t	0.08
u	i	0.307
u	n	0.219
u	-	0.208
u	ə	0.168
u	w	0.098
v	v	0.635
v	-	0.151
v	ə_v	0.082
v	f	0.071
v	s	0.053
w	ˈiː	0.573
w	-	0.427
x	v	0.684
x	f	0.316
ç	h	1.0
ð	d	0.678
ð	dʲ	0.17
ð	-	0.092
ŋ	ŋ	1.0
ɑ	ə	0.915
ɑː	ɛi̯	1.0
ɟ	j	0.72
ɟ	ɡ	0.207
ɟ	-	0.073
ɟː	-	1.0
ɡ	-	0.574
ɡ	ɡ	0.343
ɡ	j	0.059
ɡː	-	0.665
ɡː	j	0.335
ɣ	-	0.663
ɣ	j	0.337
ɾ	-	1.0
ʝː	d	1.0
ʦ	ʃ	1.0
ˈa	ˈœ	0.79
ˈa	ˈɒː	0.152
ˈa	ˈɔː	0.058
ˈe	ˈa	0.273
ˈe	ˈi	0.189
ˈe	ˈɒː	0.165
ˈe	ˈeː	0.162
ˈe	ˈɛː	0.104
ˈe	ˈai̯	0.061
ˈeː	ˈeː	0.56
ˈeː	-	0.14
ˈeː	ˈa	0.123
ˈeː	ˈʊ	0.091
ˈeː	ˈuː	0.086
ˈi	ˈiː	0.247
ˈi	ˈi	0.209
ˈi	ˈʊ	0.124
ˈi	ˈa	0.118
ˈi	ˈaː	0.101
ˈi	ˈai̯	0.092
ˈi	ˈɛ	0.069
ˈiː	ˈi	0.575
ˈiː	ˈiː	0.349
ˈiː	ˈyː	0.053
ˈo	ˈɔ	0.495
ˈo	ˈuː	0.106
ˈo	ˈœ	0.106
ˈo	ˈi	0.098
ˈoː	ˈiː	0.449
ˈoː	ˈœ	0.301
ˈoː	ˈɔu̯	0.14
ˈoː	ˈɔː	0.058
ˈoː	ˈɒ	0.052
ˈu	ˈʊ	0.4
ˈu	ˈyː	0.137
ˈu	ˈɔː	0.117
ˈu	ˈøː	0.1
ˈu	v_ˈʊ	0.08
ˈu	ˈœ	0.075
ˈuː	ˈyː	0.566
ˈuː	ˈøː	0.204
ˈuː	ˈiː	0.094
ˈuː	ˈʏ	0.089
ˈy	ˈʏ	0.338
ˈy	ˈɔ	0.332
ˈy	ˈʊ	0.219
ˈy	ˈeː	0.064
ˈyː	ˈiː	0.308
ˈyː	ˈøː	0.275
ˈyː	ˈai̯	0.235
ˈyː	ˈyː	0.155
ˈøy̯	ˈiː	0.921
ˈøy̯	ˈuː	0.079
ˈøː	ˈɛ	0.536
ˈøː	ˈɛi̯	0.287
ˈøː	ˈa	0.176
ˈɑ	ˈʊ	0.209
ˈɑ	ˈa	0.207
ˈɑ	ˈeː	0.136
ˈɑ	ˈuː	0.111
ˈɑ	ˈœ	0.103
ˈɑ	ˈɒ	0.081
ˈɑu̯	ˈuː	0.53
ˈɑu̯	ˈyː	0.368
ˈɑu̯	ə	0.102
ˈɑː	ˈuː	0.264
ˈɑː	ˈiː	0.191
ˈɑː	ˈɔu̯	0.177
ˈɑː	ˈɛː	0.131
ˈɑː	ˈɒ	0.07
ˈɑː	ˈyː	0.058
ˈɒu̯	ˈyː	0.522
ˈɒu̯	-	0.478
ˈɔ	ˈɔː	0.483
ˈɔ	ˈa	0.277
ˈɔ	ˈœ	0.072
ˈɔ	ˈɛː	0.069
ˈɔ	ˈi	0.057
ˈɛ	ˈɒː	0.234
ˈɛ	ˈyː	0.227
ˈɛ	ˈɔi̯	0.179
ˈɛ	ˈɔː	0.112
ˈɛ	ˈɛː	0.112
ˈɛ	ˈɛ	0.084
ˈɛ	ˈiː	0.052
ˈɛi̯	ˈiː	0.738
ˈɛi̯	ˈɒ	0.123
ˈɛi̯	ˈɔu̯	0.066
ˈɛː	ˈiː	0.895
ˈɛː	ˈɒː	0.058
θ	t	0.54
θ	tʲ	0.237
θ	d	0.223
