Catalan	Occitan	probability
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#_u	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʎ	<#_l	1.0
<#_ʒ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈu	<#_ˈy	1.0
<#_ˈɔ	<#_ˈɔ	1.0
b	b	1.0
d_ɾ	d_ɾ	1.0
j_#>	j_#>	1.0
k	-	1.0
k_#>	k_#>	1.0
k_ə	k_ɔ	1.0
l_#>	l_#>	1.0
l_t	w_t	1.0
l_ə	l_ɔ	1.0
l_ˈa	l_ˈa	1.0
m_#>	m_#>	1.0
m_ə	m_ɔ	1.0
n	n	1.0
n_ə	n_ɔ	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_#>	ʧ_#>	1.0
t_ə	t_ɔ	1.0
t_ɾ	t_ɾ	1.0
t_ˈa	t_ˈa	1.0
u_l	u_l	1.0
u_s	u_s	1.0
u_ɾ	u_ɾ	1.0
w_#>	w_#>	1.0
w_ɾ	j_r	1.0
z	z	1.0
ð	ð	1.0
ð_ə	ð_ɔ	1.0
ŋ	ŋ_k	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ə_#>	e_#>	1.0
ə_l	a_l	1.0
ə_m	a_m	1.0
ə_n	e_n	1.0
ə_r	e_r	1.0
ə_s	a_s	1.0
ə_ð	a_ð	1.0
ə_ɣ	e_ɣ	1.0
ə_ɾ	a_ɾ	1.0
ə_β	a_β	1.0
ɲ	n	1.0
ɲ_#>	ɲ_#>	1.0
ɲ_ə	ɲ_ɔ	1.0
ɾ_ə	ɾ_e	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ʃ	j_s	1.0
ʎ	ʎ	1.0
ʎ_#>	l_#>	1.0
ʒ	ʤ	1.0
ʤ_ə	ʤ_e	1.0
ʧ	ʧ	1.0
ˈa	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_l	ˈa_l	1.0
ˈa_m	ˈa_m	1.0
ˈa_n	ˈa_n	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈe_s	ˈɛ_s	1.0
ˈi_#>	ˈi_#>	1.0
ˈi_l	ˈi_l	1.0
ˈi_n	ˈi_n	1.0
ˈi_w	ˈi_w	1.0
ˈo_#>	ˈu_#>	1.0
ˈu_#>	ˈy_#>	1.0
ˈɔ_#>	ˈu_#>	1.0
ˈɔ_n	ˈu_n	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_w	ˈu_ʦ	1.0
<#_b	<#_b	0.371
<#_ə	<#_a	0.471
u	e	0.111
u	-	0.111
u	u	0.611
ə	ɔ_#>	0.691
ˈe	ˈɛ	0.531
ˈu	ˈu	0.231
ˈɔ	ˈu	0.121
ˈɔ	ɥ_ˈɔ	0.121
n_#>	n_#>	0.692
w	ʦ_#>	0.462
ˈe	j_ˈɛ	0.062
ˈe	ˈa	0.062
ˈɔ	ˈa_w	0.212
β	v	0.2
j	-	0.333
i	e	0.364
l	-	0.214
m	m	0.714
w	w	0.154
ə	e	0.164
ɾ	-	0.094
ˈe	ˈe	0.344
ˈi	j_ˈɛ	0.154
ˈɛ	ˈɛ	0.444
t	t	0.25
t	t_#>	0.75
w	-	0.385
ɣ	-	0.25
ɣ	ɣ	0.75
ʎ_ə	l_ɔ	0.25
ʎ_ə	ʎ_ɔ	0.75
ˈo	ˈy	0.105
ˈo	ˈu	0.895
ˈu	ˈy	0.5
ˈɔ	ˈɔ	0.545
i	i	0.636
l	l	0.786
m	-	0.286
ɾ	ɾ	0.906
ˈi	ˈi	0.846
ˈɛ	ˈe	0.556
j	j	0.667
u	a_w	0.167
n_#>	#>	0.308
β	β	0.8
<#_b	<#_v	0.629
<#_ə	<#_e	0.529
ə	a	0.109
ˈu	ɥ_ˈɛ	0.269
