Catalan	Catalan	probability
β_ɾ	p_r	1.0
ˈɔ_r	ˈau̯_r	1.0
ˈu_j	ˈu_p	1.0
ˈa_p	t_ˈi	1.0
ʧ	-	1.0
ʃ	ʃ_t	1.0
ə_n	e_n	1.0
ə_#>	#>	1.0
ð	t	1.0
z_ə	s_ə	1.0
w_#>	#>	1.0
u_ɾ	r_u	1.0
t_ɾ	t	1.0
t_ə	t_ə	1.0
t_s	ʦʲ	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ə	n_ə	1.0
n_s	nʲ	1.0
n	n	1.0
mː	p_t	1.0
m_#>	m_e_#>	1.0
m	m	1.0
k_#>	k_#>	1.0
j	-	1.0
f	f	1.0
d_ɾ	e_r	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
k	k	0.886
ɾ	r	0.879
ˈi	ˈi	0.871
ɲ	n	0.778
u	u	0.778
s	s	0.735
l_#>	r_#>	0.727
ɡ	ɡ	0.7
l	l	0.7
t	t	0.667
ˈa	ˈa	0.66
t_#>	t_#>	0.625
d	d	0.615
<#_ə	<#	0.615
ɣ	k	0.6
n_#>	n_t_#>	0.6
<#	<#_j	0.6
ʒ	ʤ	0.583
ˈu	ˈu	0.571
<#_s	<#_ʧ	0.571
#>	r_e_#>	0.545
ˈo	ˈu	0.524
b	v	0.522
i	i	0.5
i	-	0.5
ˈɔ	ˈo	0.471
s_#>	s_#>	0.462
ə	ə	0.429
<#_s	<#_ʃ	0.429
β	b	0.417
β	-	0.417
ʒ	ʒ	0.417
ˈɛ	ˈe	0.406
ɣ	ɡ	0.4
n_#>	n_t_e_#>	0.4
<#	<#_ɨ	0.4
b	b	0.391
d	z	0.385
<#_ə	<#_a	0.385
t_#>	#>	0.375
ˈe	ˈe	0.357
w	w	0.353
ə	e	0.343
ŋ	ʧʲ	0.333
ŋ	n	0.333
ŋ	-	0.333
s_#>	#>	0.308
ʎ	l	0.3
ɡ	-	0.3
l_#>	r_e_#>	0.273
ˈɔ	ˈu	0.265
ˈɔ	o̯ˈa	0.265
ˈu	ˈo	0.238
s_#>	j_#>	0.231
ɲ	-	0.222
u	-	0.222
ˈe	e̯ˈa	0.214
ˈa	ˈɨ	0.2
ʎ	kʲ	0.2
ʎ	j	0.2
ʎ	-	0.2
t	p_t	0.2
l	-	0.2
ˈu	o̯ˈa	0.19
ˈo	ˈu_n	0.19
ˈo	ˈo	0.19
ˈe	ˈi	0.179
w	ˈe	0.176
w	ʧ_e	0.176
w	e	0.176
β	r	0.167
#>	ə_#>	0.136
#>	n_#>	0.136
t	ʦ	0.133
ˈi	-	0.129
ˈɛ	ˈa	0.125
w	-	0.118
ˈe	j_ˈe	0.107
ʎ	k	0.1
l	r	0.1
ˈo	-	0.095
ˈɛ	j_ˈe	0.094
ˈɛ	e_d	0.094
ˈɛ	-	0.094
s	-	0.088
b	-	0.087
ˈe	ˈa	0.071
ˈe	-	0.071
#>	w_#>	0.068
#>	u_#>	0.068
ˈɛ	ˈi_n	0.062
ˈɛ	ˈi	0.062
ˈɛ	e	0.062
ɾ	ʃ	0.061
ɾ	e_r	0.061
ˈa	ˈɨ_j	0.06
s	ʧ	0.059
s	ʃ	0.059
s	p	0.059
ə	u	0.057
ə	i	0.057
ə	a	0.057
ə	-	0.057
k	ʧ	0.057
k	-	0.057
