Faroese	Eastphalian	probability
#>	#>	0.888
<#	<#	0.983
<#_kʰ	<#	1.0
a	n	0.513
a	ə	0.373
a	m	0.066
a_#>	#>	1.0
a_ɹ	ɐ	0.495
b̥	b	0.927
b̥	-	0.073
d̥	d	1.0
f	f	0.891
f	-	0.102
h	h	0.953
h	k	0.053
j	-	0.554
j	t	0.135
j	j	0.068
j	l	0.068
j	ˈeː	0.068
j	ɣ	0.057
j	ˈɛː	0.057
k	k	1.0
kʰ	k	1.0
l	l	0.942
l	-	0.058
l_ʊ	l	1.0
l̥	l	1.0
m	m	0.931
m	f	0.069
m_ʊ	m	1.0
n	n	0.951
n_#>	#>	1.0
nː	n	0.761
nː	ˈuː	0.108
nː	l	0.105
n̥	n	0.372
n̥	ɐ	0.245
n̥	-	0.151
n̥	m	0.151
p	p	0.776
p	b	0.173
r	r	0.495
s	s	0.577
s	z	0.38
s_k	ʃ	1.0
sː	ʃ	0.06
t	t	0.8
t	-	0.19
tʰ	d	0.544
tʰ	t	0.455
tː	p	0.245
v	v	0.519
v	w	0.126
v	f	0.116
v	-	0.107
v	b	0.057
v_ʊ	ç	1.0
w	-	0.611
w	ə	0.129
w	t	0.097
w	x	0.094
w	j	0.054
ŋ	ŋ	0.778
ŋ	n	0.123
ŋ	ç	0.09
ə	ɐ	0.495
ɛ	ɪ	0.495
ɡ̊	-	0.541
ɡ̊	ɣ	0.284
ɡ̊	j	0.11
ɡ̊_a	ə	1.0
ɡ̊ː	-	0.186
ɡ̊ː	k	0.186
ɪ	ɐ	0.51
ɪ	-	0.374
ɪ	ə	0.105
ɪ_#>	#>	1.0
ɲ	ŋ	0.495
ɹ	-	0.657
ɹ	r	0.181
ɹ	ɐ	0.16
ɹ_ʊ	ɐ	1.0
ɹː	ɣ	1.0
ʃ	ʃ	0.77
ʃ	s	0.229
ʈ	t	1.0
ʊ	-	0.955
ʊ_#>	#>	0.495
ʊ_ɹ	ə	0.677
ʊ_ɹ	ɐ	0.311
ʊ̯ˈiː	ˈiː	1.0
ʎ	l	1.0
ʤ̊	ɡ	0.278
ʤ̊	d	0.26
ʤ̊	-	0.158
ʤ̊	j	0.103
ʤ̊ː	ɣ	0.349
ʤ̊ː	n	0.262
ʤ̊ː	-	0.199
ʧ	ɣ	0.66
ʧ	k	0.162
ʧʰ	d	0.477
ʧʰ	k	0.477
ʧː	ɣ	0.495
ʰk	k	1.0
ʰkː	ŋ_k	0.699
ʰkː	k	0.149
ʰp	p	1.0
ʰt	t	1.0
ʰtː	x	0.317
ʰtː	x_t	0.317
ʰtː	ç	0.317
ʰʧ	k	1.0
ˈa	ˈa	0.543
ˈa	ˈɒː	0.124
ˈa	ˈɔ	0.108
ˈa	ˈaː	0.062
ˈa	ˈɪ	0.062
ˈa	ˈɛː	0.053
ˈa	ˈʏ	0.053
ˈai̯	ˈɛɪ̯	0.692
ˈai̯	ˈɪ	0.287
ˈaːi̯	ˈɛɪ̯	1.0
ˈeə̯	ˈeː	0.495
ˈeː	ˈiː	0.326
ˈeː	ˈɛ	0.215
ˈeː	ˈa	0.163
ˈeː	ˈɛː	0.153
ˈeː	ˈeː	0.079
ˈiː	ˈɪ	0.416
ˈiː	ˈɛ	0.354
ˈiː	ˈoː	0.203
ˈoː	ˈɒː	0.121
ˈuː	ˈɔ	0.594
ˈuː	ˈɛ	0.127
ˈuː	ˈɛɪ̯	0.085
ˈøː	ˈɔʏ̯	0.364
ˈøː	ˈeː	0.335
ˈøː	ˈɛː	0.168
ˈøː	ˈɛ	0.114
ˈœ	ˈɔ	0.46
