Faroese	Eastphalian	probability
a	n	0.43
a	ə	0.304
a	-	0.199
a	ɪ	0.033
a	m	0.031
a_ɹ	ɐ	0.495
b̥	b	0.927
b̥	-	0.073
d̥	d	1.0
d̥_ʊ	d	1.0
f	f	0.883
f	-	0.108
h	h	0.953
h	k	0.053
j	-	0.554
j	t	0.135
j	l	0.068
j	ˈeː	0.068
j	j	0.068
k	k	1.0
kʰ	k	0.678
kʰ	-	0.217
l	l	0.942
l	-	0.058
l_ʊ	l	1.0
l̥	l	1.0
m	m	1.0
m_ʊ	m	1.0
n	n	0.943
n	t	0.057
n_ʊ	n	1.0
nː	n	0.782
nː	l	0.132
nː	ˈuː	0.074
n̥	n	0.372
n̥	ɐ	0.245
n̥	-	0.151
n̥	m	0.151
p	p	0.776
p	b	0.173
r	r	0.495
s	s	0.569
s	z	0.387
s	ç	0.041
s_k	ʃ	1.0
sː	ʃ	0.06
t	t	0.662
t	-	0.336
tʰ	d	0.544
tʰ	t	0.455
tː	p	0.245
v	v	0.553
v	w	0.134
v	f	0.108
v	-	0.082
v	x	0.053
v_ʊ	ç	1.0
w	-	0.702
w	t	0.108
w	x	0.105
w	j	0.057
ŋ	ŋ	0.778
ŋ	n	0.123
ŋ	ç	0.09
ə	ɐ	0.495
ɛ	ɪ	0.495
ɡ̊	-	0.559
ɡ̊	ɣ	0.284
ɡ̊	j	0.1
ɡ̊	ŋ	0.042
ɡ̊_a	ə	1.0
ɪ	-	0.864
ɪ	ə	0.135
ɪ_ɹ	ɐ	1.0
ɲ	ŋ	0.495
ɹ	-	0.648
ɹ	r	0.199
ɹ	ɐ	0.133
ɹ	ɐ_t	0.03
ɹ_a	ɐ	1.0
ɹ_ʊ	ɐ	1.0
ɹː	ˈøː	1.0
ʃ	ʃ	0.77
ʃ	s	0.229
ʈ	t	1.0
ʊ	-	0.95
ʊ	ə	0.046
ʊ_ɹ	ə	0.677
ʊ_ɹ	ɐ	0.311
ʊ̯ˈiː	ˈiː	1.0
ʎ	l	1.0
ʤ̊	-	0.642
ʤ̊	ɡ	0.115
ʤ̊	ɣ	0.115
ʤ̊	d	0.099
ʧ	ɣ	0.66
ʧ	k	0.162
ʧʰ	d	0.477
ʧʰ	k	0.477
ʧː	ɣ	0.495
ʰk	k	1.0
ʰkː	ŋ_k	0.699
ʰkː	k	0.149
ʰp	p	1.0
ʰt	t	1.0
ʰtː	x	0.317
ʰtː	ç	0.317
ʰtː	x_t	0.317
ʰʧ	k	1.0
ˈa	ˈa	0.579
ˈa	ˈɔ	0.115
ˈa	ˈaː	0.066
ˈa	ˈɒː	0.066
ˈa	ˈɪ	0.066
ˈai̯	ˈɛɪ̯	0.692
ˈai̯	ˈɪ	0.287
ˈaːi̯	ˈɛɪ̯	1.0
ˈeə̯	ˈeː	0.495
ˈeː	ˈiː	0.407
ˈeː	ˈa	0.203
ˈeː	ˈɛː	0.175
ˈeː	ˈɛ	0.133
ˈiː	ˈɪ	0.416
ˈiː	ˈɛ	0.354
ˈiː	ˈoː	0.203
ˈuː	ˈɔ	0.594
ˈuː	ˈɛ	0.127
ˈuː	ˈɛɪ̯	0.085
ˈøː	ˈɔʏ̯	0.364
ˈøː	ˈeː	0.335
ˈøː	ˈɛː	0.168
ˈøː	ˈɛ	0.114
ˈœ	ˈɔ	0.348
ˈœ	ɐ	0.238
ˈœ	ˈaʊ̯	0.136
ˈœ	ˈɛ	0.1
ˈœ	ˈœ	0.073
ˈɔ	ˈa	0.467
ˈɔ	ˈoː	0.272
ˈɔ	ˈɛː	0.097
ˈɔ	ˈɔ	0.094
ˈɔ	ˈʏ	0.039
ˈɔːi̯	ˈeo̯	0.488
ˈɔːi̯	ˈɔʏ̯	0.21
ˈɔːi̯	ˈøː	0.13
ˈɔːu̯	ˈaʊ̯	0.408
ˈɔːu̯	ˈɛɪ̯	0.273
ˈɔːu̯	ˈʊ	0.166
ˈɔːu̯	ˈɪ	0.126
ˈɔ̯aː	ˈɒː	0.372
ˈɔ̯aː	ˈeo̯	0.364
ˈɔ̯aː	ˈaʊ̯	0.124
ˈɔ̯aː	ˈeː	0.084
ˈɛ	ˈɪ	0.303
ˈɛ	ˈa	0.263
ˈɛ	ˈœ	0.174
ˈɛ	ˈɛː	0.123
ˈɛ	ˈɛɪ̯	0.081
ˈɛːa̯	ˈa	0.287
ˈɛːa̯	ˈɒː	0.262
ˈɛːa̯	ˈaː	0.115
ˈɛːa̯	ˈɛ	0.102
ˈɛːa̯	ˈiː	0.087
ˈɛːi̯	ˈeo̯	0.671
ˈɛːi̯	ˈɛɪ̯	0.176
ˈɛːi̯	ˈoː	0.12
ˈɪ	ˈɪ	0.507
ˈɪ	ˈʏ	0.17
ˈɪ	ˈɔ	0.085
ˈɪ	w	0.069
ˈɪ	ˈaʊ̯	0.068
ˈʉːu̯	ˈuː	0.856
ˈʉːu̯	ˈɛɪ̯	0.12
ˈʊ	ˈʊ	0.373
ˈʊ	ˈuː	0.185
ˈʊ	ˈɛɪ̯	0.073
ˈʊ	ˈʏ	0.067
ˈʊ	r	0.067
ˈʊ̯iː	ˈiː	0.551
ˈʊ̯iː	ˈɛɪ̯	0.237
ˈʊ̯iː	ˈyː	0.141
ˈʊ̯iː	ˈɪ	0.059
ˈʏ	ˈyː	0.45
ˈʏ	ˈɛɪ̯	0.127
ˈʏ	ˈɪ	0.127
ˈʏ	ˈʊ	0.052
