Westphalian	German	probability
ˈʏ	ˈʏ	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈʊ_l	ˈɔ_l	1.0
ˈɪɛ̯_t	ˈɛ_s	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈɪ_l	ˈɪ_l	1.0
ˈɔ_l	ˈa_l	1.0
ˈɔ	ˈɔ	1.0
ˈyː	ˈɔʏ̯	1.0
ˈuːə̯	ˈʊ_ɐ	1.0
ˈuː	ˈaʊ̯	1.0
ˈoː	ˈuː	1.0
ˈiː_ɐ	ˈiː_ɐ	1.0
ˈiː_#>	ˈiː_ɐ_#>	1.0
ˈiː	ˈaɪ̯	1.0
ˈeː	ˈaɪ̯	1.0
ˈaʊ̯_d	ˈoː_t	1.0
ˈaɪ̯_#>	ˈaɪ̯_#>	1.0
ˈa_n	ˈa_n	1.0
ʋ_#>	b̥_#>	1.0
ʋ	v	1.0
ʃ_k_#>	ʃ_#>	1.0
ʃ_k	ʃ	1.0
ɪ_ç	ɪ_ç	1.0
ɡ_l	ɡ_l	1.0
ɡ	ɡ	1.0
ə_#>	ə_#>	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
z	z	1.0
x_#>	ɡ̊_#>	1.0
x	x	1.0
v_#>	b̥_#>	1.0
v	b	1.0
t_n	s_n	1.0
s_#>	s_#>	1.0
r	ʁ	1.0
p_n	f_n	1.0
p_#>	f_#>	1.0
p	p͡f	1.0
n_#>	n_#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l	l	1.0
d_n	t_n	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ˈeː	<#_ˈaɪ̯	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʃ	1.0
<#_x	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_t	<#_ʦ	1.0
<#_s	<#_z	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
ɐ_#>	ɐ_#>	0.929
n	n	0.867
ˈa	ˈa	0.842
ˈaɪ̯	ˈiː	0.818
ˈɪ	ˈɪ	0.8
ˈɔː	ˈaː	0.75
l_#>	l_#>	0.75
d_#>	d̥_#>	0.706
ˈøː	ˈyː	0.667
ˈaʊ̯	ˈaʊ̯	0.667
k	k	0.667
t_#>	t_#>	0.619
ɐ	ɐ	0.6
s	s	0.6
ˈɪɛ̯	ˈɛ	0.571
<#_d	<#_tʰ	0.519
ˈɛ	ˈɛ	0.5
ˈaː	ˈaː	0.5
ˈaː	ˈa	0.5
ç	ç_t	0.5
ç	k_n	0.5
d	t	0.5
d	d	0.5
<#_d	<#_d	0.481
ˈɪɛ̯	ˈeː	0.429
ˈʊ	ˈaʊ̯	0.4
ɐ	ə	0.4
s	z	0.4
k_#>	ç_#>	0.4
k_#>	#>	0.4
t	t	0.389
t_#>	s_#>	0.381
ˈøː	ˈuː	0.333
ˈaʊ̯	ˈoː	0.333
k	x	0.333
ˈʊ	ˈʊ	0.3
ˈʊ	ˈɔ	0.3
d_#>	t_#>	0.294
t	ʦ	0.278
ˈɔː	ˈoː	0.25
l_#>	l_ə_#>	0.25
ˈɪ	ˈaɪ̯	0.2
k_#>	x_#>	0.2
ˈaɪ̯	ˈeː	0.182
ˈɛ	ˈɪ	0.167
ˈɛ	ˈɛ_k	0.167
ˈɛ	ˈaː	0.167
ˈa	ˈaː	0.158
n	-	0.133
t	ɐ_ʦ	0.111
t	s	0.111
t	d̥	0.111
ɐ_#>	t_ɐ_#>	0.071
