Luxembourgish	Alsatian	probability
f	f	1.0
h	h	1.0
j	j	1.0
l	l	1.0
s	s	1.0
tʰ	t	1.0
v̥	b̥	1.0
ɡ̊	-	1.0
ʀ	ʁ	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ˈæːʊ̯	ˈyː	1.0
ˈɛː	ˈe	1.0
d̥	t	0.481
k	k	0.881
n	n	0.91
w	ʋ	0.781
ˈaː	ˈo	0.11
ˈi	ˈæ	0.541
ˈɑ	ˈi	0.611
ˈɑɪ̯	ˈi	0.091
χ	ʃ	0.411
χ	x	0.431
p	p	0.132
p	p͡f	0.372
t	t	0.892
ɐ	ʁ_i	0.132
ə	-	0.112
ˈe	ˈi	0.312
ˈe	ˈiː	0.312
ˈeː	ˈəi̯	0.562
ˈi	ˈi	0.272
ˈiː	ˈe	0.072
ˈo	ˈʊː	0.102
ˈoː	ˈoː	0.472
ˈuə̯	ˈo	0.202
ˈuː	ˈo	0.192
ˈæːɪ̯	ˈiː	0.392
ˈɑ	ˈɒː	0.062
ˈəʊ̯	ˈoː	0.702
ˈɛ	ˈe	0.782
ˈɜɪ̯	ˈaː	0.072
m	ʁ_m	0.13
z	s	0.943
ɡ	ɡ̊	0.983
ˈeː	ˈei̯	0.103
ˈiː	ˈiː	0.303
ˈo	ˈo	0.283
ˈoː	ˈeː	0.153
ˈu	ˈɒ	0.343
ˈuə̯	ˈoː	0.133
ˈə	ˈe	0.3
d	-	0.054
e	eː	0.844
ŋ	ŋ	0.64
ɕ	x	0.154
ˈiə̯	ˈɛ	0.164
ˈiə̯	ˈæː	0.164
ˈiː	ˈeː	0.294
ˈoː	ˈaː	0.374
ˈæːɪ̯	ˈei̯	0.194
ˈæːɪ̯	ˈi	0.414
ˈɜɪ̯	ˈæː	0.14
kʰ	kʰ	0.965
ˈu	ˈʊː	0.275
ˈuə̯	ˈɒː	0.665
ˈæ	ˈɛ	0.25
ˈæ	ˈɒ	0.25
ˈɑ	ˈɒ	0.315
ˈɑɪ̯	ˈu	0.115
ˈɑʊ̯	ˈøi̯	0.465
ˈɑʊ̯	ˈyː	0.535
ˈɔ	ˈyː	0.5
ˈɔ	ˈu	0.5
ˈə	ˈi	0.605
ˈɜɪ̯	ˈiː	0.345
ˈʊ	ˈu	0.305
ˈʊ	ˈʊː	0.695
b	b̥	0.986
d̥	ʃ	0.056
d̥	-	0.056
e	i	0.156
p	f	0.496
ˈe	ˈu	0.196
ˈiə̯	ˈæ	0.336
ˈiə̯	ˈe	0.336
ˈo	ˈu	0.616
ˈɜɪ̯	ˈoː	0.056
d	d̥	0.637
d̥	d̥	0.407
z	w	0.057
ŋ	n	0.347
ɐ	ə	0.387
ˈaː	ˈɒ	0.477
ˈiː	ˈæ	0.067
ˈɑɪ̯	ˈei̯	0.227
ˈɑɪ̯	ˈiː	0.567
t	s	0.108
ɐ	-	0.48
ɕ	ɡ̊	0.128
ɕ	ʃ	0.718
ˈaː	ˈʊː	0.178
ˈaː	ˈɒː	0.198
ˈeː	ˈai̯	0.128
ˈeː	j	0.168
ˈi	ˈiː	0.088
ˈu	ˈu	0.298
ˈuː	ˈu	0.808
ˈəʊ̯	ˈʊː	0.298
ˈɛ	ˈəi̯	0.218
d	t	0.309
k	-	0.119
m	m	0.829
n	-	0.09
v	v	0.159
v	ʋ	0.79
w	w	0.219
ə	i	0.059
ə	ə	0.829
ˈe	ˈeː	0.179
ˈi	ˈæː	0.099
ˈiː	ˈi	0.229
ˈæ	ˈe	0.499
ˈɜɪ̯	ˈeː	0.359
χ	-	0.159
