Luxembourgish	Alsatian	probability
b	b̥	1.0
d	d̥	0.695
d	t	0.288
e	i	0.501
f	f	0.961
f	b̥	0.044
h	h	1.0
j	j	1.0
k	k	0.584
k	-	0.4
kʰ	kʰ	0.878
kʰ	ɡ̊	0.119
l	l	1.0
m	m	0.964
m	-	0.046
n	n	0.9
n	-	0.096
p	p	0.331
p	p͡f	0.331
s	s	1.0
t	t	0.645
t	d̥	0.249
t	-	0.046
t	ʃ	0.034
t	s	0.034
tʰ	t	1.0
v	ʋ	0.757
v	v	0.1
v	f	0.076
v	b̥	0.063
w	ʋ	0.548
w	w	0.415
z	s	0.916
z	w	0.083
ŋ	ŋ	0.75
ŋ	n	0.246
ɐ	ə_ʁ	0.513
ɐ	-	0.425
ɐ	ʁ_i	0.058
ɕ	ʃ	0.697
ɕ	x	0.236
ɕ	-	0.058
ə	-	0.562
ə	i	0.246
ə	ə	0.105
ə	e	0.081
ə_n	ə	1.0
ə_ɕ	i	0.501
ɡ	ɡ̊	0.891
ɡ	-	0.109
ʀ	ʁ	1.0
ʃ	ʃ	0.962
ʃ	x	0.048
ʦ	ʦ	1.0
ˈaː	ˈɒ	0.503
ˈaː	ˈɒː	0.209
ˈaː	ˈʊː	0.148
ˈaː	ˈo	0.088
ˈaː	ˈɔi̯	0.046
ˈe	ˈu	0.335
ˈe	ˈiː	0.292
ˈe	ˈi	0.221
ˈe	ˈeː	0.116
ˈeː	ˈəi̯	0.687
ˈeː	j	0.149
ˈeː	ˈeː	0.099
ˈeː	ˈai̯	0.06
ˈi	ˈæ	0.28
ˈi	ˈæː	0.28
ˈi	ˈi	0.175
ˈi	ˈiː	0.175
ˈiə̯	ˈæ	0.32
ˈiə̯	ˈæː	0.242
ˈiə̯	ˈɛ	0.242
ˈiə̯	ˈe	0.151
ˈiː	ˈi	0.293
ˈiː	ˈiː	0.293
ˈiː	ˈeː	0.154
ˈiː	ˈæː	0.117
ˈiː	ˈæ	0.062
ˈo	ˈo	0.659
ˈo	ˈu	0.339
ˈoː	ˈoː	0.723
ˈoː	ˈaː_v	0.262
ˈu	ˈʊː	0.339
ˈu	ˈɒ	0.257
ˈu	ˈøː	0.194
ˈu	ˈø	0.096
ˈu	ˈu	0.061
ˈuə̯	ˈɒː	0.629
ˈuə̯	ˈo	0.361
ˈuː	ˈu	0.213
ˈuː	ˈo	0.162
ˈæ	ˈɛ	0.66
ˈæ	ˈɒ	0.166
ˈæɪ̯	ˈiː	0.501
ˈæːɪ̯	ˈei̯	0.381
ˈæːɪ̯	ˈiː	0.273
ˈæːɪ̯	ˈi	0.166
ˈæːʊ̯	ˈyː	0.833
ˈæːʊ̯	ˈøi̯	0.139
ˈɑ	ˈɒ	0.469
ˈɑ	ˈi	0.456
ˈɑ	ˈɒː	0.05
ˈɑ	ˈo	0.043
ˈɑɪ̯	ˈiː	0.564
ˈɑɪ̯	ˈu	0.168
ˈɑɪ̯	ˈi	0.168
ˈɑɪ̯	ˈei̯	0.083
ˈɔ	ˈyː	0.331
ˈɔ	ˈu	0.331
ˈə	ˈi	0.592
ˈə	ˈe	0.392
ˈəɪ̯	ˈeː	0.394
ˈəɪ̯	ˈiː	0.268
ˈəɪ̯	ˈæː	0.165
ˈəɪ̯	ˈei̯	0.082
ˈəɪ̯	ˈoː	0.065
ˈəʊ̯	ˈoː	0.856
ˈəʊ̯	ˈʊː	0.1
ˈɛ	ˈe	0.758
ˈɛ	ˈəi̯	0.185
ˈɛː	ˈe	0.501
ˈʊ	ˈʊː	0.822
ˈʊ	ˈu	0.116
ˈʊɪ̯	ˈoː	0.251
χ	x	0.519
χ	ʃ	0.334
χ	-	0.096
