Limburgish	Bavarian	probability
b	b̥	0.935
b	m	0.065
d	d̥	0.929
d	t	0.064
f	f	0.547
f	b̥	0.197
f	-	0.176
j	d̥	0.387
j	j	0.203
j	-	0.15
j	t	0.099
j	i	0.077
k	kʰ	0.39
k	x	0.155
k	ç	0.138
k	k	0.108
k	-	0.087
l	l	0.708
l	j	0.175
l	ə	0.113
l_ə	j	0.836
l_ə	l	0.125
m	m	1.0
n	n	0.849
n	-	0.117
n	l	0.036
p	f	0.648
p	p͡f	0.186
p	p	0.122
s	s	0.564
s	ʃ	0.434
t	d̥	0.296
t	s	0.269
t	ʦ	0.211
t	t	0.201
v	f	0.857
v	b̥	0.105
v	m	0.04
v_ə	m	1.0
w	j	1.0
x	ɡ̊	0.552
x	x_t	0.231
x	x	0.19
z	s	0.675
z	ʃ	0.298
z	-	0.035
ŋ	ŋ	0.841
ŋ	-	0.155
ə	n	0.509
ə	-	0.256
ə	a	0.151
ə	i	0.038
ə	ɐ	0.034
ə_l	l	1.0
ə_x	ɡ̊	1.0
ə_ʀ	a	1.0
ɡ	ŋ	0.486
ɣ	ɡ̊	0.816
ɣ	ŋ	0.127
ɣ	-	0.053
ɦ	h	1.0
ɪ	i	0.574
ɪ	-	0.279
ɪː	ˈi	0.236
ʀ	r	0.613
ʀ	ɐ	0.222
ʀ	a	0.053
ʀ	d̥_a	0.042
ʀ	ˈoɐ̯	0.042
ʀ_ə	ɐ	1.0
ʃ	ʃ	1.0
ʦ	t	1.0
ˈaː	ˈa	0.272
ˈaː	ˈoː	0.224
ˈaː	ˈɒ	0.186
ˈaː	ˈo	0.162
ˈaː	ˈe	0.072
ˈeː	ˈeː	0.196
ˈeː	ˈɛ	0.187
ˈeː	ˈi	0.169
ˈeː	ˈiɐ̯	0.131
ˈeː	ˈe	0.128
ˈi	ˈeː	0.308
ˈi	ˈɑː	0.268
ˈi	ˈɛː	0.13
ˈi	ˈoɐ̯	0.104
ˈi_x	ˈi	1.0
ˈiː	ˈai̯	0.735
ˈiː	ˈi	0.149
ˈiː	ˈoɐ̯	0.1
ˈoː	ˈuɐ̯	0.519
ˈoː	ˈoː	0.308
ˈoː	ˈɛ	0.136
ˈu	ˈou̯	0.603
ˈu	ˈoɐ̯	0.194
ˈu	ˈeː	0.194
ˈuː	ˈau̯	0.862
ˈuː	ˈoɐ̯	0.117
ˈv	f	0.236
ˈyː	ˈe	0.34
ˈyː	ˈai̯	0.296
ˈæ	ˈɒ	0.321
ˈæ	ˈɛ	0.321
ˈæː	ˈɛ	0.361
ˈæː	ˈoɐ̯	0.361
ˈæː	ˈa	0.202
ˈøː	ˈiɐ̯	0.226
ˈøː	ˈy	0.149
ˈøː	ˈu	0.149
ˈøː	ˈi	0.149
ˈøː	ˈuɐ̯	0.104
ˈœ	ˈaː	0.322
ˈœ	ˈoː	0.322
ˈœ	ˈu	0.237
ˈœi̯	ˈai̯	1.0
ˈœː	ˈu	1.0
ˈɑ	ˈɒ	0.34
ˈɑ	ˈɔ	0.238
ˈɑ	ˈo	0.18
ˈɑ	-	0.109
ˈɑ	ˈe	0.054
ˈɑː	ˈo	0.448
ˈɑː	ˈa	0.331
ˈɑː	ˈɔ	0.147
ˈɒː	ˈoː	0.238
ˈɒː	ˈɒː	0.207
ˈɒː	ˈɔ	0.207
ˈɒː	ˈɛː	0.098
ˈɒː	-	0.095
ˈɔ	ˈɔ	0.303
ˈɔ	ˈo	0.296
ˈɔ	ˈeɐ̯	0.17
ˈɔ	ˈaː	0.085
ˈɔ	ˈu	0.076
ˈɔu̯	ˈau̯	1.0
ˈɔː	ˈo	0.425
ˈɔː	ˈaː	0.392
ˈɔː	ˈa	0.167
ˈɛ	ˈai̯	0.204
ˈɛ	ˈe	0.199
ˈɛ	ˈi	0.131
ˈɛ	ˈo	0.131
ˈɛ	ˈiː	0.088
ˈɛi̯	ˈai̯	0.486
ˈɛː	ˈi	0.365
ˈɛː	ˈoɐ̯	0.31
ˈɛː	ˈai̯	0.2
ˈɛː	ˈu	0.095
ˈɛː_n	ˈoɐ̯	1.0
ˈɛːi̯	ˈoɐ̯	0.629
ˈɛːi̯	ˈai̯	0.361
ˈɪ	ˈe	0.349
ˈɪ	ˈai̯	0.17
ˈɪ	ˈi	0.17
ˈɪ	ˈɛ	0.103
ˈɪː	ˈi	0.761
ˈɪː	ˈa	0.153
ˈɪː	ˈʏ	0.072
ˈʊ	ˈu	0.486
ˈʊː	ˈuɐ̯	0.37
ˈʊː	ˈu	0.37
ˈʊː	ˈɔ	0.145
ˈʊː	ˈau̯	0.097
ˈʊː_ʀ	ˈoɐ̯	1.0
ˈʏ	ˈi	0.486
ˈʏː	ˈai̯	0.361
ˈʏː	ˈɛ	0.361
ˈʏː	ˈu	0.202
β	ʋ	0.989
β	d̥	0.031
