Ukrainian	Polish	probability
bʲ	b	1.0
j	j	1.0
kʲ	k	1.0
lʲ	l	1.0
m	m	1.0
mʲ	m_j	1.0
p	p	1.0
pʲ	p_j	1.0
sʲ	ɕ	1.0
x	x	1.0
ʃ	ʂ	1.0
ʍ	-	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʈ͡ʂ	1.0
d	t	0.191
d	d	0.491
z	w̃_z	0.131
z	ʑ	0.491
ɛ	ɛ	0.701
ˈɔ	ˈɛ	0.131
b	p	0.212
i	ɛ	0.872
k	k	0.972
n	n	0.962
r	r	0.732
t	t	0.772
w	v	0.922
ɐ	ɛ	0.272
ʋ	v	0.932
ˈɪ	ˈɨ	0.42
nʲ	n	0.143
ɔ	ˈu	0.073
ɔ	ˈɔ	0.43
ɛ	-	0.063
ɫ	l	0.33
ʒ	ʐ	0.353
ˈɔ	ɛ	0.133
ˈɔ	ˈu	0.153
ˈɛ	j_ˈɛ	0.23
rʲ	r	0.574
tʲ	ʨ	0.624
ˈi	ˈɛ	0.194
ˈu	ˈu	0.204
ˈɑ	a	0.714
ˈɔ	ˈɔ	0.584
ˈɪ	i	0.174
s	s	0.725
ɐ	ˈɛ	0.075
ɐ	a	0.555
ɔ	ˈɛ	0.075
ɦ	k	0.255
ɦ	ɡ	0.745
ʋʲ	j	0.315
ˈi	ˈu	0.15
rʲ	ʐ	0.426
tʲ	ɲ_ʨ	0.376
ɛ	ˈɛ	0.236
ˈi	ˈɔ	0.326
ˈu	ˈɔ	0.796
ˈɑ	ɛ_w̃	0.126
ˈɑ	ˈa	0.16
nʲ	ɲ	0.857
s	ɕ	0.247
ɔ	ɔ	0.387
ɫ	w	0.67
ʒ	w̃_ʂ	0.647
ˈɛ	ˈɛ	0.77
d	ʥ	0.318
i	ˈa	0.128
r	-	0.268
t	ʨ	0.228
w	f	0.078
ʋ	f	0.068
ʋʲ	-	0.218
ʋʲ	v_j	0.468
ˈɪ	-	0.078
ˈɪ	ˈi	0.328
b	m_p	0.369
b	b	0.419
z	z	0.379
ɐ	ˈa	0.099
ˈi	ˈa	0.29
