Corsican	Western Lombard	probability
b	b	1.0
bː	b	1.0
c	ʧ	1.0
f	f	1.0
kː	k	1.0
lː	l	1.0
nː	n	1.0
o	u	1.0
rː	r	1.0
s	s	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃː	s	1.0
ʧ	ʧ	1.0
ʧː	ʦ	1.0
a	a	0.911
e	e_r	0.081
i	i	0.181
k	k	0.951
m	m	0.981
u	u	0.121
u	-	0.671
v	ʋ	0.981
ŋ	ˈãː	0.761
ˈɔ	ˈøː	0.081
j	j	0.762
ɟ	ʤ	0.972
ˈi	ˈĩː	0.182
ˈo	ˈũː	0.142
a	-	0.073
e	e	0.113
t	-	0.143
ˈe	ˈe	0.383
ˈo	ˈyː	0.113
ˈɛ	ˈe_j	0.053
ˈɛ	e	0.063
d	-	0.204
i	e	0.674
l	l	0.894
t	t	0.564
ˈa	ˈaː	0.084
ˈo	ˈu	0.134
ˈo	ˈɔ	0.334
ˈu	ˈy	0.834
ˈɔ	ˈo	0.054
ˈɔ	u	0.054
ˈɔ	ˈø	0.054
ˈɔ	ˈu	0.204
e	a	0.205
e	-	0.315
r	-	0.05
r	r	0.95
t	d	0.265
w	-	0.065
w	w	0.935
d	d	0.796
e	ˈi	0.286
l	-	0.106
n	ɲ	0.076
ˈɔ	ˈɔ	0.456
ˈɛ	-	0.136
ˈɛ	ˈɛ	0.366
i	ĩ	0.067
n	-	0.057
n	n	0.867
u	a	0.117
ˈa	ˈa	0.817
ˈe	ˈɛ	0.617
ˈu	ˈyː	0.057
i	-	0.078
j	-	0.238
p	p	0.668
ˈi	ˈi	0.818
ˈo	ˈø	0.278
ˈu	ˈũː	0.088
ˈɔ	ˈyː	0.058
p	ʋ	0.289
ŋ	-	0.239
ˈa	-	0.099
ˈɛ	ˈe	0.289
