German	Alsatian	probability
ˈʊ	ˈu	1.0
ˈɛː	ˈæː	1.0
ˈœ	ˈe	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈiː	1.0
ˈuː	ˈʊː	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈaɪ̯_t	ˈiː_t	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʁ	ʁ	1.0
ɪ_ç	i	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ç	ʃ	1.0
z	s	1.0
t	t	1.0
s_t	ʃ_t	1.0
s_n	s_ə	1.0
s	s	1.0
p͡f	p͡f	1.0
n_t	n_t	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f_n	f_ə	1.0
f	f	1.0
d̥	d̥	1.0
d	d̥	1.0
b̥	b̥	1.0
<#_n	<#_n	1.0
ə	-	0.926
ˈɪ	ˈi	0.905
ˈa	ˈɒ	0.889
v	ʋ	0.88
b	b̥	0.84
x	x	0.778
ˈɛ	ˈe	0.727
n	n	0.723
ˈɔ	ˈo	0.714
ˈaʊ̯	ˈyː	0.692
ˈʏ	ˈu	0.667
ɡ	ɡ̊	0.647
tʰ	d̥	0.6
ˈɔʏ̯	ˈiː	0.571
ˈeː	ˈeː	0.545
ɐ	ʁ	0.525
ˈaɪ̯	ˈəi̯	0.5
ɐ	ə_ʁ	0.475
ˈɔʏ̯	ˈi	0.429
ˈaː	ˈɒː	0.412
tʰ	t	0.4
ˈʏ	ˈi	0.333
ˈaʊ̯	ˈʊː	0.308
ˈaː	ˈoː	0.294
ˈɔ	ˈu	0.286
n	ə	0.277
ˈɛ	ˈæ	0.273
ˈeː	ˈæ	0.273
ɡ	j	0.235
x	ʃ	0.222
ˈaɪ̯	ˈei̯	0.2
ˈeː	ˈæː	0.182
ˈaː	ˈɒ	0.176
ˈaɪ̯	ˈiː	0.15
ˈaɪ̯	ˈi	0.15
v	w	0.12
ˈaː	ˈaː	0.118
ɡ	v	0.118
ˈa	ˈɒː	0.111
ˈɪ	ˈiː	0.095
b	v	0.08
b	-	0.08
ə	ə	0.074
