Catalan	Eastern Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
p	p	1.0
z	-	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ʃ	s	1.0
ʤ	d	1.0
l	-	0.171
n	n	0.831
r	r_e	0.101
r	r	0.881
ʒ	z	0.891
ˈɔ	ˈo	0.291
ˈɛ	ˈe	0.351
β	-	0.411
u	u	0.062
w	e	0.132
ŋ	ŋ	0.152
ə	e	0.102
ɲ	ɲ	0.852
ˈo	ˈu_r	0.152
ˈu	ˈy	0.352
j	-	0.843
m	m	0.93
t	ʧ	0.153
t	t	0.793
ə	a	0.643
ɾ	e_r	0.163
ˈo	ˈu	0.243
ˈɛ	ˈi	0.073
l	l	0.624
t	-	0.054
ð	d	0.754
ə	-	0.164
ˈi	ˈe	0.124
ˈɛ	ˈɛ	0.544
β	b	0.124
i	e	0.105
i	i	0.895
l	j	0.205
u	ø	0.095
u	-	0.155
ŋ	-	0.15
ʎ	-	0.05
ˈa	ˈa	0.735
ˈe	ˈi	0.075
ˈe	ˈe	0.205
ˈi	ˈi	0.735
ˈu	ˈo	0.075
ˈu	ˈø	0.435
ˈɔ	ˈø	0.145
ˈɔ	ˈɔ	0.345
β	ʋ	0.395
n	n_t	0.076
w	w	0.236
ð	t	0.246
j	j	0.157
m	-	0.07
u	o	0.687
w	-	0.47
ˈe	ˈɛ	0.67
ˈo	ˈo	0.457
β	p	0.07
s	s	0.98
ŋ	ŋ_k	0.698
ɲ	-	0.068
ɲ	n	0.08
ɾ	-	0.158
ʎ	l	0.858
ˈo	ˈø	0.148
k	k	0.959
w	f	0.119
ɾ	r	0.679
ʒ	ʤ	0.109
ˈa	s_#>	0.119
ˈu	ˈɔ	0.109
ˈɔ	ˈu	0.219
