Alsatian	Alsatian	probability
ˈɛ	-	1.0
ˈɔi̯	ˈɔu̯	1.0
ˈœ	ˈɔu̯_ɣ̊	1.0
ˈøː	-	1.0
ˈøi̯	ˈuː	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈiː_ʁ	ʀ	1.0
ˈaː	-	1.0
ˈai̯	ˈœi̯	1.0
ʦ	t	1.0
ʁ_n	ʀ_ə	1.0
ə_ʁ	ʀ	1.0
z̥	z̥	1.0
w	-	1.0
t_ʁ	d_ʀ	1.0
t_ə	j_ə	1.0
p͡f	p	1.0
p	p	1.0
m	m	1.0
l_b̥	v̥	1.0
kʰ	k	1.0
k_ə	k_ə	1.0
k_s	s	1.0
i_ʃ	ə_k	1.0
h	ɦ	1.0
eː	i	1.0
e	-	1.0
d̥_#>	#>	1.0
b̥	b	1.0
<#_ʁ	<#_ʀ	1.0
ə	ə	0.955
ʋ	β	0.913
ʁ	ʀ	0.896
ɡ̊	ɣ	0.846
n	n	0.83
l	l	0.805
ˈəi̯	ˈɛː	0.778
ˈyː	ˈuː	0.778
#>	ɣ̊_#>	0.714
ˈei̯	-	0.667
x	x	0.667
d̥	d	0.667
f	v	0.656
ˈɒː	-	0.6
ˈæ	ˈeː	0.6
ŋ	ŋ	0.6
k	k	0.6
i	ə_ɣ̊	0.6
ʃ	s	0.583
t	d̥	0.52
ˈo	ˈɔ	0.5
ˈeː	ˈi	0.5
ˈeː	-	0.5
ʃ_t	x	0.5
ʃ_t	s	0.5
s	z	0.5
s	t	0.5
ˈoː	ˈɒː	0.438
ˈi	ˈɪː	0.423
ˈe	-	0.417
ˈu	ˈʊː	0.409
ˈɒ	ˈaː	0.407
ˈæ	ˈæː	0.4
ŋ	ŋ_k	0.4
k	-	0.4
i	ɪ_ŋ	0.4
ˈiː	ˈeː	0.389
ˈoː	ˈu	0.375
ˈʊː	ˈʊː	0.364
ˈʊː	ˈɔː	0.364
ˈei̯	ˈɛːi̯	0.333
ˈe	ˈɪ	0.333
x	k	0.333
j	ˈeː_ɣ	0.333
j	j	0.333
j	-	0.333
ˈo	ˈʊː	0.3
ˈɒ	ˈɑ	0.296
#>	d̥_#>	0.286
t	t	0.28
ˈiː	ˈøː	0.278
ˈʊː	-	0.273
ˈi	-	0.269
ˈe	ˈeː	0.25
d̥	d̥	0.242
ˈu	-	0.227
ˈəi̯	-	0.222
ˈyː	ˈɔu̯	0.222
f	p	0.219
ˈɒː	ˈɑː	0.2
ˈɒː	ʀ	0.2
ˈo	-	0.2
t	-	0.2
ˈoː	-	0.188
ˈɒ	ˈɑː	0.185
ˈu	ˈœ	0.182
ˈiː	ˈiː	0.167
ˈiː	-	0.167
ʃ	ʃ	0.167
ʃ	k	0.167
ˈi	ˈeː	0.154
ɡ̊	-	0.154
ˈu	ˈɔ	0.136
ˈɒ	-	0.111
d̥	-	0.091
ʋ	v	0.087
ʃ	-	0.083
ˈi	ˈɛː	0.077
ˈi	ˈɛ	0.077
l	l_ə	0.073
l	j	0.073
ʁ	-	0.062
f	ə_v̥	0.062
f	v̥	0.062
n	ə	0.057
