Dutch	Northern Low Saxon	probability
b	b	0.919
b	-	0.081
d	d	0.856
d	-	0.144
f	f	0.92
f	m	0.08
i	aɪ̯	1.0
j	ʒ	0.561
j	ˈɛː	0.439
k	kʰ	0.459
k	ɡ	0.424
k	k	0.098
m	m	0.961
n	n	0.884
n	-	0.112
p	b	0.724
p	p	0.191
p	pʰ	0.086
s	s	0.626
s	ʃ	0.374
t	d	0.742
t	tʰ	0.103
t	t	0.1
t	-	0.055
v	f	0.823
v	-	0.16
w	ˈiː	0.667
w	ˈaɪ̯	0.333
z	z	0.737
z	s	0.166
z	-	0.052
ŋ	ŋ	0.744
ŋ	ç	0.256
ə	-	0.635
ə	ɐ	0.355
ɦ	h	1.0
ɪ	ɪ	1.0
ɫ	l	1.0
ɾ	ɐ	0.385
ɾ	r	0.377
ɾ	-	0.221
ʋ	v	1.0
ˈaː	ˈoː	0.84
ˈaː	ˈaɪ̯	0.066
ˈeː	ˈeː	0.263
ˈeː	ˈaɪ̯	0.169
ˈeː	ˈɛ_l	0.121
ˈeː	ˈoː	0.118
ˈeː	ˈeɪ̯	0.102
ˈeː	ˈaʊ̯	0.091
ˈi	ˈaɪ̯	0.661
ˈi	ˈiː	0.11
ˈi	ˈʏ	0.056
ˈoː	ˈaʊ̯	0.517
ˈoː	ˈɔʏ̯	0.184
ˈoː	ˈøː	0.138
ˈoː	ˈoː	0.114
ˈu	ˈaʊ̯	0.554
ˈu	ˈɔʏ̯	0.366
ˈu	ˈuː	0.079
ˈyː	ˈyː	0.602
ˈyː	ˈuː	0.398
ˈøː	ˈøː	1.0
ˈœy̯	ˈuː	0.816
ˈœy̯	ˈyː	0.184
ˈɑ	ˈa	0.885
ˈɑ	ˈeː	0.07
ˈɑu̯	ˈɔ	0.294
ˈɑu̯	ˈʊ	0.294
ˈɑu̯	ˈaʊ̯_l	0.277
ˈɑu̯	ˈuː	0.135
ˈɔ	ˈʊ	0.621
ˈɔ	ˈɔ	0.205
ˈɔ	ˈʏ	0.062
ˈɛ	ˈɛ	0.202
ˈɛ	ˈø	0.135
ˈɛ	ˈœ	0.129
ˈɛ	-	0.113
ˈɛ	ˈɛɪ̯	0.113
ˈɛ	ˈeː	0.098
ˈɛ	ˈɪ	0.098
ˈɛ	ˈʏ	0.094
ˈɛi̯	ˈiː	0.751
ˈɛi̯	ɐ	0.119
ˈɛi̯	ˈɪ	0.054
ˈɪ	ˈɪ	0.974
ˈʏ	ˈʏ	0.757
ˈʏ	ˈœː	0.243
χ	ɡ	0.441
χ	ç	0.284
χ	-	0.16
χ	x	0.115
