Lithuanian	Lithuanian	probability
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ	ˈɛ	1.0
ˈɐ	ˈɐ	1.0
ʒ	ʒ	1.0
ʑ	ʑ	1.0
ʊ	ʊ	1.0
ʃ	ʃ	1.0
ɫ̌	ɫ̌	1.0
ɫ	ɫ	1.0
ɪ	ɪ	1.0
ɡʲ	ɡʲ	1.0
ɡ	ɡ	1.0
ɛ̂ʊ̯	ɛ̂ʊ̯	1.0
ɛɪ̯	ɛɪ̯	1.0
ɛ	ɛ	1.0
ɕ	ɕ	1.0
ɐ̌ʊ̯	ɐ̌ʊ̯	1.0
ɐʊ̯	ɐʊ̯	1.0
ɐɪ̯	ɐɪ̯	1.0
ɐ_r	ɐ_r	1.0
ɐ_k	ɐ_k	1.0
ɐ	ɐ	1.0
ŋʲ	ŋʲ	1.0
ŋ	ŋ	1.0
æ̌ː	æ̌ː	1.0
æ̂ː	æ̂ː	1.0
æ̂ɪ̯	æ̂ɪ̯	1.0
z	z	1.0
vʲ	vʲ	1.0
v	v	1.0
ǔə̯	ǔə̯	1.0
ûː	ûː	1.0
ûə̯	ûə̯	1.0
uː	uː	1.0
uə̯	uə̯	1.0
tʲ	tʲ	1.0
t	t	1.0
sʲ	sʲ	1.0
s	s	1.0
ř	ř	1.0
rʲ	rʲ	1.0
r	r	1.0
pʲ	pʲ	1.0
p	p	1.0
ǒː	ǒː	1.0
ôː	ôː	1.0
oː	oː	1.0
ň	ň	1.0
nʲ	nʲ	1.0
n	n	1.0
m̌	m̌	1.0
mʲ	mʲ	1.0
m	m	1.0
lʲ	lʲ	1.0
kʲ	kʲ	1.0
k	k	1.0
j	j	1.0
ǐː	ǐː	1.0
ǐə̯	ǐə̯	1.0
îː	îː	1.0
îə̯	îə̯	1.0
iː	iː	1.0
iə̯	iə̯	1.0
ěː	ěː	1.0
êː	êː	1.0
eː	eː	1.0
dʲ	dʲ	1.0
d	d	1.0
bʲ	bʲ	1.0
b	b	1.0
ǎː	ǎː	1.0
âː	âː	1.0
âʊ̯	âʊ̯	1.0
âɪ̯	âɪ̯	1.0
aː	aː	1.0
