Québécois French	Bellunese	probability
aœ̯	ˈo	1.0
b	b	1.0
d	d	1.0
f	f	1.0
o	ˈɔ	1.0
oʊ̯	ˈɛ_l	1.0
p	p	1.0
v	v	1.0
w	-	1.0
y	ˈu	1.0
z	z	1.0
ɑ	ˈa	1.0
ɑɔ̯	ˈɔ	1.0
ɒ̃ʊ̯̃	ˈo_ŋ	1.0
ɥ	t	1.0
ɪ	ˈi	1.0
ʊ	ˈo	1.0
ʣ	d	1.0
e	ˈa_r	0.431
i	ˈi	0.661
t	s_t	0.31
æɛ̯	ˈe	0.171
øʏ̯	o	0.181
œ	a_#>	0.071
ɔ	o	0.791
ɛ	ˈɛ	0.141
a	a	0.602
e	-	0.352
ẽɪ̯̃	ˈa_ŋ	0.382
j	-	0.112
l	-	0.052
m	m_a	0.182
n	-	0.082
u	ˈo	0.402
ʃ	k_a	0.152
ẽɪ̯̃	ŋ	0.173
k	k_w	0.163
n	n	0.63
æɛ̯	ˈa	0.543
ɛ	e	0.073
ɡ	ɡ	0.973
ʁ	r_a	0.083
ʁ	r	0.673
i	ˈɛ	0.114
l	j	0.224
u	ˈu	0.104
u	o	0.494
œ	t_#>	0.064
ʁ	-	0.054
ʁ	r_o	0.084
ʒ	-	0.444
ã	ˈa_ŋ	0.405
ẽɪ̯̃	ˈi_ŋ	0.445
i	-	0.225
l	l_a	0.075
œ	e	0.655
ã	ˈe_ŋ	0.346
e	ˈa	0.216
æɛ̯	ˈɛ	0.286
œ	ˈo	0.066
ʁ	e_r	0.106
ʒ	ð	0.556
k	k	0.837
s	s	0.477
a	ˈa	0.398
j	j	0.888
l	l	0.648
m	m	0.818
n	n_a	0.288
ɛ	ˈa	0.318
ɛ	ˈe	0.468
ʃ	k	0.848
ã	n	0.249
s	θ	0.479
t	t	0.69
øʏ̯	ɡ_o	0.819
œ	o_#>	0.059
ɔ	ˈo	0.209
