Macedonian	Proto-Slavic	probability
b	b	1.0
d	d	1.0
i	i	1.0
l	l	1.0
m	m	1.0
z	z	1.0
ʒ	ʒ	1.0
ʦ	ĭ_ʦ	1.0
ʧ	ʧ	1.0
ˈu	ûː	1.0
f	-	0.671
n	n	0.561
p	p	0.761
ɡ	ĭ_#>	0.071
ˈo	o	0.261
ˈr̩	r	0.521
k	k	0.542
o	ǒ	0.052
p	b_ĭ	0.112
r	r	0.942
s	s	0.782
t	t	0.52
ɛ	ẽ	0.212
ɡ	ɡ_ôː	0.262
ˈr̩	ĭ̂_r	0.302
s	s_ŭ	0.103
t	d_ŭ	0.13
ɛ	t_i	0.063
ˈo	ĭ̂	0.073
ˈɛ	e	0.353
f	v_ŭ	0.224
o	ŭ	0.154
o	o	0.794
t	t_ĭ	0.174
ɡ	ɡ	0.64
ˈi	ĭ̂	0.204
f	x	0.105
n	n_ŭ	0.265
s	<#_x	0.085
v	v	0.955
ɫ	o_l	0.075
ˈa	ĭ	0.485
ˈa	aˀ	0.515
ˈɛ	ɛˀ	0.115
ˈɛ	ɛː	0.115
n	n_ĭ	0.166
p	b_ŭ	0.126
t	t_ŭ	0.176
ɛ	e	0.476
ˈi	i	0.796
ˈo	ôː	0.086
ˈo	ô	0.306
ˈɛ	ẽ̂ː	0.056
a	-	0.137
ɫ	l_ŭ	0.237
ɫ	l	0.677
ˈo	ĭˀ	0.057
ˈɛ	ê	0.17
r	r_ŭ	0.058
ɛ	-	0.098
ɛ	ɛː	0.128
ˈo	ǒ	0.218
ˈr̩	ĭ̌_r	0.178
ˈɛ	ɛ̂ː	0.148
a	a	0.239
a	ǎ	0.579
k	ɡ_ŭ	0.109
k	k_ŭ	0.349
