Northern Low Saxon	Ripuarian	probability
b	b	0.643
b	f	0.188
b	p	0.162
d	d	0.411
d	t	0.256
d	s	0.145
d	k	0.101
d	ʦ	0.068
f	f	0.944
f	-	0.037
f	ə_f	0.036
h	h	1.0
i	ɪ	0.488
k	k	1.0
kʰ	k	0.891
kʰ	-	0.097
l	l	0.843
l	ə_l	0.063
l	-	0.06
l	l_ə	0.029
m	m	0.668
m	v_ə	0.116
m	-	0.088
m	m_ə	0.081
m	n	0.035
n	n	0.63
n	ə	0.236
n	ŋ	0.131
p	p	0.238
r	ʀ	1.0
s	s	0.689
s	ʃ	0.157
s	z	0.133
t	t	0.718
t	-	0.279
tʰ	ʦ	0.883
tʰ	t	0.101
v	ʋ	0.955
v	v	0.048
x	x	0.702
x	ɕ	0.163
x	-	0.113
x_d	x	1.0
z	z	0.968
z	m	0.042
ç	ɕ	0.718
ç	k	0.107
ç	ŋ	0.083
ç	-	0.079
ŋ	ŋ	0.744
ŋ	ŋ_ə	0.096
ŋ	ɣ	0.079
ŋ	n	0.059
ɐ	ɐ	0.823
ɐ	-	0.091
ɐ	ʀ	0.071
ɐ_d	t	1.0
ə	ɐ	0.238
ɡ	j	0.363
ɡ	k	0.222
ɡ	ɕ	0.202
ɡ	x	0.085
ɡ	ɣ	0.065
ɪ	ə	0.683
ɪ	ɪ	0.22
ʃ	ʃ	1.0
ʒ	j	1.0
ˈa	ˈa	0.581
ˈa	ˈaː	0.3
ˈa	ˈɛ	0.105
ˈaɪ̯	ˈeː	0.735
ˈaɪ̯	ˈiː	0.149
ˈaɪ̯	ˈeɪ̯	0.091
ˈaʊ̯	ˈoː	0.604
ˈaʊ̯	ˈuː	0.221
ˈaʊ̯	ˈa	0.077
ˈaʊ̯	ˈɔ	0.051
ˈaʊ̯	ˈaʊ̯	0.044
ˈaː	ˈɛː	0.496
ˈaː	ɐ	0.339
ˈaː	ˈa	0.131
ˈeɪ̯	ˈeː	0.631
ˈeɪ̯	ˈɛː	0.114
ˈeɪ̯	ˈiː	0.105
ˈeː	ˈɛː	0.352
ˈeː	ˈe	0.15
ˈeː	ˈiː	0.15
ˈeː	ˈɛ	0.116
ˈeː	ˈa	0.101
ˈiː	ˈiː	0.388
ˈiː	ˈɪ	0.181
ˈiː	ˈeɪ̯	0.088
ˈiː	ˈɔʏ̯	0.085
ˈiː	ˈœ	0.082
ˈoː	ˈoː	0.426
ˈoː	ˈaː	0.208
ˈoː	ˈɛː	0.077
ˈoː	ˈa	0.067
ˈoː	ˈɔ	0.063
ˈuː	ˈuː	0.433
ˈuː	ˈoː	0.21
ˈuː	ˈaʊ̯	0.182
ˈuː	ˈyː	0.077
ˈuː	ˈɔ	0.077
ˈyː	ˈyː	0.314
ˈyː	ˈøː	0.196
ˈyː	ˈʏ	0.196
ˈø	ˈɛ	1.0
ˈøː	ˈɪ	0.33
ˈøː	ˈʏ	0.161
ˈøː	ˈaː	0.161
ˈøː	ˈaʊ̯	0.161
ˈœ	ˈɛ	1.0
ˈœː	ˈœ	0.18
ˈœː	ˈe	0.18
ˈɔ	ˈɔ	0.509
ˈɔ	ˈu	0.109
ˈɔ	ˈo	0.106
ˈɔ	ˈa	0.103
ˈɔ	ˈaʊ̯	0.103
ˈɔʏ̯	ˈøː	0.503
ˈɔʏ̯	ˈyː	0.39
ˈɔʏ̯	ˈʏ	0.095
ˈɔː	ˈʊ	0.116
ˈɛ	ˈɛ	0.336
ˈɛ	ˈɛː	0.235
ˈɛ	ˈɪ	0.178
ˈɛ	ˈaː	0.115
ˈɛ	ˈa	0.077
ˈɛɪ̯	ˈeː	0.425
ˈɛɪ̯	ˈiː	0.238
ˈɛɪ̯	ˈɛː	0.133
ˈɪ	ˈe	0.355
ˈɪ	ˈɪ	0.216
ˈɪ	ˈeː	0.158
ˈɪ	ˈa	0.094
ˈɪ	ˈɛ	0.093
ˈʊ	ˈɔ	0.451
ˈʊ	ˈo	0.451
ˈʊ	ˈʊ	0.083
ˈʏ	ˈœ	0.639
ˈʏ	ˈu	0.14
ˈʏ	ˈʏ	0.097
ˈʏ	ˈɛ	0.097
