Czech	Slovak	probability
a	a	1.0
b	b	1.0
c	c	1.0
f	-	1.0
k	k	1.0
m	m	1.0
m̩	ɛ_m	1.0
o	ɔ	1.0
p	p	1.0
r	r	1.0
r̝	r	1.0
r̝̊	r	1.0
s	s	1.0
x	x	1.0
z	z	1.0
ɟ	ɟ	1.0
ɪ	i	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈa	ˈa	1.0
ˈl̩	ˈɫ̩	1.0
ˈo	ˈɔ	1.0
ˈou̯	ˈuː	1.0
ˈr̩	ˈr̩	1.0
ˈu	ˈu	1.0
ˈɪ	ˈi	1.0
l	ɫ	0.511
ɦ	ɦ	0.91
ˈiː	ɪ̯ˈɛ	0.551
j	-	0.092
l	l	0.312
n	ɲ	0.32
v	v	0.232
ˈɛː	ɪ̯ˈɛ	0.742
t	t	0.544
ˈuː	ʊ̯ˈɔ	0.424
d	ɟ	0.335
d	d	0.665
iː	i	0.185
iː	iː	0.815
ˈaː	ˈaː	0.345
ˈaː	ˈa	0.655
ˈɛ	ˈa	0.175
t	c	0.456
ˈuː	ˈɔ	0.576
ˈɛ	ɪ̯ˈɛ	0.076
l	ʎ	0.177
j	j	0.908
n	n	0.68
v	ʋ	0.768
ɛ	ɛ	0.758
ˈɛː	ˈɛ	0.258
ɛ	a	0.159
ɦ	x	0.09
ˈiː	ˈi	0.449
ˈɛ	ˈɛ	0.749
