Kashubian	Kashubian	probability
ˈ	-	1.0
ʤ	ɡ	1.0
ʣ	d	1.0
ʒ	ɡ	1.0
ʃ	b	1.0
ɲ	-	1.0
ɡ̊	ɡ_i	1.0
ɞ	i_l	1.0
ɛ_ˈ	e	1.0
ɔ_ˈ	a	1.0
z̥	-	1.0
z	z	1.0
x	s	1.0
v_j	w	1.0
v	v	1.0
u̯ɛ	-	1.0
t	t	1.0
r̝	r_i	1.0
r	r	1.0
p	p	1.0
õ	i_ɡ	1.0
n	n	1.0
l	l	1.0
j_ɛ	ai̯	1.0
j_a	eː	1.0
i_#>	a_n_#>	1.0
e	j	1.0
d̥	d	1.0
d	d	1.0
b̥	b_l	1.0
b	b	1.0
<#_s	<#_s	1.0
#>	s_#>	0.92
w	-	0.8
ʦ	t	0.778
ɛ	-	0.778
m	m	0.75
k	k	0.714
ʉ	-	0.667
u	a	0.667
ã	n	0.667
s	s	0.6
<#	<#_a	0.6
a	o	0.583
i	-	0.5
ə	u	0.444
ə	-	0.444
ɔ	-	0.444
j	-	0.444
s	s_i	0.4
<#	<#_k	0.4
ʉ	aːu̯	0.333
ɔ	o	0.333
u	-	0.333
j	e	0.333
i	a	0.333
ã	-	0.333
k	-	0.286
m	e_m	0.25
a	-	0.25
ʦ	-	0.222
ɛ	e	0.222
ɔ	a	0.222
j	i	0.222
w	au̯	0.2
i	oːu̯	0.167
a	u	0.167
ə	eːi̯	0.111
#>	o_n_#>	0.08
