Danish	West Frisian	probability
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoə̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈoə̯	1.0
ˈɒˀ	ˈiə̯	1.0
ˈɑː	-	1.0
ˈɑˀ	ˈɛː	1.0
ˈɑ_jˀ	ˈɛi̯	1.0
ˈœː	ˈɪ	1.0
ˈuː	ˈuː	1.0
ˈoː	-	1.0
ˈo_ɐˀ	ˈoə̯	1.0
ˈi	j	1.0
ˈeː	-	1.0
ʨ	t	1.0
ɡ̊_d̥	χ_t	1.0
ɕ	s	1.0
ɐˀ_w	r_χ	1.0
ɐˀ	r	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
s_ə	z_ə	1.0
mˀ	-	1.0
m	m	1.0
lˀ_ʋ	l	1.0
l	l	1.0
i	-	1.0
h	h	1.0
f	f	1.0
e	ɪ	1.0
d̥_ə	t	1.0
s	s	0.92
n	n	0.911
nˀ	n	0.896
lˀ	l	0.87
ʁ	r	0.812
b̥	b	0.803
ˈoˀ	ˈuə̯	0.755
ə	ə	0.751
ˈiˀ	ˈi	0.687
ʋ	ʋ	0.68
ˈœˀ	ˈɪə̯	0.667
ˈyː	-	0.667
ʦʰ	ʦ	0.657
ɡ̊	k	0.619
ˈʌ	-	0.618
d̥	d	0.6
ˈɑ	ˈa	0.592
ˈø	ˈɪ	0.585
ˈøˀ	-	0.567
ˈœ	ˈoə̯	0.566
ɐ	r	0.556
ð̞ˠ	t	0.549
ˈyˀ	j	0.526
ˈuˀ	ˈuː	0.505
ˈøː	ˈɪə̯	0.5
ˈøː	-	0.5
ˈo	ˈuə̯	0.5
ˈo	-	0.5
w	-	0.472
ˈøˀ	ˈɪə̯	0.433
ˈe	ˈɪ	0.432
j	-	0.426
ˈæ	ˈa	0.42
ˈɔˀ	ˈaː	0.379
ˈu	ˈu	0.372
ˈɔˀ	-	0.361
ˈeˀ	ˈiə̯	0.356
ˈeˀ	-	0.351
ʦʰ	d	0.343
w	v	0.34
ˈiː	ˈɪ	0.338
ˈiː	ˈiː	0.338
ˈœˀ	-	0.333
ˈyː	ˈiə̯	0.333
j	h	0.329
ˈiː	-	0.324
ʋ	v	0.32
ˈø	ˈɔ	0.305
ˈæ	ˈɔː	0.264
ˈɛ	ˈɪ	0.259
ˈɔˀ	ˈɪə̯_n	0.259
ˈuˀ	-	0.249
ˈuˀ	ˈiə̯	0.246
ˈoˀ	ˈoə̯	0.245
j	j	0.244
ˈɛ	ˈɛ	0.238
ˈyˀ	j_ˈuə̯	0.237
ˈyˀ	-	0.237
d̥	t	0.237
ð̞ˠ	d̥	0.235
ɡ̊	-	0.234
ˈɑ	ˈɛ	0.223
ˈœ	ˈɛː	0.217
ˈœ	-	0.217
ˈæ	-	0.216
ˈe	ˈiː	0.212
ɐ	ə_r	0.204
ˈeˀ	ˈɪ	0.199
b̥	p	0.197
ˈu	ˈɔ	0.195
ˈʌ	ˈɔː	0.191
ˈʌ	ˈɔ	0.191
ʁ	-	0.188
w	ɣ	0.188
ˈu	ˈuː	0.186
ˈɑ	ˈøə̯	0.184
ˈe	-	0.183
ˈɛ	ˈɛː	0.18
ˈe	ˈɛ	0.173
ˈiˀ	-	0.167
d̥	χ_t	0.164
ə	-	0.153
ɐ	-	0.149
ˈiˀ	ˈiː	0.146
ˈu	-	0.144
ð̞ˠ	d	0.136
lˀ	d̥	0.13
ˈø	ˈu̯o	0.11
ˈɛ	ˈɛi̯	0.109
ˈɛ	-	0.109
ˈɛ	ˈa	0.104
nˀ	n_d	0.104
ˈu	ʋ_ˈɔ	0.102
ˈæ	ˈɪə̯	0.1
ˈeˀ	ˈeː	0.095
ɡ̊	χ	0.083
ð̞ˠ	t_ə	0.079
ɡ̊	j	0.063
ə	j_ə	0.062
n	ˈɪ_n	0.054
